era,k,entry_et,n_rem_bars,model,n_days,qlike_sum,dm_t_vs_M0,dm_p_vs_M0
all,0,10:00,11,M0,737,0.06829936867098153,0.0,1.0
all,0,10:00,11,M1,737,0.06829936867098153,0.0,1.0
all,0,10:00,11,M2,737,0.07953740356559502,5.196355199943572,2.0323376692616986e-07
all,0,10:00,11,M3,737,0.1709201713786546,6.149451269221597,7.775146953803167e-10
all,0,10:00,11,M3k,737,0.14748883287417108,6.011369820361945,1.83962204276735e-09
all,0,10:00,11,M4,737,0.06829936867098153,0.0,1.0
daily_0dte,0,10:00,11,M0,489,0.06946033246764406,0.0,1.0
daily_0dte,0,10:00,11,M1,489,0.06946033246764406,0.0,1.0
daily_0dte,0,10:00,11,M2,489,0.08254994797595984,4.390729968181092,1.1297076464927762e-05
daily_0dte,0,10:00,11,M3,489,0.16859296924434952,4.343536435251397,1.4020721121992342e-05
daily_0dte,0,10:00,11,M3k,489,0.14712914492931584,4.269806245418125,1.956428496189873e-05
daily_0dte,0,10:00,11,M4,489,0.06946033246764406,0.0,1.0
all,1,10:30,10,M0,737,0.06141783608786728,0.0,1.0
all,1,10:30,10,M1,737,0.06141783608786728,0.0,1.0
all,1,10:30,10,M2,737,0.07675046798223271,4.487993516932173,7.189711625265573e-06
all,1,10:30,10,M3,737,0.13400213385520163,7.887935920771323,3.072254338004549e-15
all,1,10:30,10,M3k,737,0.12252808023594397,7.1986230531286735,6.082364053233108e-13
all,1,10:30,10,M4,737,0.06141783608786728,0.0,1.0
daily_0dte,1,10:30,10,M0,489,0.06683399574208994,0.0,1.0
daily_0dte,1,10:30,10,M1,489,0.06683399574208994,0.0,1.0
daily_0dte,1,10:30,10,M2,489,0.08408831713698373,3.65957166594982,0.0002526371832592346
daily_0dte,1,10:30,10,M3,489,0.1390670317982132,5.720102391067388,1.0645987836739317e-08
daily_0dte,1,10:30,10,M3k,489,0.12855888230606186,5.246543796101334,1.5497902029228256e-07
daily_0dte,1,10:30,10,M4,489,0.06683399574208994,0.0,1.0
all,2,11:00,9,M0,737,0.07178171858638166,0.0,1.0
all,2,11:00,9,M1,737,0.07178171858638166,0.0,1.0
all,2,11:00,9,M2,737,0.08004565984310846,3.2152483991370513,0.0013033168978778555
all,2,11:00,9,M3,737,0.1883153645126636,8.823266203506867,1.1116865242451822e-18
all,2,11:00,9,M3k,737,0.16822410628407256,8.45757533223341,2.7299418622405786e-17
all,2,11:00,9,M4,737,0.07178171858638166,0.0,1.0
daily_0dte,2,11:00,9,M0,489,0.07729891528736428,0.0,1.0
daily_0dte,2,11:00,9,M1,489,0.07729891528736428,0.0,1.0
daily_0dte,2,11:00,9,M2,489,0.08669990855721008,2.731832069430861,0.006298323474253479
daily_0dte,2,11:00,9,M3,489,0.17690904194368484,6.283614794193152,3.307897460421015e-10
daily_0dte,2,11:00,9,M3k,489,0.16073687006540413,5.883828481547408,4.008832845272228e-09
daily_0dte,2,11:00,9,M4,489,0.07729891528736428,0.0,1.0
all,3,11:30,8,M0,737,0.06746703048253067,0.0,1.0
all,3,11:30,8,M1,737,0.06746703048253067,0.0,1.0
all,3,11:30,8,M2,737,0.08453354098015085,5.531087776391595,3.1825101214732875e-08
all,3,11:30,8,M3,737,0.1792915446177114,6.180782596060217,6.378460576624866e-10
all,3,11:30,8,M3k,737,0.16158221683441817,6.060473340694852,1.3572154605338593e-09
all,3,11:30,8,M4,737,0.06746703048253067,0.0,1.0
daily_0dte,3,11:30,8,M0,489,0.0702956624070843,0.0,1.0
daily_0dte,3,11:30,8,M1,489,0.0702956624070843,0.0,1.0
daily_0dte,3,11:30,8,M2,489,0.08955036103479533,5.00766159888167,5.509528971076943e-07
daily_0dte,3,11:30,8,M3,489,0.17983990225764857,4.254003980533277,2.0998156538703713e-05
daily_0dte,3,11:30,8,M3k,489,0.16340297692565356,4.19558714335549,2.7216561686077652e-05
daily_0dte,3,11:30,8,M4,489,0.0702956624070843,0.0,1.0
all,4,12:00,7,M0,737,0.1003137139687293,0.0,1.0
all,4,12:00,7,M1,737,0.1003137139687293,0.0,1.0
all,4,12:00,7,M2,737,0.10781608348931111,2.304024248762984,0.021221282425684086
all,4,12:00,7,M3,737,0.22546050688804659,4.137081881655555,3.517506139801798e-05
all,4,12:00,7,M3k,737,0.20888628535961834,4.054034657167935,5.034175322299822e-05
all,4,12:00,7,M4,737,0.1003137139687293,0.0,1.0
daily_0dte,4,12:00,7,M0,489,0.11196005841714177,0.0,1.0
daily_0dte,4,12:00,7,M1,489,0.11196005841714177,0.0,1.0
daily_0dte,4,12:00,7,M2,489,0.12210247617656322,2.3693695708948037,0.017818438596988975
daily_0dte,4,12:00,7,M3,489,0.2579851770205116,3.281292020256199,0.0010333269996937759
daily_0dte,4,12:00,7,M3k,489,0.23774657636651783,3.1955872140805504,0.0013954660089206146
daily_0dte,4,12:00,7,M4,489,0.11196005841714177,0.0,1.0
all,5,12:30,6,M0,737,0.0849710076569059,0.0,1.0
all,5,12:30,6,M1,737,0.0849710076569059,0.0,1.0
all,5,12:30,6,M2,737,0.08541153853787072,0.18494067057895078,0.8532755706774517
all,5,12:30,6,M3,737,0.17999281156499322,5.699741058463406,1.1998954417122125e-08
all,5,12:30,6,M3k,737,0.16724001307616718,5.330116232145992,9.81499293585491e-08
all,5,12:30,6,M4,737,0.0849710076569059,0.0,1.0
daily_0dte,5,12:30,6,M0,489,0.08795546295213849,0.0,1.0
daily_0dte,5,12:30,6,M1,489,0.08795546295213849,0.0,1.0
daily_0dte,5,12:30,6,M2,489,0.09198373962218145,1.448243612565084,0.1475489313736059
daily_0dte,5,12:30,6,M3,489,0.17353846120314778,3.6915804389869376,0.00022286488860527476
daily_0dte,5,12:30,6,M3k,489,0.16299986505394568,3.4609710524214194,0.0005382306844841541
daily_0dte,5,12:30,6,M4,489,0.08795546295213849,0.0,1.0
all,6,13:00,5,M0,737,0.09288258618655153,0.0,1.0
all,6,13:00,5,M1,737,0.09288258618655153,0.0,1.0
all,6,13:00,5,M2,737,0.08756091890876311,-1.7356871786456534,0.08261916175160672
all,6,13:00,5,M3,737,0.18378020026554387,5.749592836433862,8.945862158866047e-09
all,6,13:00,5,M3k,737,0.173354585150437,5.302876596577228,1.1399198283462702e-07
all,6,13:00,5,M4,737,0.09288258618655153,0.0,1.0
daily_0dte,6,13:00,5,M0,489,0.09290820364767326,0.0,1.0
daily_0dte,6,13:00,5,M1,489,0.09290820364767326,0.0,1.0
daily_0dte,6,13:00,5,M2,489,0.08961766954708672,-0.8296976749132885,0.4067097363688028
daily_0dte,6,13:00,5,M3,489,0.16729311675746122,3.4659568350929884,0.0005283480960318047
daily_0dte,6,13:00,5,M3k,489,0.16087195105873175,3.2266117455357275,0.0012526530780125008
daily_0dte,6,13:00,5,M4,489,0.09290820364767326,0.0,1.0
all,7,13:30,4,M0,737,0.10373404112062413,0.0,1.0
all,7,13:30,4,M1,737,0.10373404112062413,0.0,1.0
all,7,13:30,4,M2,737,0.10126028401604446,-0.7593238304822104,0.4476588655341458
all,7,13:30,4,M3,737,0.17194441969378088,6.126424321638652,8.987592432417407e-10
all,7,13:30,4,M3k,737,0.16364436663025,5.674782843277322,1.38864698541698e-08
all,7,13:30,4,M4,737,0.10373404112062413,0.0,1.0
daily_0dte,7,13:30,4,M0,489,0.10971930104348182,0.0,1.0
daily_0dte,7,13:30,4,M1,489,0.10971930104348182,0.0,1.0
daily_0dte,7,13:30,4,M2,489,0.10395243069463865,-1.6626655691060337,0.09637939797508976
daily_0dte,7,13:30,4,M3,489,0.15691765073331507,3.613339707963788,0.0003022782528026503
daily_0dte,7,13:30,4,M3k,489,0.15217732846228768,3.327124471597442,0.0008774716924912947
daily_0dte,7,13:30,4,M4,489,0.10971930104348182,0.0,1.0
all,8,14:00,3,M0,737,0.14616014776298633,0.0,1.0
all,8,14:00,3,M1,737,0.14616014776298633,0.0,1.0
all,8,14:00,3,M2,737,0.14292282601116107,-0.5411699554886633,0.5883904440071046
all,8,14:00,3,M3,737,0.20104106902348698,4.311196522800008,1.623735119428741e-05
all,8,14:00,3,M3k,737,0.19385762950964455,3.935763556479047,8.293259384709252e-05
all,8,14:00,3,M4,737,0.14616014776298633,0.0,1.0
daily_0dte,8,14:00,3,M0,489,0.1588269236139126,0.0,1.0
daily_0dte,8,14:00,3,M1,489,0.1588269236139126,0.0,1.0
daily_0dte,8,14:00,3,M2,489,0.14404364884531187,-2.985871996940006,0.0028277097892742123
daily_0dte,8,14:00,3,M3,489,0.18459379756040672,1.790535232915516,0.0733679084461903
daily_0dte,8,14:00,3,M3k,489,0.18051125016831662,1.5372428576755264,0.12423384882134952
daily_0dte,8,14:00,3,M4,489,0.1588269236139126,0.0,1.0
all,9,14:30,2,M0,737,0.17624530566814678,0.0,1.0
all,9,14:30,2,M1,737,0.17624530566814678,0.0,1.0
all,9,14:30,2,M2,737,0.1623453577983155,-2.6701750849352055,0.007581170424953881
all,9,14:30,2,M3,737,0.20109052239656897,1.7577443667852701,0.07879101515246388
all,9,14:30,2,M3k,737,0.19477774734952372,1.348199306316935,0.17759428767762564
all,9,14:30,2,M4,737,0.17624530566814678,0.0,1.0
daily_0dte,9,14:30,2,M0,489,0.18909600223693246,0.0,1.0
daily_0dte,9,14:30,2,M1,489,0.18909600223693246,0.0,1.0
daily_0dte,9,14:30,2,M2,489,0.16585412895847815,-4.11344377147786,3.898000193037117e-05
daily_0dte,9,14:30,2,M3,489,0.1837974622865988,-0.31104501583638366,0.7557664000834904
daily_0dte,9,14:30,2,M3k,489,0.18007934001717468,-0.5354554618891311,0.5923349474608881
daily_0dte,9,14:30,2,M4,489,0.18909600223693246,0.0,1.0
all,10,15:00,1,M0,737,0.26536251083668844,0.0,1.0
all,10,15:00,1,M1,737,0.26536251083668844,0.0,1.0
all,10,15:00,1,M2,737,0.22657712651169187,-3.714205654274778,0.0002038429766365665
all,10,15:00,1,M3,737,0.2509915824775876,-0.7780510934024495,0.4365388928303049
all,10,15:00,1,M3k,737,0.24519781826690565,-1.127173491923218,0.2596691357580415
all,10,15:00,1,M4,737,0.26536251083668844,0.0,1.0
daily_0dte,10,15:00,1,M0,489,0.29467268271016867,0.0,1.0
daily_0dte,10,15:00,1,M1,489,0.29467268271016867,0.0,1.0
daily_0dte,10,15:00,1,M2,489,0.2365183665428002,-4.3955395312973256,1.104979514637437e-05
daily_0dte,10,15:00,1,M3,489,0.24425363260131094,-2.1936277015617716,0.028262185254816632
daily_0dte,10,15:00,1,M3k,489,0.24171540198352476,-2.3413773615319107,0.019212736881041432
daily_0dte,10,15:00,1,M4,489,0.29467268271016867,0.0,1.0
all,-1,POOLED,-1,M0,737,0.11260320609349032,0.0,1.0
all,-1,POOLED,-1,M1,737,0.11260320609349032,0.0,1.0
all,-1,POOLED,-1,M2,737,0.11225101887674953,-0.13779307009712066,0.8904039613763283
all,-1,POOLED,-1,M3,737,0.1897118478794763,7.344900493877655,2.0591223128029875e-13
all,-1,POOLED,-1,M3k,737,0.17698015287010474,6.7881190435342855,1.1360489735080119e-11
all,-1,POOLED,-1,M4,737,0.11260320609349032,0.0,1.0
daily_0dte,-1,POOLED,-1,M0,489,0.12082068550233016,0.0,1.0
daily_0dte,-1,POOLED,-1,M1,489,0.12082068550233016,0.0,1.0
daily_0dte,-1,POOLED,-1,M2,489,0.11790554500836448,-0.9517235863654171,0.34123718421602267
daily_0dte,-1,POOLED,-1,M3,489,0.1847989312187862,4.523932741157054,6.0701021285719995e-06
daily_0dte,-1,POOLED,-1,M3k,489,0.17417541703063041,4.146318886282167,3.378631984920899e-05
daily_0dte,-1,POOLED,-1,M4,489,0.12082068550233016,0.0,1.0
