era,hour_et,bucket,cp,n_quotes,mid_med,hs_rel_p25,hs_rel_med,hs_rel_p75,hs_rel_p90,hs_abs_med,n_iv_solved,iv_solve_rate,iv_mid_med,vol_cost_abs_med,vol_cost_frac_med,theta_min_med
all,10,"[0.10,0.30)",C,11554,3.25,0.015151500920837589,0.023255846189638794,0.03571429483744579,0.05579710466853802,0.07499998807907104,11554,1.0,0.11933874497321682,0.0010548351706205147,0.008679482760944256,0.017428951016480135
all,10,"[0.10,0.30)",P,15214,3.5999999046325684,0.014084493799404275,0.021739110153428578,0.032967000145251925,0.05154639276615404,0.09999990463256836,15214,1.0,0.13331345816345438,0.001112235228583596,0.008159103181180473,0.016372978254958447
all,10,"[0.30,0.50)",C,8235,9.399999618530273,0.008403353599848182,0.012987031886782754,0.021459228170476043,0.03571429483744579,0.10000038146972656,8235,1.0,0.12264535832417034,0.0011296010705401094,0.009605846459164716,0.01921708927490365
all,10,"[0.30,0.50)",P,9008,9.75,0.00813007342129105,0.01265821562346669,0.020878540449202832,0.03496503449866776,0.10000038146972656,9008,1.0,0.1267398172353414,0.0011316191959563071,0.009274303833566807,0.018555043203789832
all,10,"[0.50,0.70)",C,8951,18.850000381469727,0.005917182469050446,0.00917430349837499,0.01682873741509936,0.03418804289643447,0.15000057220458984,8950,0.9998882806390348,0.12656843088820552,0.0016738240587733932,0.01274175646917117,0.02548904238973118
all,10,"[0.50,0.70)",P,8266,18.299999237060547,0.006503367149816355,0.009900996643192219,0.019108292635635724,0.04197647346588523,0.15000152587890625,8263,0.999637067505444,0.12288016262229204,0.001744097745447204,0.013869089679106219,0.027765253854788723
all,10,"[0.70,0.90]",C,15405,37.79999923706055,0.007142884390694755,0.010835925378850822,0.01798062492652883,0.04513094181516316,0.39999961853027344,14840,0.9633235962349886,0.13425008857951043,0.005580313599396522,0.041773315979072204,0.0852563298087037
all,10,"[0.70,0.90]",P,12394,34.04999923706055,0.008797687913002524,0.013062431145823195,0.02222771486492212,0.05780157701135636,0.40000152587890625,11579,0.9342423753429079,0.12186176285957317,0.005761547411408982,0.04957753658776897,0.10174623931840658
all,11,"[0.10,0.30)",C,10279,2.825000047683716,0.01449273960151203,0.021739110153428578,0.031250006984919206,0.046153875497671276,0.05000007152557373,10279,1.0,0.11628683626483205,0.0009608143007728762,0.008041856253059611,0.016141685978263442
all,11,"[0.10,0.30)",P,13392,3.1500000953674316,0.013698649375114719,0.02040814340536656,0.029126231570822864,0.04166667494508922,0.05000007152557373,13392,1.0,0.12840426995431692,0.0009816046310419102,0.007504223742266089,0.015069944988280794
all,11,"[0.30,0.50)",C,7185,8.199999809265137,0.00813007342129105,0.012048181004163879,0.018181800842285156,0.02702703312246177,0.09999990463256836,7185,1.0,0.11891626525531505,0.0010998233572349914,0.008805428195741363,0.017628892407415078
all,11,"[0.30,0.50)",P,7791,8.449999809265137,0.008103727614543704,0.011904751092127441,0.017857126131349394,0.02654868899744272,0.09999990463256836,7791,1.0,0.12254881425619832,0.00110885997345965,0.008708741498692768,0.017430847071812763
all,11,"[0.50,0.70)",C,7826,16.549999237060547,0.0056818397330839045,0.00819671362262028,0.01207939260396686,0.018982750177878305,0.14999961853027344,7826,1.0,0.12245225288956704,0.0013277455073844036,0.011707320324400767,0.02342456502828489
all,11,"[0.50,0.70)",P,7151,15.850000381469727,0.006097584377790879,0.008695685345193615,0.013111902667059104,0.02058825773351333,0.14999961853027344,7151,1.0,0.1189771625675308,0.0013621392409385868,0.012241461157284627,0.02450978195048729
all,11,"[0.70,0.90]",C,13770,33.099998474121094,0.006554986333075846,0.009285294920443863,0.012987031886782754,0.0181818201634791,0.2999992370605469,13721,0.9964415395787944,0.12914556116593412,0.0045133545784846185,0.03642814200817263,0.07416086376146072
all,11,"[0.70,0.90]",P,10274,28.850000381469727,0.007812492433004194,0.011049712986188162,0.015151500920837589,0.02144389294030322,0.3000001907348633,10217,0.9944520147946272,0.11689773665249835,0.004620403851988614,0.04272339587914696,0.08715031452881283
all,12,"[0.10,0.30)",C,9244,2.5250000953674316,0.014925394910140392,0.022222201029459637,0.03225807319942823,0.047619038608519584,0.050000011920928955,9244,1.0,0.11744518121567342,0.001001504287147903,0.008312253049216213,0.01668883880571271
all,12,"[0.10,0.30)",P,11923,2.7750000953674316,0.014084493799404275,0.02083336230781228,0.030303037965702835,0.043478260869565216,0.050000011920928955,11923,1.0,0.12725934105194317,0.0010304770235261829,0.007807808351675488,0.01566148070312196
all,12,"[0.30,0.50)",C,6379,7.300000190734863,0.008849548933154943,0.012820530846900675,0.01886795084007008,0.027777785136376094,0.09999990463256836,6379,1.0,0.11959834620728767,0.0011863393324051258,0.009378072926837027,0.01876731117570304
all,12,"[0.30,0.50)",P,6882,7.5,0.008695685345193615,0.01265821562346669,0.01886795084007008,0.027777785136376094,0.09999990463256836,6882,1.0,0.12267255607097878,0.0012036792006160854,0.009275522223398253,0.018556988746491403
all,12,"[0.50,0.70)",C,6941,14.600000381469727,0.005952347162898252,0.008403353599848182,0.012195110604707453,0.01935485101515247,0.10000038146972656,6941,1.0,0.12239782926933294,0.0013833473695350762,0.011942340348535113,0.023900294261699147
