book,n,mean,sharpe_bar,sharpe_ann,hit,filter
qlike full panel,275710,0.0020531388570710673,0.003404536980282944,0.3744371620421513,0.5155308113597621,none
qlike RTH 10-16,70413,0.007464003626813191,0.010517088081922692,1.1566884534222879,0.5204294661497166,clock
qlike RTH 10-16 drop D10,60160,0.0049542289888256635,0.01057186227952351,1.162712619181557,0.5157081117021277,clock+D10
qlike AM 10-12 drop D10,20244,0.005260694378415537,0.022511509482106343,2.475856709027243,0.5258842126062043,AM+D10
mse-varswap full (gap*(rv-mid)),275710,-5.272083324534067e-06,-0.0014189197802977236,-0.15605537515882628,0.516034964274056,none
mse-varswap RTH 10-16 drop D10,60160,-5.406161128079701e-06,-0.001973309916490818,-0.21702820948622786,0.5157579787234042,clock+D10
hess-varswap full (winsor 1%),275710,0.025840385119972272,0.06706577684732552,7.376015974653265,0.5665844546806427,none
hess-varswap RTH 10-16 drop D10,60160,0.019166594250705084,0.03872692973859499,4.259258087048351,0.554970079787234,clock+D10
hess-varswap AM 10-12 drop D10,20244,0.016341109126603616,0.07575519986739826,8.331694504292667,0.5717743528946848,AM+D10
qlike SPXW stamps,16778,-0.0031113644962689345,-0.008475956252741635,-0.932201066767747,0.34598879485039935,SPXW
qlike SPXW skip open,10539,0.0007167029934906349,0.0015660454370979473,0.17223652217379715,0.5126672359806433,SPXW+clock
qlike SPXW skip open drop D10,8038,0.005434242725781276,0.022826736418619615,2.5105259401711097,0.5145558596665837,SPXW+clock+D10
hess-varswap SPXW skip open drop D10,8038,0.02014687687377468,0.08114364192501126,8.924325150858152,0.5548643941278925,SPXW+clock+D10
