burn,forecast,n,qlike,dm_vs_mfiv_deb,corr_lrev_lsurprise,sign_agree_vs_deb,sh_hess_vs_raw_mfiv,sh_hess_vs_deb_mfiv,sh_hess_vs_a0
63,a0,608,0.04244554718113988,-11.100873365035017,,,,,
63,blk2,608,0.038210971755845625,-11.422905315815873,,,,,
63,mfiv_raw,608,0.4905064086742351,19.240853384343485,,,,,
63,mfiv_deb,608,0.2182871307682242,,,,,,
63,a0_deb,608,0.04173818832944172,-11.108694867097693,,,,,
63,blk2_deb,608,0.03671639956687017,-11.621229737828218,,,,,
63,mfiv_deb_x_rev,608,0.20415332783337442,-4.572568319309132,,,,,
63,_info,608,,,0.25497655224005183,0.5921052631578947,1.5382756372564763,1.6747115195982947,4.239057085189838
126,a0,545,0.043071467742321505,-10.31153119907725,,,,,
126,blk2,545,0.037780955286873474,-10.72860498797869,,,,,
126,mfiv_raw,545,0.4767744116046209,17.387712451726497,,,,,
126,mfiv_deb,545,0.2116433586091021,,,,,,
126,a0_deb,545,0.04243912491082922,-10.322662188423493,,,,,
126,blk2_deb,545,0.03613450174952772,-10.942276843113058,,,,,
126,mfiv_deb_x_rev,545,0.19822548654706665,-4.210587090403349,,,,,
126,_info,545,,,0.26996105796788405,0.5871559633027523,1.3126181519476998,1.5900462914446976,4.2787580540649115
