group,metric,value
data,rows_raw,8198778.0
data,rows_quoted,4461976.0
data,rows_settled_days,2326286.0
data,rows_dup_dropped,0.0
data,n_expirations,711.0
data,iv_fail_expired_tau0,0.06693115119980948
data,iv_fail_at_or_below_intrinsic,0.3799915401631614
data,iv_fail_total_frac,0.43507247174251146
data,iv_finite_rows,1314183.0
data,universe_rows,203913.0
data,universe_frac_of_finite_iv,0.1551633220031
smile_r2_C,q10,0.8646262859123255
smile_r2_C,q25,0.965790458166463
smile_r2_C,q50,0.9904595736388347
smile_r2_C,q75,0.9965563747181149
smile_r2_C,q90,0.9984262981274106
smile_r2_C,mean,0.946715843527138
smile_n_C,median_strikes,11.0
smile_fits_C,n_snapshots,7699.0
smile_r2_P,q10,0.8949594580029345
smile_r2_P,q25,0.9632855430349329
smile_r2_P,q50,0.9886115627685855
smile_r2_P,q75,0.9961750794793959
smile_r2_P,q90,0.998467832723701
smile_r2_P,mean,0.9548954261261899
smile_n_P,median_strikes,11.0
smile_fits_P,n_snapshots,7564.0
smile_r2_pooled,q10,0.4430278424320479
smile_r2_pooled,q25,0.7020685304390414
smile_r2_pooled,q50,0.8758651245892672
smile_r2_pooled,q75,0.9603794799797849
smile_r2_pooled,q90,0.9867367284237955
smile_r2_pooled,mean,0.7924457320710048
smile_n_pooled,median_strikes,21.0
smile_fits_pooled,n_snapshots,8507.0
score_xs_call,frac_defined,0.964673301431661
score_xs_call,frac_abs_gt_1.0,0.24834375519870044
score_xs_call,frac_abs_gt_1.5,0.07486128643983207
score_xs_call,frac_abs_gt_2.0,0.018788715028036286
score_xs_put,frac_defined,0.9589182493806772
score_xs_put,frac_abs_gt_1.0,0.2466084699775864
score_xs_put,frac_abs_gt_1.5,0.07357162518186465
score_xs_put,frac_abs_gt_2.0,0.01798985490149817
score_xs_pooled,frac_defined,0.9995095947781651
score_xs_pooled,frac_abs_gt_1.0,0.2931102970384429
score_xs_pooled,frac_abs_gt_1.5,0.07591472834002737
score_xs_pooled,frac_abs_gt_2.0,0.014707252602825715
score_temporal,frac_defined,0.6682850038987215
score_temporal,frac_abs_gt_1.0,0.3424401583028056
score_temporal,frac_abs_gt_1.5,0.236620519535292
score_temporal,frac_abs_gt_2.0,0.1595778591850446
