h,n_all,incr_all,n_filt,incr_filt,qlike_all,qlike_filt
1,16778,-0.002765861648602593,8038,0.010964074659084526,-0.008475956252741635,0.022826736418619615
2,16778,0.008396140403933595,8038,0.01024451496735698,-0.008475956252741635,0.022826736418619615
3,16778,0.0027588843193294115,8038,0.004997253908306927,-0.008475956252741635,0.022826736418619615
4,16778,0.0013985264471026754,8038,-0.004693398451115178,-0.008475956252741635,0.022826736418619615
5,16778,0.0023252993881592962,8038,-0.008259189587988122,-0.008475956252741635,0.022826736418619615
6,16778,-0.0031340211821776196,8038,-0.011933542596470352,-0.008475956252741635,0.022826736418619615
7,16778,0.002413207325914546,8038,-0.014942144893512524,-0.008475956252741635,0.022826736418619615
8,16778,-0.0063354164454842545,8038,-0.004746893312712722,-0.008475956252741635,0.022826736418619615
9,16778,-0.006560267162771407,8038,-0.0024013430793802053,-0.008475956252741635,0.022826736418619615
10,16778,-0.007181217969069821,8038,0.0021401004870223116,-0.008475956252741635,0.022826736418619615
11,16778,-0.009099922974823494,8038,0.00412769335935345,-0.008475956252741635,0.022826736418619615
12,16778,-0.008221628242250869,8038,0.006325360282982354,-0.008475956252741635,0.022826736418619615
13,16778,-0.008134392176281742,8038,0.006510945547522893,-0.008475956252741635,0.022826736418619615
