term,coef,se_ols,t_ols,se_day_clustered,t_day_clustered,n_obs,n_days,note
const,-0.08787590338699013,0.0019892723572049686,-44.1748979563866,0.014438502866500632,-6.08621989409128,56629,527,"DESCRIPTIVE association, not causal"
sig,-0.03104480275932346,0.007427297662900098,-4.179824771854042,0.07195061183660717,-0.4314737841260222,56629,527,"DESCRIPTIVE association, not causal"
sig_x_vix_z,0.05479422673929655,0.00731653317978841,7.489097007126696,0.06896344031903905,0.794540215595498,56629,527,"DESCRIPTIVE association, not causal"
