hour_et,n_all,hs_rel_med_all,hs_abs_med_all,mid_med_all,n_daily_0dte,hs_rel_med_daily_0dte,hs_abs_med_daily_0dte,mid_med_daily_0dte
10,34460,0.011235944822330467,0.14999985694885254,13.6,24935,0.00900900010773942,0.10000038146972656,13.6
11,29953,0.010033451323154556,0.10000038146972656,11.8,21599,0.008333365122477213,0.09999990463256836,11.8
12,26584,0.010380629574213122,0.10000014305114746,10.5,19121,0.008849548933154943,0.09999990463256836,10.5
13,23633,0.011494242163784031,0.10000002384185791,9.4,16953,0.009771992940697862,0.09999990463256836,9.35
14,19799,0.014705902977385157,0.10000014305114746,7.95,13955,0.01234566665716917,0.09999990463256836,7.8
15,14093,0.01960782480441495,0.10000002384185791,5.6,9695,0.01639342724524056,0.09999990463256836,5.4
