era,score,zt,n_contracts,n_days,frac_flagged,frac_long,sh_daily_mid,sh_daily_crossed,hit_daily_mid,mean_per_trade_mid,mean_per_trade_crossed,hit_per_trade_mid,pn_n_snap,sh_pn_mid,sh_pn_crossed,mean_pn_mid
all,xs_call,1.0,25378.0,708.0,0.24834375519870044,0.49306485932697613,0.4882795508667064,-4.917054915550357,0.5522598870056498,0.004052501322790135,-0.04577744599725098,0.5139096855544172,6131.0,0.36672312568100185,-4.242328179289676,0.007987875084082734
all,xs_call,1.5,7650.0,689.0,0.07486128643983207,0.48444444444444446,0.896744475603373,-2.1031871416321004,0.5631349782293179,-0.0018478835512670297,-0.04581338259016705,0.5163398692810458,1575.0,0.9699392128609157,-1.7126490829442,0.0036624957540998104
all,xs_call,2.0,1920.0,476.0,0.018788715028036286,0.49114583333333334,0.38788980189074646,-1.4866049734696485,0.542016806722689,-0.01722165037374482,-0.060724972582867,0.5130208333333334,188.0,-1.4170828934856126,-5.205723076519895,-0.043193899349493865
all,xs_put,1.0,25086.0,710.0,0.2466084699775864,0.5080523000876983,0.516767121364599,-6.590082036425002,0.5366197183098591,0.00601223093565728,-0.04533926238401751,0.5104839352626963,6023.0,1.3285791451241675,-6.836758949607185,0.01376594819125425
all,xs_put,1.5,7484.0,684.0,0.07357162518186465,0.4993319080705505,0.705853850976745,-2.381708193246297,0.4853801169590643,0.0009411757196690505,-0.04594070323241042,0.5256547300908605,1652.0,-2.021954471915394,-7.225671066762337,-0.03604861045905765
all,xs_put,2.0,1830.0,449.0,0.01798985490149817,0.4530054644808743,-0.0724354161504073,-3.23316986874794,0.5434298440979956,-0.002253398639064301,-0.048341032616076175,0.5497267759562842,180.0,2.850240395602202,-10.582210368251918,0.04213232434916915
all,xs_pooled,1.0,59769.0,711.0,0.2931102970384429,0.5584667637069384,0.2194663584977642,-3.175561420085641,0.4149085794655415,0.01024110944031573,-0.0526378109239736,0.5071190751058241,7837.0,0.7628611262359559,-3.2659274153133624,0.027633153751797573
all,xs_pooled,1.5,15480.0,711.0,0.07591472834002737,0.6484496124031007,-0.6364089826809219,-2.5225544499317096,0.32489451476793246,-0.0009466945864415963,-0.06364435642542174,0.475,2928.0,-0.9491317087898631,-3.938691020608351,-0.028931455723239383
all,xs_pooled,2.0,2999.0,605.0,0.014707252602825715,0.5338446148716238,0.5293561347571986,-1.199272019811193,0.5223140495867769,0.018142230603491887,-0.038728692695548385,0.5295098366122041,432.0,1.954609896730834,-0.9008030027188301,0.10109170582270002
all,temporal,1.0,69828.0,711.0,0.3424401583028056,0.2606690725783353,1.5425949793283047,-1.3789534955800735,0.6708860759493671,0.05104046429096907,-0.010534304529811675,0.6002176777224036,1041.0,0.7717932596367553,-2.0764174088577447,0.02496981496056315
all,temporal,1.5,48250.0,710.0,0.236620519535292,0.19815544041450778,1.737221838855534,-0.7420890295323996,0.6732394366197183,0.05313568724115492,-0.008359895498838034,0.6190673575129534,462.0,1.4878601511116147,-1.6529064186807427,0.06722833829401012
all,temporal,2.0,32540.0,708.0,0.1595778591850446,0.15590043023970498,1.6080606256133727,-0.5100859445429022,0.693502824858757,0.057648047281189836,-0.004848777275624993,0.6346342962507683,218.0,0.6000461366741943,-1.5249679973471457,0.05209051252765408
all,ctrl_always_short,,79424.0,711.0,0.3894994433900732,0.0,3.7244312073287653,1.0578547459284742,0.680731364275668,0.06683801968902854,0.015182735305784189,0.6521454472199839,,,,
all,ctrl_always_long,,79424.0,711.0,0.3894994433900732,1.0,-3.7244312073287653,-6.406292599635591,0.31926863572433195,-0.06683801968902854,-0.11849330422944443,0.3478545527800161,,,,
daily_0dte,xs_call,1.0,15121.0,432.0,0.24817003118332512,0.4928245486409629,1.3994346408454326,-6.977828685649655,0.5347222222222222,0.0100443964693071,-0.03657904037580668,0.5135242378149594,3825.0,0.9747598275878264,-7.232458260582944,0.013276909133818224
daily_0dte,xs_call,1.5,4556.0,430.0,0.0747743311997374,0.49122036874451275,1.72535924420653,-2.1290869086685262,0.5534883720930233,0.023326331626297294,-0.015351937624150883,0.5204126426690079,921.0,2.5824439471732035,-1.8855359734805013,0.05367906293726522
