era,score,zt,n_contracts,n_days,frac_flagged,frac_long,sh_daily_mid,sh_daily_crossed,hit_daily_mid,mean_per_trade_mid,mean_per_trade_crossed,hit_per_trade_mid,pn_n_snap,sh_pn_mid,sh_pn_crossed,mean_pn_mid
daily_0dte,xs_call,2.0,1081.0,307.0,0.017741670769735762,0.484736355226642,0.27172868524471555,-2.4555270400936124,0.5635179153094463,0.01035644196474782,-0.02593741289471144,0.5254394079555966,83.0,2.2297880662223997,-4.803246282600972,0.019861077161657397
daily_0dte,xs_put,1.0,14878.0,433.0,0.24702385893838516,0.5022852533942734,-0.002028126859800049,-7.216440867034935,0.5381062355658198,0.005406991530340375,-0.04126558624836778,0.5089393735717166,3717.0,0.7240130381813149,-9.061329573096298,0.008474118107095157
daily_0dte,xs_put,1.5,4447.0,424.0,0.07383486360391174,0.4996626939509782,-0.2961065909577644,-4.2830834063808,0.4882075471698113,-0.0043400310907522575,-0.04485849789444171,0.5232741173825051,982.0,-1.9801991429616888,-7.536386328005486,-0.01882974875650354
daily_0dte,xs_put,2.0,1009.0,292.0,0.016752727091600392,0.47373637264618434,-0.72391516559773,-4.907258331431634,0.541095890410959,-0.0044512227847096995,-0.04439149465457257,0.5470763131813677,73.0,3.580237920306742,-11.168036264024636,0.03733550477886262
daily_0dte,xs_pooled,1.0,35250.0,433.0,0.2909400044569533,0.5659290780141844,-0.5518435975266958,-4.375131554431773,0.3995381062355658,-0.00937836076126441,-0.0689662687361683,0.5043687943262412,4740.0,0.16912682687103056,-4.600843768168565,0.0029745875209630525
daily_0dte,xs_pooled,1.5,9000.0,433.0,0.07428255432943487,0.6665555555555556,-2.2553735832550794,-4.835600803435459,0.3002309468822171,-0.04843298476593651,-0.10592650022444212,0.4671111111111111,1630.0,-1.5944601976633976,-4.874076627974418,-0.04320896123064263
daily_0dte,xs_pooled,2.0,1572.0,373.0,0.012974686156207959,0.5540712468193384,0.4556361491839643,-1.0996809599266155,0.5254691689008043,0.0040748311208901695,-0.04362422327885963,0.5298982188295165,192.0,-1.459555836908616,-4.808839434593386,-0.023908174825526148
daily_0dte,temporal,1.0,38173.0,433.0,0.31506532737972415,0.3185759568281246,1.4732723993989811,-1.5140547486260705,0.6466512702078522,0.06771688563514304,0.010729569686157766,0.5958399916171115,684.0,0.21134831986461802,-2.1173863736381575,0.017769314718346026
daily_0dte,temporal,1.5,25264.0,432.0,0.2085193836198714,0.2512666244458518,1.9476504234256353,-0.6053692340144816,0.6481481481481481,0.07633651240885256,0.020814795263788023,0.6199335022165928,304.0,0.6200384561108362,-2.216745272957863,0.060672438975968024
daily_0dte,temporal,2.0,15924.0,430.0,0.13143059946021343,0.20553880934438584,1.8493983943899979,-0.23183249444795756,0.6813953488372093,0.09567118262993508,0.04018044105407146,0.6480155739763879,142.0,0.17878958308802834,-1.4755242771839707,0.052072750188721616
daily_0dte,ctrl_always_short,,47504.0,433.0,0.2329620965804044,0.0,4.9309319157720495,2.212040463187765,0.6905311778290993,0.0928955293149605,0.04424373814337815,0.6706803637588413,,,,
daily_0dte,ctrl_always_long,,47504.0,433.0,0.2329620965804044,1.0,-4.9309319157720495,-7.6622227547898865,0.3094688221709007,-0.0928955293149605,-0.14154732049066024,0.3293196362411586,,,,
