panel,era,hour,forecast,n_days,qlike,dm_t_vs_A_blk2,nested_in,dm_t_vs_nested,dm_t_pooled_vs_perhour
fixed,all,10:00,A_blk2,800,0.04063880838108008,,,,
fixed,all,10:00,A_a0,800,0.04466135217658727,2.2183928950025185,,,
fixed,all,10:00,B_direct_blk2,800,0.04132255020227154,0.878403450271239,,,
fixed,all,10:00,B_direct_iv,800,0.21115651112530157,13.194868580530686,,,
fixed,all,10:00,B_joint,800,0.04120274494603028,0.7097320469323934,B_direct_blk2,-1.0454076317004826,
fixed,all,10:00,B_joint_realized,800,0.03729408324849957,-2.2839978043879334,B_joint,-3.8596474717096942,
fixed,all,10:00,B_ft_blk2,800,0.15649370894484213,12.613796996496903,,,
fixed,all,10:00,B_ft_joint,800,0.1427491307347048,13.105925604623877,B_ft_blk2,-3.4922351625160855,
fixed,all,10:00,P_direct_blk2,800,0.04241248601706093,1.8027996051743613,,,2.753226182062376
fixed,all,10:00,P_direct_iv,800,0.22107164932772952,13.87879887033936,,,4.838850249592272
fixed,all,10:00,P_joint,800,0.041258486996649156,0.6145083637747597,P_direct_blk2,-3.5763795368323312,0.11965967536633733
fixed,all,10:00,P_joint_realized,800,0.040150750517425546,-0.31971140837956186,P_joint,-1.201137658450531,4.351791854604867
fixed,all,10:00,P_ft_blk2,800,0.15744157964583258,13.4375737284197,,,0.5082949329968534
fixed,all,10:00,P_ft_joint,800,0.15464528769501626,11.781476711554799,P_ft_blk2,-0.7079687913787864,3.375873281202539
fixed,all,10:30,A_blk2,800,0.04516439994487332,,,,
fixed,all,10:30,A_a0,800,0.04972511336543505,2.161377877542892,,,
fixed,all,10:30,B_direct_blk2,800,0.04584087464992063,0.8788082764189298,,,
fixed,all,10:30,B_direct_iv,800,0.23635392605095137,13.368926787919467,,,
fixed,all,10:30,B_joint,800,0.045484667872944765,0.4002333637451276,B_direct_blk2,-2.387091406398117,
fixed,all,10:30,B_joint_realized,800,0.03974596491791955,-2.796272050112402,B_joint,-3.8397708138455373,
fixed,all,10:30,B_ft_blk2,800,0.19220109344510178,8.204080154697442,,,
fixed,all,10:30,B_ft_joint,800,0.16647519139329853,8.90280672267901,B_ft_blk2,-4.376762217466498,
fixed,all,10:30,P_direct_blk2,800,0.04689451047057301,1.7133193797567148,,,2.4780780289248012
fixed,all,10:30,P_direct_iv,800,0.24350820164329604,13.858497971270289,,,4.272184126622238
fixed,all,10:30,P_joint,800,0.04561574526822531,0.4273922121578773,P_direct_blk2,-3.487300132961504,0.28739385532843403
fixed,all,10:30,P_joint_realized,800,0.04339763935006946,-1.0536273676204773,P_joint,-2.2472641040489867,5.210262048021197
fixed,all,10:30,P_ft_blk2,800,0.1879358544491609,8.103282960095623,,,-1.6962954572764577
fixed,all,10:30,P_ft_joint,800,0.16960613313235556,8.496216267911693,P_ft_blk2,-3.375123545241173,1.6977027277939334
fixed,all,11:00,A_blk2,800,0.048479297101733,,,,
fixed,all,11:00,A_a0,800,0.052789663196186956,1.8539303604225,,,
fixed,all,11:00,B_direct_blk2,800,0.049085869112472036,0.76278163471242,,,
fixed,all,11:00,B_direct_iv,800,0.2533016856503447,13.370504452249815,,,
fixed,all,11:00,B_joint,800,0.04845270148998232,-0.0323854767515208,B_direct_blk2,-2.672464713264203,
fixed,all,11:00,B_joint_realized,800,0.0418493538967234,-3.1223351389471588,B_joint,-3.951446211737212,
fixed,all,11:00,B_ft_blk2,800,0.19616451289926196,8.516963593452525,,,
fixed,all,11:00,B_ft_joint,800,0.17467927844856748,8.564138931446754,B_ft_blk2,-3.9560710498045046,
fixed,all,11:00,P_direct_blk2,800,0.050048130173934044,1.548719160854116,,,2.4251988567082594
fixed,all,11:00,P_direct_iv,800,0.2593521113689623,13.758007831379166,,,4.309856673347493
fixed,all,11:00,P_joint,800,0.04861255301493629,0.12333380453397555,P_direct_blk2,-3.5992246915782835,0.3669644555781614
fixed,all,11:00,P_joint_realized,800,0.04605274921478151,-1.3708984630622176,P_joint,-2.3815765838320835,5.915441902978186
fixed,all,11:00,P_ft_blk2,800,0.1950684665999754,8.273125457979061,,,-0.5150144092278461
fixed,all,11:00,P_ft_joint,800,0.1774765485906556,8.31100618756259,P_ft_blk2,-3.3170613442743186,1.8427394790355962
fixed,all,11:30,A_blk2,800,0.05159996914592074,,,,
fixed,all,11:30,A_a0,800,0.05684239419605263,2.0891627282352183,,,
fixed,all,11:30,B_direct_blk2,800,0.05222617863387679,0.7028263939968591,,,
fixed,all,11:30,B_direct_iv,800,0.27216004647502046,13.443488718188771,,,
fixed,all,11:30,B_joint,800,0.051406573664779326,-0.20570211720281723,B_direct_blk2,-3.0493925961835315,
fixed,all,11:30,B_joint_realized,800,0.04430050500818855,-3.164869837915641,B_joint,-3.9202919515980987,
fixed,all,11:30,B_ft_blk2,800,0.20976937811474108,8.459499735917225,,,
fixed,all,11:30,B_ft_joint,800,0.1912982629758826,8.096646550821863,B_ft_blk2,-4.022793731614096,
fixed,all,11:30,P_direct_blk2,800,0.053218115491333665,1.555758851726232,,,2.590270593379929
fixed,all,11:30,P_direct_iv,800,0.2782696078954052,13.710737769053264,,,4.421578937289924
fixed,all,11:30,P_joint,800,0.05170353691897598,0.09194098179347698,P_direct_blk2,-3.485590426100625,0.7316129109120557
fixed,all,11:30,P_joint_realized,800,0.04866314655226999,-1.5399988518689838,P_joint,-2.5175377855143184,6.753844732475023
fixed,all,11:30,P_ft_blk2,800,0.20656717898669197,7.819002506847968,,,-1.4573872625405238
fixed,all,11:30,P_ft_joint,800,0.19499937228252648,7.70574224991515,P_ft_blk2,-2.116221984211358,1.5303040362772091
fixed,all,12:00,A_blk2,800,0.05637338243460723,,,,
fixed,all,12:00,A_a0,800,0.06244611687842103,2.204901113608066,,,
fixed,all,12:00,B_direct_blk2,800,0.0571414835920395,0.987282772452714,,,
fixed,all,12:00,B_direct_iv,800,0.2930282239024971,13.795212543866349,,,
fixed,all,12:00,B_joint,800,0.056085180376752815,-0.33380120708153277,B_direct_blk2,-3.075293991788789,
fixed,all,12:00,B_joint_realized,800,0.04745535645087147,-3.368910412663727,B_joint,-3.972595420876292,
