dim,bucket,theta,model,n_rows,n_traded,n_days,frac_traded,frac_long,sh_mid,sh_crossed,hit_mid,mean_mid,mean_crossed,sh_always_short,med_abs_sig
entry_hour,10:00,0.05,b2,8885,6669,651,0.7505908835115362,0.46033888139151297,6.460066287254696,3.214132013420826,0.6855600539811066,0.11066284695489266,0.05672068668639352,3.34957380153251,0.10740793622431918
entry_hour,10:30,0.05,b2,8194,6226,633,0.7598242616548694,0.43302280758111145,6.180408527470058,3.6916291565787436,0.683424349502088,0.11642116225425826,0.07413585763140582,4.289701169464822,0.10755534383987214
entry_hour,11:00,0.05,b2,7657,5834,634,0.7619171999477602,0.3575591360987316,5.851858625118702,3.5170208055866476,0.7027768255056565,0.1253327849901532,0.08266543316684798,4.135845745269915,0.10853024857511906
entry_hour,11:30,0.05,b2,7217,5448,638,0.754884300956076,0.31993392070484583,5.904307910174129,3.4440679312142457,0.7006240822320118,0.12225576808945769,0.07816622804709196,3.9544889744920786,0.10631564354083026
entry_hour,12:00,0.05,b2,6760,5110,624,0.7559171597633136,0.3142857142857143,5.2172610582365255,2.7990876268520544,0.7015655577299413,0.11443430789194504,0.06911174597411711,3.721947790611773,0.11251786049384933
entry_hour,12:30,0.05,b2,6407,5003,628,0.7808646792570626,0.28762742354587245,5.169298537141173,2.897690580258433,0.6925844493304018,0.11505282313263737,0.06902764322541477,3.549929054403351,0.12241535000908413
entry_hour,13:00,0.05,b2,6069,4756,623,0.7836546383259186,0.2510513036164844,4.9580305069716415,2.6959193280507354,0.6642136248948697,0.11816986055597432,0.07062160097451552,3.2767645390493563,0.12188215229321878
entry_hour,13:30,0.05,b2,5722,4436,627,0.775253407899336,0.24323715058611362,4.032189832100549,2.0040979960660907,0.6609558160504959,0.11576853145872297,0.06724573447426126,3.0475848600093105,0.1260459971223227
entry_hour,14:00,0.05,b2,5344,4290,634,0.8027694610778443,0.19766899766899768,4.198023551298689,2.1221204009613426,0.6421911421911422,0.1240352155722498,0.05773729431510802,2.4822097282608184,0.14274235696474274
entry_hour,14:30,0.05,b2,4685,3875,637,0.8271077908217717,0.2366451612903226,2.445972037055727,0.7127393809374188,0.5566451612903226,0.07103125817715579,0.015240178641304999,2.136088776627646,0.14512978806619808
entry_hour,15:00,0.05,b2,3998,3373,639,0.843671835917959,0.12422176104358139,0.9623533836538005,-0.7342544852115545,0.574266231841091,0.03422654807429999,-0.02912972977391378,1.539177436236181,0.190556651113997
entry_hour,15:30,0.05,b2,3062,2709,642,0.8847158719790986,0.11332595053525286,-0.005663392841802414,-1.5241463341515986,0.5858250276854928,0.028890360316378105,-0.047190372369483806,0.23488695679284458,0.23767107276803096
entry_hour,ALL,0.05,b2,74000,57729,670,0.7801216216216216,0.30147759358381404,6.378083524546261,3.048568638968729,0.6638084844705434,0.1056157313920171,0.054761038256998615,3.8090033919664514,0.12279311955068674
