era,k,entry_et,model,n_days,n_obs,qlike_path
all,0,10:00,M0,737,8107,0.3451728884769226
all,0,10:00,M1,737,8107,0.41160075340731395
all,0,10:00,M2,737,8107,0.35468751458705283
all,0,10:00,M3,737,8107,0.5024766164631305
all,0,10:00,M3k,737,8107,0.47893728395671886
all,0,10:00,M4,737,8107,0.4084262941129089
daily_0dte,0,10:00,M0,489,5379,0.365072350700787
daily_0dte,0,10:00,M1,489,5379,0.4160021665933316
daily_0dte,0,10:00,M2,489,5379,0.3488934077350793
daily_0dte,0,10:00,M3,489,5379,0.5046460552485977
daily_0dte,0,10:00,M3k,489,5379,0.48214569242243277
daily_0dte,0,10:00,M4,489,5379,0.40943872008745563
all,1,10:30,M0,737,7370,0.32644900562030266
all,1,10:30,M1,737,7370,0.41398862702105854
all,1,10:30,M2,737,7370,0.3495018729241457
all,1,10:30,M3,737,7370,0.507068673767589
all,1,10:30,M3k,737,7370,0.48915077438612503
all,1,10:30,M4,737,7370,0.4028109564267812
daily_0dte,1,10:30,M0,489,4890,0.34861529145426673
daily_0dte,1,10:30,M1,489,4890,0.4200534621218022
daily_0dte,1,10:30,M2,489,4890,0.3433390980510786
daily_0dte,1,10:30,M3,489,4890,0.5186835906328701
daily_0dte,1,10:30,M3k,489,4890,0.4998772543657024
daily_0dte,1,10:30,M4,489,4890,0.40170360178431136
all,2,11:00,M0,737,6633,0.34013923748382846
all,2,11:00,M1,737,6633,0.44588287881914473
all,2,11:00,M2,737,6633,0.3558344421034389
all,2,11:00,M3,737,6633,0.4942723542399034
all,2,11:00,M3k,737,6633,0.4691702374221897
all,2,11:00,M4,737,6633,0.38840477941141016
daily_0dte,2,11:00,M0,489,4401,0.36212877440461777
daily_0dte,2,11:00,M1,489,4401,0.4620026507285559
daily_0dte,2,11:00,M2,489,4401,0.3514900331152983
daily_0dte,2,11:00,M3,489,4401,0.5064309375520174
daily_0dte,2,11:00,M3k,489,4401,0.4808915283497832
daily_0dte,2,11:00,M4,489,4401,0.38083000262233196
all,3,11:30,M0,737,5896,0.34728368506116347
all,3,11:30,M1,737,5896,0.4582784604100793
all,3,11:30,M2,737,5896,0.36721396908547677
all,3,11:30,M3,737,5896,0.481215285350473
all,3,11:30,M3k,737,5896,0.4563158773963483
all,3,11:30,M4,737,5896,0.365204862461867
daily_0dte,3,11:30,M0,489,3912,0.3703415003279727
daily_0dte,3,11:30,M1,489,3912,0.47384211215725963
daily_0dte,3,11:30,M2,489,3912,0.35854893450050135
daily_0dte,3,11:30,M3,489,3912,0.4953732210376937
daily_0dte,3,11:30,M3k,489,3912,0.4698443575407908
daily_0dte,3,11:30,M4,489,3912,0.34786258774956114
all,4,12:00,M0,737,5159,0.3626132057760399
all,4,12:00,M1,737,5159,0.3296748226657601
all,4,12:00,M2,737,5159,0.3299116176508845
all,4,12:00,M3,737,5159,0.41401555787520183
all,4,12:00,M3k,737,5159,0.395322003677899
all,4,12:00,M4,737,5159,0.2860486125986525
daily_0dte,4,12:00,M0,489,3423,0.38633230622455395
daily_0dte,4,12:00,M1,489,3423,0.3276711034004743
daily_0dte,4,12:00,M2,489,3423,0.3303766866102005
daily_0dte,4,12:00,M3,489,3423,0.42527288495942733
daily_0dte,4,12:00,M3k,489,3423,0.40751951558851623
daily_0dte,4,12:00,M4,489,3423,0.27978486458289914
all,5,12:30,M0,737,4422,0.34335921293598726
all,5,12:30,M1,737,4422,0.276207624446501
all,5,12:30,M2,737,4422,0.28230491361392107
all,5,12:30,M3,737,4422,0.34691360089390955
all,5,12:30,M3k,737,4422,0.3342262620929871
all,5,12:30,M4,737,4422,0.2553354574226207
daily_0dte,5,12:30,M0,489,2934,0.36169484310539873
daily_0dte,5,12:30,M1,489,2934,0.2761208414157338
daily_0dte,5,12:30,M2,489,2934,0.28259602042067117
daily_0dte,5,12:30,M3,489,2934,0.3332644270254988
daily_0dte,5,12:30,M3k,489,2934,0.3233716004936477
daily_0dte,5,12:30,M4,489,2934,0.2511707561511244
all,6,13:00,M0,737,3685,0.333591055834509
