rule,entry_hour,theta,model,n_traded,n_days,frac_exit_early,mean_bars_held,sh_mid,hit_mid,mean_mid,sh_crossed,hit_crossed,mean_crossed
hold,ALL,0.1,b2,36555,621,0.0,7.404130761865682,9.011407225384497,0.7584541062801933,0.18646915607449094,5.967213901189074,0.6988727858293076,0.13418017444775304
hold,10:00,0.1,b2,4487,507,0.0,12.0,10.966702401832377,0.8027613412228797,0.19486920773245212,7.3701958885358625,0.7140039447731755,0.14175070816862176
hold,10:30,0.1,b2,4073,476,0.0,11.0,11.442867896083737,0.8025210084033614,0.20507938733318948,8.731140889624214,0.7563025210084033,0.161899415411427
hold,11:00,0.1,b2,3754,467,0.0,10.0,10.460524624866384,0.7815845824411135,0.19782398582779107,7.714952001873213,0.734475374732334,0.15334291628714117
hold,11:30,0.1,b2,3545,462,0.0,9.0,10.123682286658426,0.7987012987012987,0.19777280667038363,7.418706075175816,0.7294372294372294,0.15230817195193494
hold,12:00,0.1,b2,3290,441,0.0,8.0,9.572645865288674,0.7959183673469388,0.19652712927220037,6.944001426271943,0.746031746031746,0.15027348511087618
hold,12:30,0.1,b2,3168,466,0.0,7.0,8.663596585998787,0.7639484978540773,0.1971108397901033,6.138703748517983,0.7081545064377682,0.14875985595410074
hold,13:00,0.1,b2,2904,452,0.0,6.0,7.492452016019103,0.7146017699115044,0.19688226793612582,5.366468019179792,0.6526548672566371,0.1476277689460015
hold,13:30,0.1,b2,2727,461,0.0,5.0,7.017007065108849,0.7158351409978309,0.19221464372685876,5.039547572649671,0.6464208242950108,0.14159533693471796
hold,14:00,0.1,b2,2548,463,0.0,4.0,6.050109457529675,0.693304535637149,0.1967044963637014,3.818239132413756,0.6220302375809935,0.12071690650583346
hold,14:30,0.1,b2,2325,467,0.0,3.0,4.9772970641788215,0.683083511777302,0.1670399369551213,3.0242407753045053,0.6274089935760171,0.10964182868765335
hold,15:00,0.1,b2,2110,467,0.0,2.0,3.589447211449583,0.6231263383297645,0.12419306496123537,1.6935941646218933,0.569593147751606,0.06105158977174655
hold,15:30,0.1,b2,1624,460,0.0,1.0,2.0054002438770944,0.5956521739130435,0.08893015125712508,0.3981221432467466,0.5608695652173913,0.013600649440360772
sigcross,ALL,0.1,b2,36555,621,0.2590343318287512,6.524169060320066,10.7269290004027,0.8019323671497585,0.1967172821958215,7.078427122078039,0.7375201288244766,0.1379769829354012
sigcross,10:00,0.1,b2,4487,507,0.35502562959661244,10.101626922219745,13.331987565992069,0.8441814595660749,0.20665547153942868,9.026438860105134,0.7554240631163708,0.14642154831686033
sigcross,10:30,0.1,b2,4073,476,0.3110729192241591,9.626810704640315,13.876794381708073,0.8529411764705882,0.21604710371390748,10.583162119679562,0.7836134453781513,0.16559867930308572
sigcross,11:00,0.1,b2,3754,467,0.29088971763452315,8.910229088971763,13.651599999623942,0.8329764453961456,0.207643775662697,10.094041134274454,0.7730192719486081,0.15641427107924727
sigcross,11:30,0.1,b2,3545,462,0.2984485190409027,7.956558533145275,12.590105263445368,0.8463203463203464,0.20514910096192857,9.085890116712878,0.7770562770562771,0.15274486080668304
sigcross,12:00,0.1,b2,3290,441,0.30547112462006076,7.090273556231003,12.40867607572614,0.8344671201814059,0.2161561207852536,8.93882894889037,0.7732426303854876,0.1614997907285265
sigcross,12:30,0.1,b2,3168,466,0.28377525252525254,6.2481060606060606,11.195913587522961,0.8111587982832618,0.21125211060469448,7.7468900515555665,0.7381974248927039,0.15472836472041743
sigcross,13:00,0.1,b2,2904,452,0.2737603305785124,5.380853994490358,10.1956936324276,0.754424778761062,0.20611324380909657,7.087403921407304,0.6991150442477876,0.14867823941055114
sigcross,13:30,0.1,b2,2727,461,0.26145947928126145,4.473047304730473,9.37565574784942,0.7483731019522777,0.19795918937751414,6.439201275853456,0.6941431670281996,0.1398522466166771
sigcross,14:00,0.1,b2,2548,463,0.2401883830455259,3.572213500784929,7.80919512585384,0.7451403887688985,0.20539865488167813,4.858592982336344,0.6565874730021598,0.12373555892605131
sigcross,14:30,0.1,b2,2325,467,0.14279569892473118,2.8008602150537634,5.810722661138295,0.721627408993576,0.17835378861733525,3.5076021263233126,0.6423982869379015,0.11675738070268114
sigcross,15:00,0.1,b2,2110,467,0.04881516587677725,1.9511848341232227,4.0066736128828255,0.6423982869379015,0.13070626049651513,1.9924699823048113,0.5802997858672377,0.06641373186809144
sigcross,15:30,0.1,b2,1624,460,0.0,1.0,2.0054002438770944,0.5956521739130435,0.08893015125712508,0.3981221432467466,0.5608695652173913,0.013600649440360772
k1,ALL,0.1,b2,36555,621,0.9555190808370948,1.0000547120776913,8.943084212679107,0.8164251207729468,0.0470924719065909,-1.2607008517472564,0.3832528180354267,-0.01504526158318608
k1,10:00,0.1,b2,4487,507,1.0,1.0,4.961880230783558,0.6903353057199211,0.039591369998313974,-2.0183727051986518,0.40039447731755423,-0.019533385342163093
k1,10:30,0.1,b2,4073,476,1.0,1.0,4.3380989693832746,0.726890756302521,0.045804524401114495,-1.0652764758597062,0.43907563025210083,-0.0024209794961585454
k1,11:00,0.1,b2,3754,467,1.0,1.0,4.531301668799374,0.6895074946466809,0.029287274083532624,-3.59587398877615,0.3468950749464668,-0.020031670391874253
k1,11:30,0.1,b2,3545,462,1.0,1.0,4.738656557510603,0.6818181818181818,0.03034453339712462,-3.4500987510558865,0.37012987012987014,-0.02044689267367041
k1,12:00,0.1,b2,3290,441,1.0,1.0,5.594079703113894,0.673469387755102,0.03662972227313844,-4.052600405882723,0.31746031746031744,-0.015615335137259014
k1,12:30,0.1,b2,3168,466,1.0,1.0,4.622750952525022,0.6716738197424893,0.02757588074768945,-5.976571105825071,0.2939914163090129,-0.027623192076457338
k1,13:00,0.1,b2,2904,452,1.0,1.0,5.758688198074585,0.7079646017699115,0.0436446932906388,-2.1841958401550414,0.34513274336283184,-0.013625710067411114
k1,13:30,0.1,b2,2727,461,1.0,1.0,4.91336836808818,0.6529284164859002,0.045326326099899734,-4.135935505163206,0.3232104121475054,-0.03733358439952936
k1,14:00,0.1,b2,2548,463,1.0,1.0,5.072498215750384,0.7084233261339092,0.07560844231080469,-0.8952153343283532,0.4038876889848812,-0.014647942722226616
k1,14:30,0.1,b2,2325,467,1.0,1.0,5.632435740491333,0.7323340471092077,0.07619645444132371,-1.5276036812008293,0.4796573875802998,0.0008539139398256275
k1,15:00,0.1,b2,2110,467,0.9990521327014218,1.000947867298578,5.204644088965714,0.7002141327623126,0.07928451060262633,-0.13624226506079104,0.563169164882227,-0.005344472619857684
k1,15:30,0.1,b2,1624,460,0.0,1.0,2.0054002438770944,0.5956521739130435,0.08893015125712508,0.3981221432467466,0.5608695652173913,0.013600649440360772
k2,ALL,0.1,b2,36555,621,0.8976063466010121,1.9558199972643961,9.14402504375376,0.8067632850241546,0.08017888357885439,2.1726111191610937,0.5942028985507246,0.01628296608755536
k2,10:00,0.1,b2,4487,507,1.0,2.0,6.451009927861842,0.717948717948718,0.07284503646232476,0.8817738471470119,0.5502958579881657,0.012710900009946301
k2,10:30,0.1,b2,4073,476,1.0,2.0,5.632260519456345,0.7205882352941176,0.06724326737925967,0.5766088984611144,0.5630252100840336,0.01640314616280166
k2,11:00,0.1,b2,3754,467,1.0,2.0,6.136350050601595,0.6745182012847966,0.049818439021267896,-0.4656555273893961,0.5053533190578159,-0.0011789725263880184
k2,11:30,0.1,b2,3545,462,1.0,2.0,6.836242139067482,0.7424242424242424,0.05885615724067864,0.01884462129207886,0.5151515151515151,0.005676388634150733
k2,12:00,0.1,b2,3290,441,1.0,2.0,7.2677113949738805,0.7210884353741497,0.058210151841914616,-0.5369952679819815,0.4557823129251701,0.0035470970984974467
k2,12:30,0.1,b2,3168,466,1.0,2.0,6.354197156749515,0.6909871244635193,0.06579317609663439,-0.5304266146038636,0.49141630901287553,0.007495758118877816
k2,13:00,0.1,b2,2904,452,1.0,2.0,6.987120662803999,0.7168141592920354,0.07626731895666719,-0.32652931714024996,0.497787610619469,-0.006346649646402128
k2,13:30,0.1,b2,2727,461,1.0,2.0,6.832450535396382,0.7136659436008677,0.0961647252681897,1.279898901699836,0.5401301518438177,0.028976700172839133
k2,14:00,0.1,b2,2548,463,1.0,2.0,7.018474647467197,0.7062634989200864,0.12944189891156652,1.4360743304256254,0.5205183585313174,0.03345150356311019
k2,14:30,0.1,b2,2325,467,0.9961290322580645,2.0038709677419355,7.280773776482508,0.7259100642398287,0.13530516664593523,1.6889691405817684,0.5995717344753747,0.05313420458481046
k2,15:00,0.1,b2,2110,467,0.0,2.0,3.589447211449583,0.6231263383297645,0.12419306496123537,1.6935941646218933,0.569593147751606,0.06105158977174655
k2,15:30,0.1,b2,1624,460,0.0,1.0,2.0054002438770944,0.5956521739130435,0.08893015125712508,0.3981221432467466,0.5608695652173913,0.013600649440360772
k4,ALL,0.1,b2,36555,621,0.762522226781562,3.6899466557242513,9.061276137627177,0.7906602254428341,0.12207821800076579,4.045304608762608,0.6698872785829307,0.05658156399456408
k4,10:00,0.1,b2,4487,507,1.0,4.0,8.51135823450777,0.7672583826429981,0.10661855817403688,3.0584597703967265,0.5857988165680473,0.04353569803933335
k4,10:30,0.1,b2,4073,476,1.0,4.0,8.23314694979063,0.7521008403361344,0.10327997861429357,3.438713799554504,0.6407563025210085,0.04962052210966835
k4,11:00,0.1,b2,3754,467,1.0,4.0,9.083932063220331,0.7366167023554604,0.08763645613610627,2.9471726229833175,0.6209850107066381,0.0324938720186407
k4,11:30,0.1,b2,3545,462,1.0,4.0,9.862755143521287,0.7748917748917749,0.09900839010488599,3.7121034134085438,0.6190476190476191,0.04147073434704157
k4,12:00,0.1,b2,3290,441,1.0,4.0,9.349272083145939,0.7709750566893424,0.10991336358920556,2.4351005911611603,0.5963718820861678,0.029890498433782865
k4,12:30,0.1,b2,3168,466,0.9993686868686869,4.0018939393939394,8.492678084420438,0.7339055793991416,0.11896267532868435,3.064059480347603,0.6137339055793991,0.05174796463557595
k4,13:00,0.1,b2,2904,452,0.9982782369146006,4.003443526170799,8.673424547283528,0.7433628318584071,0.14390757833237666,3.528983227004576,0.6283185840707964,0.0725772860996396
k4,13:30,0.1,b2,2727,461,0.9754308764209755,4.024569123579025,9.193938107147355,0.7483731019522777,0.15808700562749642,3.887376654550451,0.631236442516269,0.07900340671679129
k4,14:00,0.1,b2,2548,463,0.0,4.0,6.050109457529675,0.693304535637149,0.1967044963637014,3.818239132413756,0.6220302375809935,0.12071690650583346
k4,14:30,0.1,b2,2325,467,0.0,3.0,4.9772970641788215,0.683083511777302,0.1670399369551213,3.0242407753045053,0.6274089935760171,0.10964182868765335
k4,15:00,0.1,b2,2110,467,0.0,2.0,3.589447211449583,0.6231263383297645,0.12419306496123537,1.6935941646218933,0.569593147751606,0.06105158977174655
k4,15:30,0.1,b2,1624,460,0.0,1.0,2.0054002438770944,0.5956521739130435,0.08893015125712508,0.3981221432467466,0.5608695652173913,0.013600649440360772
