era,k,entry_et,target_et,model,n_days,qlike
daily_0dte,0,10:00,11:00,M3,489,0.31757900835997044
daily_0dte,0,10:00,11:30,M3,489,0.40445785261741546
daily_0dte,0,10:00,12:00,M3,489,0.6919430970609753
daily_0dte,0,10:00,12:30,M3,489,0.686588624304454
daily_0dte,0,10:00,13:00,M3,489,0.7522821989608371
daily_0dte,0,10:00,13:30,M3,489,0.6830119339209122
daily_0dte,0,10:00,14:00,M3,489,0.4664733721004556
daily_0dte,0,10:00,14:30,M3,489,0.552134175872218
daily_0dte,0,10:00,15:00,M3,489,0.38450337241921
daily_0dte,0,10:00,15:30,M3,489,0.3443747071429271
daily_0dte,0,10:00,10:30,M3k,489,0.24701120609891775
daily_0dte,0,10:00,11:00,M3k,489,0.294376505564097
daily_0dte,0,10:00,11:30,M3k,489,0.37505355457725065
daily_0dte,0,10:00,12:00,M3k,489,0.657367031041865
daily_0dte,0,10:00,12:30,M3k,489,0.6475299409144446
daily_0dte,0,10:00,13:00,M3k,489,0.7123796955851385
daily_0dte,0,10:00,13:30,M3k,489,0.6587074409746273
daily_0dte,0,10:00,14:00,M3k,489,0.46637929764997127
daily_0dte,0,10:00,14:30,M3k,489,0.5325761413927254
daily_0dte,0,10:00,15:00,M3k,489,0.37677783200446374
daily_0dte,0,10:00,15:30,M3k,489,0.335443970843259
daily_0dte,0,10:00,10:30,M4,489,0.20740686777610645
daily_0dte,0,10:00,11:00,M4,489,0.23779008007152178
daily_0dte,0,10:00,11:30,M4,489,0.25041023743555096
daily_0dte,0,10:00,12:00,M4,489,0.5420757278285534
daily_0dte,0,10:00,12:30,M4,489,0.5400870098148036
daily_0dte,0,10:00,13:00,M4,489,0.5817460882948602
daily_0dte,0,10:00,13:30,M4,489,0.5942996825305102
daily_0dte,0,10:00,14:00,M4,489,0.4168839320692299
daily_0dte,0,10:00,14:30,M4,489,0.43793747370834735
daily_0dte,0,10:00,15:00,M4,489,0.3415567733141242
daily_0dte,0,10:00,15:30,M4,489,0.35363204811840393
all,1,10:30,11:00,M0,737,0.20323691884856998
all,1,10:30,11:30,M0,737,0.2829836568651489
all,1,10:30,12:00,M0,737,0.23997704005702838
all,1,10:30,12:30,M0,737,0.4781371628163556
all,1,10:30,13:00,M0,737,0.39219999844337894
all,1,10:30,13:30,M0,737,0.47553256470492977
all,1,10:30,14:00,M0,737,0.24446091208015647
all,1,10:30,14:30,M0,737,0.37887630820374923
all,1,10:30,15:00,M0,737,0.3037229833470209
all,1,10:30,15:30,M0,737,0.26536251083668844
all,1,10:30,11:00,M1,737,0.2514804553563238
all,1,10:30,11:30,M1,737,0.24380624282987554
all,1,10:30,12:00,M1,737,0.5927310095418482
all,1,10:30,12:30,M1,737,0.5274668155032618
all,1,10:30,13:00,M1,737,0.4725382603045621
all,1,10:30,13:30,M1,737,0.5302096502472686
all,1,10:30,14:00,M1,737,0.42372274906480106
all,1,10:30,14:30,M1,737,0.3685301219398561
all,1,10:30,15:00,M1,737,0.33847266502086104
all,1,10:30,15:30,M1,737,0.3909283004019272
all,1,10:30,11:00,M2,737,0.17248381434275342
all,1,10:30,11:30,M2,737,0.23815861825881485
all,1,10:30,12:00,M2,737,0.3402748013250074
all,1,10:30,12:30,M2,737,0.4105818974265289
all,1,10:30,13:00,M2,737,0.4486333380588347
all,1,10:30,13:30,M2,737,0.48417787859538497
