panel,hour,n,med_rv_rem,med_C,med_ratio,corr_log
asis,10:00,864,1.6981032286960166e-05,9.970425667108276e-05,0.16967460021190553,0.6920071889084962
asis,10:30,864,1.4472015686178234e-05,9.305662122152254e-05,0.15711466292814627,0.6686284663544699
asis,11:00,864,1.1779852420802696e-05,8.737581713947725e-05,0.1349040743996099,0.6504786695757477
asis,11:30,864,7.852324074364563e-06,8.255537827579954e-05,0.0991748715602759,0.5872417441302809
asis,12:00,864,5.555306129390875e-06,7.71106267389165e-05,0.07372322283003033,0.5602018467116221
asis,12:30,864,2.9209317846606742e-06,7.378026781268903e-05,0.03690326267954462,0.5343788885565637
asis,13:00,864,2.1394456070479575e-06,6.975849830673949e-05,0.028189658531695187,0.4872034056910992
asis,13:30,864,1.8016260627835408e-06,6.691595303530552e-05,0.02455634896581494,0.4420735338444749
asis,14:00,864,1.3796636776423728e-06,6.385153114007376e-05,0.019948751608482307,0.41439721753293424
asis,14:30,864,1.0714415785220644e-06,5.974700689905763e-05,0.01720671587228063,0.3591724806829188
asis,15:00,864,6.074811698415506e-07,5.5475216020294026e-05,0.010680099154521169,0.33532265324781996
asis,15:30,864,3.2891745084228154e-07,5.0102998196249754e-05,0.006418625851745921,0.22604375059020743
fixed,10:00,864,3.9997484786013874e-05,9.970425667108276e-05,0.42075162139957584,0.7142877937633132
fixed,10:30,864,3.423002021525299e-05,9.305662122152254e-05,0.38088230834094705,0.6864849904551482
fixed,11:00,864,2.9320089837538833e-05,8.737581713947725e-05,0.3473582570441584,0.6700229985181804
fixed,11:30,864,2.542482207720868e-05,8.255537827579954e-05,0.3165098306688865,0.6508226839685021
fixed,12:00,864,2.2340376997708695e-05,7.71106267389165e-05,0.2925307902284615,0.6318510744383941
fixed,12:30,864,1.9521455510055122e-05,7.378026781268903e-05,0.26940336969727435,0.6185162266683907
fixed,13:00,864,1.7254197353198946e-05,6.975849830673949e-05,0.24768862267988517,0.6053992794800401
fixed,13:30,864,1.4669901036472894e-05,6.691595303530552e-05,0.22045381818076723,0.5992514016591897
fixed,14:00,864,1.2616726556352265e-05,6.385153114007376e-05,0.1942545284937912,0.5920472942860295
fixed,14:30,864,1.0063927181430775e-05,5.974700689905763e-05,0.16262563803161292,0.5549751841396975
fixed,15:00,864,7.28384846006473e-06,5.5475216020294026e-05,0.13112086667493916,0.505855555405075
fixed,15:30,864,4.248111185982246e-06,5.0102998196249754e-05,0.08310810197179049,0.4274331415584479
