set,n,mean_shortpay,worst_day,n_loss_days,sum_losses,hit
all_days,482,0.5508240870382048,-0.4825013182890479,10,-1.8296318197377164,0.979253112033195
z_below_q80 (traded),411,0.5870497640851794,-0.26246701172180387,5,-0.6693227706804599,0.9878345498783455
z_above_q80 (dodged),71,0.3411233368085352,-0.4825013182890479,5,-1.1603090490572565,0.9295774647887324
