dim,bucket,theta,model,n_rows,n_traded,n_days,frac_traded,frac_long,sh_mid,sh_crossed,hit_mid,mean_mid,mean_crossed,sh_always_short,med_abs_sig
vix_quintile_causal,Q1,0.05,b2,23811,18155,321,0.7624627273109067,0.3505370421371523,5.903377714247542,2.2758676429481044,0.681410079867805,0.12442409713877038,0.05968411545658984,3.634762256171218,0.11614008530833823
vix_quintile_causal,Q2,0.05,b2,12763,10035,165,0.7862571495729844,0.26068759342301945,5.457052143632393,2.916164320939873,0.6700548081714001,0.10743568562183832,0.05615298302692489,4.416002014244871,0.1246555402493778
vix_quintile_causal,Q3,0.05,b2,9223,7361,108,0.7981134121218693,0.2691210433365032,3.5521534811158495,1.1510666674080017,0.6764026626817009,0.10020881356501252,0.055368838906031156,0.8928610530597899,0.1283834001680016
vix_quintile_causal,Q4,0.05,b2,9720,7687,91,0.790843621399177,0.25523611291791337,2.718144324413624,0.6279787987011893,0.5605567841810849,0.029482375814448722,-0.010322491638367829,0.43875205197953804,0.1356843513531586
vix_quintile_causal,Q5,0.05,b2,11697,8968,73,0.7666923142686158,0.37555753791257807,4.587209112624389,2.6272632908879636,0.6655887600356825,0.11554006332243101,0.08241874674746741,5.58460923826254,0.11041762337705978
vix_quintile_causal,ALL,0.05,b2,74000,57729,670,0.7801216216216216,0.30147759358381404,6.378083524546261,3.048568638968729,0.6638084844705434,0.1056157313920171,0.054761038256998615,3.8090033919664514,0.12279311955068674
vix_quintile_causal,Q1,0.05,a0,23811,18388,321,0.7722481206165218,0.2908962366760931,5.570827639800697,2.064364882324947,0.6847400478572983,0.11227490834875949,0.047452963711977,3.634762256171218,0.11928678955520618
vix_quintile_causal,Q2,0.05,a0,12763,10427,165,0.8169709315991538,0.20197564016495637,6.3148125505307044,3.6304115646211677,0.6799654742495445,0.11246988867034262,0.060952259237785876,4.416002014244871,0.14082069291240118
vix_quintile_causal,Q3,0.05,a0,9223,7597,108,0.8237016155264014,0.15361326839541925,3.5603789292473977,1.2160448238979278,0.683690930630512,0.0883607363723147,0.04349361374185735,0.8928610530597899,0.14510477600704913
vix_quintile_causal,Q4,0.05,a0,9720,8198,91,0.8434156378600823,0.12137106611368627,3.222489014734327,1.3415748202213365,0.597340814832886,0.05485967679176689,0.014907403828632142,0.43875205197953804,0.16119526650224225
vix_quintile_causal,Q5,0.05,a0,11697,9193,73,0.7859280157305292,0.12879364734036766,7.192316906630559,5.321653976943466,0.7623191558794735,0.15822506276968412,0.12480451554532468,5.58460923826254,0.13341846555885353
vix_quintile_causal,ALL,0.05,a0,74000,59529,670,0.804445945945946,0.1925784071628954,6.649756600336746,3.3871165939026198,0.6857162055468763,0.11024677641035707,0.059404394226675324,3.8090033919664514,0.1389297138217146
vix_quintile_causal,Q1,0.1,b2,23811,13257,319,0.5567594809121834,0.30391491287621636,6.063677561257128,2.67095182102521,0.7298031228784793,0.15690024768974004,0.09138358482765506,3.634762256171218,0.11614008530833823
vix_quintile_causal,Q2,0.1,b2,12763,7507,161,0.588184596098096,0.20780604768882377,5.505254110371541,3.083459006963475,0.6910883175702678,0.11705367968598988,0.06549808424200666,4.416002014244871,0.1246555402493778
vix_quintile_causal,Q3,0.1,b2,9223,5556,104,0.6024070259134772,0.23740100791936644,4.458275713134676,2.1845812791326735,0.706983441324694,0.12404549132388659,0.07975371851577748,0.8928610530597899,0.1283834001680016
vix_quintile_causal,Q4,0.1,b2,9720,5893,91,0.6062757201646091,0.20447989139657222,2.4124852302380106,0.5955820936799587,0.5742406244697098,0.035759200908471914,-0.0038225347527367434,0.43875205197953804,0.1356843513531586
vix_quintile_causal,Q5,0.1,b2,11697,6387,70,0.5460374454988458,0.3203381869422264,5.033618407575094,3.1044238269265807,0.7023641772350087,0.1430373152705946,0.10980012115769774,5.58460923826254,0.11041762337705978
vix_quintile_causal,ALL,0.1,b2,74000,42942,670,0.5802972972972973,0.2534348656327139,6.776673584636362,3.6224546194447993,0.6966140375390061,0.12656398720844533,0.07539032216967616,3.8090033919664514,0.12279311955068674
vix_quintile_causal,Q1,0.1,a0,23811,13570,319,0.5699046659107135,0.24649963154016213,5.234011777470416,2.0891257224911257,0.7263817243920413,0.13979249330932228,0.0745077451859194,3.634762256171218,0.11928678955520618
vix_quintile_causal,Q2,0.1,a0,12763,8044,160,0.6302593434145577,0.1420934858279463,7.066347156746429,4.444580384107342,0.7200397812033814,0.14234724725242648,0.09023859004591987,4.416002014244871,0.14082069291240118
vix_quintile_causal,Q3,0.1,a0,9223,6064,102,0.6574867179876396,0.12071240105540897,2.6275191037547185,0.8275715731845473,0.700197889182058,0.0877703245426235,0.043486023301466156,0.8928610530597899,0.14510477600704913
vix_quintile_causal,Q4,0.1,a0,9720,6569,90,0.6758230452674897,0.07535393514994672,3.340701202100413,1.5132761048486207,0.5833460191810017,0.044335724263309007,0.004266898272466111,0.43875205197953804,0.16119526650224225
vix_quintile_causal,Q5,0.1,a0,11697,7037,73,0.601607249722151,0.08568992468381413,7.720885263021857,5.867806099036098,0.7695040500213159,0.17090411605312114,0.13703648440948343,5.58460923826254,0.13341846555885353
vix_quintile_causal,ALL,0.1,a0,74000,46056,670,0.6223783783783784,0.1453882230328296,6.196575064850536,3.355161113461436,0.7067917318047594,0.12376757045814292,0.07288460065599194,3.8090033919664514,0.1389297138217146
