n_traded,n_days,frac_traded,frac_long,sh_mid,hit_mid,sh_crossed,hit_crossed,mean_crossed,model,theta,days,exit,era,leg
47701,565,0.7880294720148021,0.5502190729754093,0.8633204738389564,0.5078719523699713,-2.5714330996869426,0.45334479361019686,-0.03569033873191218,b2,0.05,all_days,hold,all,both
23881,565,0.7872943658721524,0.5491394832712198,0.5183301051319121,0.5074745613667769,-2.8839099459598274,0.45278673422385995,-0.03931522456226789,b2,0.05,all_days,hold,all,call
23820,565,0.7887678399947018,0.5513014273719563,1.1172659257056718,0.5082703610411419,-2.214737674696852,0.45390428211586903,-0.03205617002852325,b2,0.05,all_days,hold,all,put
28862,337,0.7855101652015349,0.5756704317095143,-0.15416036932774593,0.4981983230545354,-3.5439438021935397,0.44920656919132423,-0.04216529187160073,b2,0.05,all_days,hold,daily_0dte,both
14463,337,0.7845828360637952,0.5726336168153219,-0.3672273299849145,0.4998271451289497,-3.70941027413473,0.44963009057595243,-0.043536813070680025,b2,0.05,all_days,hold,daily_0dte,call
14399,337,0.78644382544104,0.5787207444961455,-0.00963560893020776,0.4965622612681436,-3.3305695811854323,0.4487811653587055,-0.040787674599409324,b2,0.05,all_days,hold,daily_0dte,put
47701,565,0.7880294720148021,0.5502190729754093,1.818402578897675,0.5212050061843567,-3.163731802441416,0.406448502127838,-0.036568504240206474,b2,0.05,all_days,sigcross,all,both
23881,565,0.7872943658721524,0.5491394832712198,1.5964411373922203,0.5247267702357523,-3.248623533163636,0.4046312968468657,-0.03741096035274369,b2,0.05,all_days,sigcross,all,call
23820,565,0.7887678399947018,0.5513014273719563,1.8871396674902656,0.5176742233417296,-2.971528011967221,0.4082703610411419,-0.035723890704375184,b2,0.05,all_days,sigcross,all,put
28862,337,0.7855101652015349,0.5756704317095143,0.6887009297740702,0.5154528445707158,-4.171064008491674,0.4174346892107269,-0.039188886708353306,b2,0.05,all_days,sigcross,daily_0dte,both
14463,337,0.7845828360637952,0.5726336168153219,0.5725004583254335,0.5172509161308165,-4.366596996687314,0.41581967779852036,-0.04031827828739298,b2,0.05,all_days,sigcross,daily_0dte,call
14399,337,0.78644382544104,0.5787207444961455,0.6827478434366019,0.5136467810264602,-3.8468615917402094,0.4190568789499271,-0.038054475262582696,b2,0.05,all_days,sigcross,daily_0dte,put
44455,549,0.7769000891281173,0.5883702620627601,0.7486000831175662,0.49681700596108425,-2.7149788869296496,0.4414801484647396,-0.03788636321043841,b2,0.05,ex_fomc,hold,all,both
22258,549,0.776107953554866,0.5870698175936742,0.3991884143547455,0.49640578668343965,-3.0239667135922703,0.44074040794321145,-0.04160047919724454,b2,0.05,ex_fomc,hold,all,call
22197,549,0.777696026907715,0.5896742803081497,1.009893900741674,0.49722935531828627,-2.3540283774845827,0.4422219218813353,-0.03416204039049288,b2,0.05,ex_fomc,hold,all,put
27217,331,0.7756782945736435,0.6104273064628725,-0.2617510091211799,0.4853216739537789,-3.705463777739088,0.43520593746555464,-0.04613515363615909,b2,0.05,ex_fomc,hold,daily_0dte,both
13641,331,0.7747486795024706,0.6070669305769372,-0.4838859527479995,0.48698775749578477,-3.872562936755337,0.4357451799721428,-0.047775078259663095,b2,0.05,ex_fomc,hold,daily_0dte,call
13576,331,0.7766146101481609,0.6138037713612257,-0.10602444182438282,0.48364761343547436,-3.4831715686528413,0.43466411314083675,-0.04448737728162032,b2,0.05,ex_fomc,hold,daily_0dte,put
44455,549,0.7769000891281173,0.5883702620627601,1.7116935193212497,0.5120008997863007,-3.324777554589527,0.3944888089078844,-0.03844349488560122,b2,0.05,ex_fomc,sigcross,all,both
22258,549,0.776107953554866,0.5870698175936742,1.4846782531746905,0.5158594662593224,-3.399894754307782,0.3921736005031899,-0.03961037891998129,b2,0.05,ex_fomc,sigcross,all,call
22197,549,0.777696026907715,0.5896742803081497,1.787285661638893,0.5081317295129972,-3.131604018565585,0.3968103797810515,-0.037273404114901064,b2,0.05,ex_fomc,sigcross,all,put
27217,331,0.7756782945736435,0.6104273064628725,0.5799936006474928,0.5035088363890216,-4.409572221756867,0.401440276297902,-0.04292785797130644,b2,0.05,ex_fomc,sigcross,daily_0dte,both
13641,331,0.7747486795024706,0.6070669305769372,0.46060065536988687,0.5054614764313466,-4.59472786732901,0.39989736822813576,-0.04408428663094827,b2,0.05,ex_fomc,sigcross,daily_0dte,call
13576,331,0.7766146101481609,0.6138037713612257,0.5782899708724856,0.5015468473777254,-4.073085663729175,0.40299057159693574,-0.041765892492065575,b2,0.05,ex_fomc,sigcross,daily_0dte,put
35974,565,0.5942972312165467,0.5504531050202924,0.6703725555731159,0.5124256407405349,-2.465730294216646,0.457191304831267,-0.033087779686566184,b2,0.1,all_days,hold,all,both
18012,565,0.5938087231727821,0.5473017988007994,0.15001934379721774,0.5123806351321342,-2.8675002724743086,0.4572507217410615,-0.03713313048127898,b2,0.1,all_days,hold,all,call
17962,565,0.5947879068843339,0.5536131833871506,1.0208433226733464,0.5124707716289946,-2.097147272408447,0.45713172252533124,-0.029031168033389093,b2,0.1,all_days,hold,all,put
21866,337,0.5951065509076559,0.5827311808286838,-0.4088452177634794,0.5016921247599012,-3.3899963643153743,0.4508826488612458,-0.04097526684413041,b2,0.1,all_days,hold,daily_0dte,both
10956,337,0.5943365520234349,0.5773092369477911,-0.7148149157824448,0.5052939028842643,-3.5547971948258605,0.45335889010587804,-0.04121607152076506,b2,0.1,all_days,hold,daily_0dte,call
10910,337,0.5958818067617019,0.5881759853345555,-0.2511620790452023,0.49807516040329974,-3.228563303428007,0.44839596700274975,-0.04073344685905164,b2,0.1,all_days,hold,daily_0dte,put
35974,565,0.5942972312165467,0.5504531050202924,1.6613787465224095,0.5267971312614667,-2.9202039125882706,0.41552232167676656,-0.03404371774261525,b2,0.1,all_days,sigcross,all,both
18012,565,0.5938087231727821,0.5473017988007994,1.3787667936491934,0.5315900510770597,-2.984008299160487,0.41311347990228736,-0.03492547527565783,b2,0.1,all_days,sigcross,all,call
17962,565,0.5947879068843339,0.5536131833871506,1.7434950712969783,0.5219908696136287,-2.8156127815038245,0.41793786883420553,-0.03315950570135241,b2,0.1,all_days,sigcross,all,put
21866,337,0.5951065509076559,0.5827311808286838,0.44252947973086565,0.520900027439861,-3.834398506644775,0.4258209091740602,-0.03785857195274867,b2,0.1,all_days,sigcross,daily_0dte,both
10956,337,0.5943365520234349,0.5773092369477911,0.3081438549626152,0.5253742241694049,-3.9485605346343102,0.42515516611902154,-0.038512630266877707,b2,0.1,all_days,sigcross,daily_0dte,call
10910,337,0.5958818067617019,0.5881759853345555,0.4117705036814175,0.5164069660861594,-3.6539889292146226,0.42648945921173237,-0.03720175592253808,b2,0.1,all_days,sigcross,daily_0dte,put
32776,549,0.5727967005120498,0.6020868928484256,0.5526263892854318,0.4979253112033195,-2.6040518118105878,0.4414510617525018,-0.03603258976812595,b2,0.1,ex_fomc,hold,all,both
16412,549,0.572265420691098,0.5985254691689008,0.03282593794193906,0.4979283451133317,-2.996864618783144,0.4414452839385815,-0.039983938780400914,b2,0.1,ex_fomc,hold,all,call
16364,549,0.5733305304463597,0.6056587631385969,0.9041977855280657,0.4979222683940357,-2.239263132847141,0.44145685651429967,-0.03206965038964534,b2,0.1,ex_fomc,hold,all,put
20228,331,0.5764933880528956,0.6299189242633972,-0.5203074078795956,0.4844769626260629,-3.5388845728862757,0.4320249159580779,-0.046641252960593974,b2,0.1,ex_fomc,hold,daily_0dte,both
10137,331,0.5757369228147896,0.6239518595245142,-0.8283699796448888,0.48831015093222846,-3.6971619587878846,0.4348426556180329,-0.04700706780840889,b2,0.1,ex_fomc,hold,daily_0dte,call
10091,331,0.57725530576054,0.6359131899712616,-0.35794551946460607,0.480626300663958,-3.3769856171319117,0.42919433158259834,-0.04627377053939687,b2,0.1,ex_fomc,hold,daily_0dte,put
32776,549,0.5727967005120498,0.6020868928484256,1.5494175987756982,0.5149194532584818,-3.071472839525247,0.4003234073712473,-0.036574757976099576,b2,0.1,ex_fomc,sigcross,all,both
16412,549,0.572265420691098,0.5985254691689008,1.2704493144221876,0.5202900316841336,-3.1181499024274517,0.39720935900560567,-0.03767585071646841,b2,0.1,ex_fomc,sigcross,all,call
16364,549,0.5733305304463597,0.6056587631385969,1.6287216287338584,0.5095331214861892,-2.9773524207560014,0.4034465900757761,-0.03547043543546566,b2,0.1,ex_fomc,sigcross,all,put
20228,331,0.5764933880528956,0.6299189242633972,0.3251528996274715,0.5050919517500494,-4.04183068790244,0.4048348823413091,-0.043203562097256,b2,0.1,ex_fomc,sigcross,daily_0dte,both
10137,331,0.5757369228147896,0.6239518595245142,0.1954513926420489,0.5100128243069941,-4.136253278010198,0.4043602643780211,-0.04371069586264502,b2,0.1,ex_fomc,sigcross,daily_0dte,call
10091,331,0.57725530576054,0.6359131899712616,0.29110492342577915,0.5001486473094837,-3.865576329250555,0.4053116638588842,-0.04269411655372728,b2,0.1,ex_fomc,sigcross,daily_0dte,put
18056,553,0.2982885085574572,0.5044860434204697,0.45412242901518884,0.5243686309260079,-2.105806116868402,0.4702038103677448,-0.033322435653538075,b2,0.2,all_days,hold,all,both
8993,543,0.29647578544819175,0.49949961080840655,0.14682795434005233,0.5240742799955521,-2.260182966775553,0.47147781607917266,-0.03803034765176004,b2,0.2,all_days,hold,all,call
9063,540,0.300109275141561,0.5094339622641509,0.628387892304261,0.5246607083747103,-2.0101499582768265,0.4689396447092574,-0.0286508862107476,b2,0.2,all_days,hold,all,put
11112,327,0.30242495169147865,0.5474262059035278,-0.6189060577792045,0.5088192944564435,-2.9761010991676056,0.461033117350612,-0.04709650127063333,b2,0.2,all_days,hold,daily_0dte,both
5528,320,0.2998806553108387,0.5388929088277858,-0.9122472646783756,0.5110347322720694,-3.1700706523274924,0.4632778581765557,-0.05005128768179452,b2,0.2,all_days,hold,daily_0dte,call
5584,320,0.3049866186028729,0.5558739255014327,-0.44291129197546303,0.5066260744985673,-2.854710709090183,0.458810888252149,-0.04417134738795083,b2,0.2,all_days,hold,daily_0dte,put
18056,553,0.2982885085574572,0.5044860434204697,1.3175100008625464,0.5358883473637572,-2.4298489545073014,0.43614311032343817,-0.03389058000128547,b2,0.2,all_days,sigcross,all,both
