forecast,n,qlike,dm_vs_mfiv_loglog
mfiv_loglog,585,0.2676976298919387,
blk2_loglog,585,0.06493937346521496,-12.456763256047228
joint_loglog,585,0.0649436170613155,-12.502347757220898
blk2_raw,585,0.06452617118465903,-12.516276000012201
