era,leg,theta,model,n_contracts,n_days,frac_traded,frac_long,sh_daily_mid,sh_daily_crossed,mean_per_trade_mid,hit_mid,hit_contract_mid
all,call,0.0,b2,33300,623,1.0,0.3488888888888889,8.357187756835112,4.776683123774286,0.12390373649355751,0.7319422150882825,0.6671171171171171
all,call,0.0,a0,33300,623,1.0,0.26495495495495497,8.62705732756315,4.924466206612278,0.12163563588506086,0.7528089887640449,0.678978978978979
all,call,0.0,b2_minus_a0_t,33300,623,,,0.04946189590387962,,0.0022681006084966557,,
all,call,0.05,b2,25149,622,0.7552252252252252,0.2278078078078078,8.78422273504895,5.562043591041058,0.15825964838254802,0.7540192926045016,0.7118772118175672
all,call,0.05,a0,25517,623,0.7662762762762763,0.16054054054054054,8.538585281697598,5.327944440182874,0.15098930257297888,0.7720706260032103,0.723596034016538
all,call,0.05,b2_minus_a0_t,33300,623,,,0.6522307571281827,,0.003822158060600554,,
all,call,0.1,b2,18184,616,0.5460660660660661,0.1396996996996997,8.644311816650049,5.739003205056065,0.1854694279513367,0.7662337662337663,0.7531346238451386
all,call,0.1,a0,18603,615,0.5586486486486486,0.09285285285285286,8.217767967510108,5.379516290643225,0.16906183786125903,0.7723577235772358,0.7540719238832446
all,call,0.1,b2_minus_a0_t,33300,623,,,1.8214763669664913,,0.006832393637660804,,
all,call,0.2,b2,9079,464,0.27264264264264265,0.04108108108108108,8.313341991551036,5.987115869477521,0.21417768256706307,0.8318965517241379,0.8084590813966296
all,call,0.2,a0,8464,472,0.25417417417417415,0.025195195195195197,8.127585383443519,5.8089947110599445,0.1899266783943242,0.809322033898305,0.7847353497164461
all,call,0.2,b2_minus_a0_t,33300,623,,,3.972748037601902,,0.010119512735639815,,
all,call,,always_short,33300,623,1.0,0.0,4.327995535139778,,0.08288284411309675,0.6886035313001605,0.6621921921921922
all,call,,always_long,33300,623,1.0,1.0,-4.327995535139778,,-0.08288284411309675,0.3113964686998395,0.3378078078078078
all,put,0.0,b2,33175,623,1.0,0.35041446872645066,8.5192250932012,4.967006731645485,0.1273265441861567,0.7560192616372392,0.6656217030896759
all,put,0.0,a0,33175,623,1.0,0.2722230595327807,8.963142868356167,5.174754022633487,0.12671815377315898,0.7720706260032103,0.6783421250941974
all,put,0.0,b2_minus_a0_t,33175,623,,,0.23117738974128677,,0.0006083904129977417,,
all,put,0.05,b2,25213,623,0.76,0.23418236623963828,8.967117516440656,5.672898961645762,0.16001266217831414,0.7768860353130016,0.708245746242018
