era,book,n,mean,sharpe_ann,hit
all,const_short_vega,585,0.7931543527838857,79.01167218651975,0.9931623931623932
all,const_short_dollar,585,0.00011128915770995145,12.612852894848903,0.9931623931623932
all,overlay_pure_z,585,0.012337034849660904,0.2818067637337433,0.4239316239316239
all,short_var_k0.25,585,0.7962386114963009,43.670956253249656,0.9931623931623932
all,short_var_k0.5,585,0.7993228702087162,28.19592579887536,0.9897435897435898
all,short_var_k1.0,585,0.8054913876335467,16.22438915377647,0.882051282051282
all,short_prem_direct,585,0.6495056642492425,54.52182596138075,0.9931623931623932
all,short_prem_z0.25,585,0.8355480432208617,43.34226571093204,0.9931623931623932
all,short_prem_z0.5,585,0.8779417336578379,28.780316488011735,0.9931623931623932
all,abstain_q0.8,585,0.6091153452606205,25.612147063807242,0.7367521367521368
all,abstain_q0.9,585,0.6584151390889691,31.034974985842926,0.811965811965812
daily_0dte,const_short_vega,433,0.7936591323021815,81.22323928716843,0.9907621247113164
daily_0dte,const_short_dollar,433,0.00010112051370198542,16.265791464517818,0.9907621247113164
daily_0dte,overlay_pure_z,433,0.0480615687385761,1.1832977788631571,0.4503464203233256
daily_0dte,short_var_k0.25,433,0.8056745244868256,46.90037424726847,0.9907621247113164
daily_0dte,short_var_k0.5,433,0.8176899166714696,30.885232116754366,0.9907621247113164
daily_0dte,short_var_k1.0,433,0.8417207010407576,18.23273824177175,0.9237875288683602
daily_0dte,short_prem_direct,433,0.647087145144522,57.68009830810343,0.9907621247113164
daily_0dte,short_prem_z0.25,433,0.8263907477824358,46.4382254733725,0.9907621247113164
daily_0dte,short_prem_z0.5,433,0.8591223632626902,30.924111586126536,0.9907621247113164
daily_0dte,abstain_q0.8,433,0.7311038669424271,41.201852292001305,0.8891454965357968
daily_0dte,abstain_q0.9,433,0.7754076060628108,60.561328649824915,0.9584295612009238
