era,entry_et,n_universe,zt,n_contracts,n_days,frac_flagged,frac_long,sh_daily_mid,sh_daily_crossed,hit_daily_mid,mean_per_trade_mid,mean_per_trade_crossed,hit_per_trade_mid,r2_pool_med,pn_n_snap,sh_pn_mid,sh_pn_crossed,mean_pn_mid
all,10:00,24154.0,1.5,2087.0,686.0,0.08640390825536143,0.6487781504551988,-0.9084565123143034,-2.430738616254329,0.4679300291545189,-0.03958084700420328,-0.11714474171701944,0.5198850023957834,0.8278221945804387,374.0,-1.09837385468034,-3.9563781508697,-0.053623895055725415
all,10:30,22299.0,1.5,1764.0,672.0,0.0791066863984932,0.6439909297052154,0.0087037313223672,-0.858366994753054,0.4538690476190476,-0.009071700772403756,-0.06272613701738963,0.4931972789115646,0.8850546081954789,326.0,-1.1086064287276256,-3.4697983268938466,-0.03994220553556159
all,11:00,20935.0,1.5,1642.0,660.0,0.07843324576068784,0.6218026796589525,0.35318331624145766,-0.2516095425707717,0.44393939393939397,0.011559539232438626,-0.040361192858080326,0.47442143727161995,0.9208173401750956,340.0,-0.5760362945325685,-1.8868125076824336,-0.03808368068714959
all,11:30,19793.0,1.5,1571.0,646.0,0.07937149497297025,0.6384468491406747,0.49536804383560695,-0.1979844250491364,0.43343653250773995,0.010465901003722248,-0.04140952785996229,0.47294716740929343,0.9104563822509806,301.0,0.3190007990333252,-1.1465819183718784,0.019217724627381142
all,12:00,18593.0,1.5,1459.0,618.0,0.078470392083042,0.6237148732008225,-0.16524804422792183,-1.2024493342608935,0.42718446601941745,-0.02510471319557047,-0.0774460525143273,0.4688142563399589,0.9172969681073784,312.0,-0.9815925885062833,-1.9626040105758982,-0.08605294487245245
all,12:30,17648.0,1.5,1367.0,617.0,0.07745920217588395,0.6415508412582297,-1.2917214238835217,-2.5004163812683498,0.4392220421393841,-0.015715492271152105,-0.06835756878770682,0.45720555961960496,0.9191944991810399,276.0,0.39553599020780683,-1.1203707056611605,0.022859845631096377
all,13:00,16753.0,1.5,1260.0,602.0,0.07521041007580732,0.6428571428571429,-0.4488582071351798,-1.3169032405220844,0.4053156146179402,-0.04157384798899712,-0.10125304518601894,0.46111111111111114,0.8937875171138122,265.0,-1.327703836170719,-2.539458359113128,-0.11313008350492225
all,13:30,15795.0,1.5,1144.0,583.0,0.07242798353909465,0.6695804195804196,-1.1617001516381498,-2.2651097067400596,0.41680960548885077,-0.03190508220484243,-0.09084295400881331,0.45104895104895104,0.8975575030138361,215.0,-0.18782679909464967,-1.6298498198109628,-0.011819880184325816
all,14:00,14839.0,1.5,1151.0,552.0,0.07756587371116652,0.6481320590790617,-0.10468684814038524,-1.342129169571953,0.4257246376811594,0.0009566760652431338,-0.08387562784937057,0.47089487402258906,0.8471414839905056,196.0,0.7873589576888624,-1.6887512741371422,0.052255691107945555
all,14:30,13123.0,1.5,913.0,525.0,0.06957250628667226,0.6856516976998904,0.34986706392037753,-0.384336239687841,0.3923809523809524,0.12156696711133563,0.052160875328479676,0.44468784227820374,0.8502560205508899,149.0,1.3199744356262424,-0.05200691427583498,0.09763796689538738
