book,n,mean,sharpe_ann,hit,unit
paper N*(RV-a0) all RTH,10455,0.03746224411209864,13.68457348386444,0.599713055954089,bar
listed MTM N*(RV+C1-C) all RTH,10455,-0.7653309588293249,-1.5281493407986542,0.5091343854615017,bar
hybrid N*(RV+C1-a0) all RTH,10455,-3.4245709865958243,-2.243212757201973,0.5085604973696796,bar
QLIKE increment all RTH,10455,0.005368755764864237,1.9007028188261004,0.5286465805834529,bar
paper last bar only,872,0.06069016659039554,3.1823974269129858,0.5768348623853211,day
listed MTM last bar (=expire),872,-10.683469708160809,-0.9011897278047246,0.3302752293577982,day
paper drop 2020,8536,0.03730111757658428,12.754716111346132,0.5888003748828491,bar
listed MTM drop 2020,8536,-0.23015421503818387,-5.43104492911993,0.4921508903467666,bar
paper daily-0DTE,6000,0.038666398757231955,12.389773276635387,0.569,bar
listed MTM daily-0DTE,6000,-0.3853756667487874,-9.598332966405623,0.4618333333333333,bar
paper weekly-0DTE,4455,0.03584048701427599,16.952507751063035,0.641077441077441,bar
listed MTM weekly-0DTE,4455,-1.2770552579276921,-1.6676481077522243,0.5728395061728395,bar
