book,n,mean,sharpe_ann,hit,frac_long
QLIKE remaining a0 (loss),671,0.1634550950069763,6.014283596948435,1.0,
QLIKE remaining blk2 (loss),671,0.16529567681349108,5.586914750621859,1.0,
QLIKE increment (a0-blk2),671,-0.0018405818065147593,-0.25620424095406197,0.5290611028315947,
pRem QLIKE remaining a0 (ex-post record),671,0.042615469167029,4.313358489922689,1.0,
pRem QLIKE remaining blk2 (ex-post record),671,0.03781060146403039,4.2915536809392005,1.0,
pRem QLIKE increment (ex-post record),671,0.004804867702998616,1.6444784521354467,0.5320417287630402,
sign(f-MFIV)*(RV-MFIV)  a0,671,8.706150188127986e-05,7.832550915992622,0.9284649776453056,0.046199701937406856
(f-MFIV)*(RV-MFIV)  a0,671,3.770221390389065e-08,3.1984694696825655,0.9284649776453056,
sign(f-MFIV)*(RV-MFIV)  blk2,671,8.74407309715321e-05,7.87504209396093,0.9269746646795827,0.04769001490312966
(f-MFIV)*(RV-MFIV)  blk2,671,3.7623734463846645e-08,3.182905035979431,0.9269746646795827,
always short smile (MFIV-RV),671,9.382403020038183e-05,8.611814836762566,0.9746646795827124,0.0
RV-a0  (a0 as strike),671,-2.9038522126566726e-06,-0.816452668075626,0.36959761549925485,
RV-blk2 (blk2 as strike),671,-4.000274097809242e-06,-1.0544752903897123,0.3830104321907601,
(blk2-a0)*(RV-a0)  all days,671,3.859432644389999e-12,0.010695649567654413,0.5946348733233979,
(blk2-a0)*(RV-a0)  drop D10,604,-8.921162197515495e-11,-0.24018884471256566,0.5844370860927153,
