era,bar_et,n,sh_paper,sh_mtm,hit_mtm
all,10:00,869,16.460829606584966,14.370119156823154,0.5408515535097813
all,10:30,870,3.902368686972167,3.305926431845866,0.5620689655172414
all,11:00,870,21.623797109222398,11.18353317475212,0.5264367816091954
all,11:30,871,11.55479437722275,-3.8492433981176677,0.5235361653272101
all,12:00,872,20.4086923156448,1.03187385608759,0.5561926605504587
all,12:30,872,11.235760117052761,4.1529266759695656,0.4461009174311927
all,13:00,867,7.642602395719697,-8.158601749920399,0.5374855824682814
all,13:30,867,13.187437660701983,1.173104170917796,0.5778546712802768
all,14:00,866,14.69255993853564,-11.850624391978918,0.4168591224018476
all,14:30,867,24.788859580958096,11.571540684115323,0.6551326412918108
all,15:00,867,9.170141424548701,-30.736451920392916,0.4117647058823529
all,15:30,867,13.149364278532397,4.307606020056581,0.48788927335640137
all,last1_daily,867,1.8979472514707822,0.6217493738106299,0.48788927335640137
all,last2_daily,867,2.064248108153339,0.5244975657252867,0.4740484429065744
all,last3_daily,867,3.6757398850611205,0.547585023747136,0.4855824682814302
all,last4_daily,867,4.190201492126091,0.41943222010606535,0.46943483275663206
daily_0dte,10:00,492,14.029301096350967,-10.459524357076571,0.45121951219512196
daily_0dte,10:30,492,6.6143211134594795,-6.396393847762066,0.5020325203252033
daily_0dte,11:00,492,20.401117918575434,3.9448101254558265,0.5101626016260162
daily_0dte,11:30,492,12.286343208911072,-16.306241471130136,0.49390243902439024
daily_0dte,12:00,492,20.585430429637263,-7.420333403690403,0.5345528455284553
daily_0dte,12:30,492,15.262849203917401,-29.29849155550807,0.3516260162601626
daily_0dte,13:00,490,8.187572568060137,-16.658867109759015,0.47959183673469385
daily_0dte,13:30,490,13.539766239136256,-2.84750149607447,0.5040816326530613
daily_0dte,14:00,489,21.372396613791935,-24.423723724908516,0.3333333333333333
daily_0dte,14:30,490,16.635371703790177,1.3026365304337162,0.5959183673469388
daily_0dte,15:00,490,7.184464612756888,-47.37450661234554,0.29591836734693877
daily_0dte,15:30,490,13.789746649635319,-19.91450532976753,0.4122448979591837
daily_0dte,last1_daily,490,1.990378485055923,-2.87441125322988,0.4122448979591837
daily_0dte,last2_daily,490,1.977587654323879,-3.0933070920822603,0.39387755102040817
daily_0dte,last3_daily,490,3.052478789250523,-3.0772018125727625,0.40816326530612246
daily_0dte,last4_daily,490,4.155524282787032,-3.373647788983066,0.3795918367346939
