theta,book,n_days,t_b2_minus_a0,mean_diff
0.05,ex_fomc+sigcross,607,2.2731785517494956,0.005972908637286145
0.1,ex_fomc+sigcross,607,2.8731768308282932,0.008258710121531333
0.2,ex_fomc+sigcross,607,4.368365222155485,0.012077289508499045
