variant,book,block,f_me,f_long,kelly_f_me,growth_median_per_yr,loggrowth_per_yr,growth_meanlog_per_yr,terminal_median,terminal_p05,prob_ruin,p_loss_1y,p05_1y,p_dd_gt_25,p_dd_gt_50,p_dd_gt_75,p_dd_ge_39_in_12
as observed,month-end alone,3,0.1,,0.44291653288421756,0.5258136681308458,0.4262765896364643,0.5315443258439927,8.270037993964843,2.5336241505571397,0.0,0.1025,0.8870625188680885,0.5817,0.016,0.0,0.0701
as observed,month-end alone,3,0.15,,0.44291653288421756,0.7896707537866858,0.5831366179809414,0.7916493460553458,18.35970527514199,2.9888609779498108,0.0,0.11395,0.823087302213934,0.95575,0.16535,0.00225,0.44095
as observed,month-end alone,3,0.22,,0.44291653288421756,1.129376537633949,0.7589353550976962,1.1360009270236624,43.7786457128381,3.705200968621608,0.0,0.13305,0.6892413961701709,0.9939,0.56875,0.04905,0.89425
as observed,month-end alone,3,0.3,,0.44291653288421756,1.4521396605608343,0.8938041883399095,1.4444109858947507,88.65964908570817,3.13145931768066,0.0,0.16885,0.5406340412739667,0.9999,0.9076,0.25685,0.98515
as observed,"joint, f_long 0.033",21,0.1,0.033,,1.0147751316065565,0.7025921333102769,1.018979394149917,33.19960438603354,3.7576863019389894,0.0,0.11745,0.7750377530591637,0.9982,0.43115,0.01925,
as observed,"joint, f_long 0.033",21,0.15,0.033,,1.4648381381567352,0.9039370825676754,1.4693058594165875,90.97918158241276,5.8423586661382805,0.0,0.11525,0.7237266893704238,0.9999,0.66825,0.06535,
as observed,"joint, f_long 0.033",21,0.22,0.033,,2.043319704471305,1.1195241213560871,2.063396051610089,261.05853084812014,8.080422634621081,0.0,0.12055,0.6545481053318355,1.0,0.90025,0.22315,
as observed,"joint, f_long 0.033",21,0.3,0.033,,2.6401248286461105,1.2924531950232372,2.64170942995221,639.1184936278169,7.143866691471866,0.0,0.1436,0.48028181786463797,1.0,0.9834,0.50925,
month-end mean - 1 SE,month-end alone,3,0.1,,0.22097222507613767,0.24593868126917195,0.22195903636698755,0.24852023289211989,3.0025022773271415,0.8871271663577277,0.0,0.265,0.7134762380496584,0.9077,0.17215,0.0031,0.3461
month-end mean - 1 SE,month-end alone,3,0.15,,0.22097222507613767,0.3166932651517649,0.27766277862529376,0.3200409761116463,3.9575195672611985,0.6459040987337172,0.0,0.29675,0.5894157192260169,0.99475,0.56705,0.06745,0.82355
month-end mean - 1 SE,month-end alone,3,0.22,,0.22097222507613767,0.3542474813477037,0.30426460380841,0.3556277128922185,4.555018894141787,0.3311152653856698,0.0,0.3286,0.421186235579869,0.9998,0.9061,0.34765,0.98955
month-end mean - 1 SE,month-end alone,3,0.3,,0.22097222507613767,0.3128559401379889,0.2741153912713201,0.3153665753032888,3.9001864356992204,0.12133940057674863,0.0,0.3863,0.2664319049569463,1.0,0.99295,0.7146,0.9994
month-end mean - 1 SE,"joint, f_long 0.033",21,0.1,0.033,,0.5592002059623988,0.44341024012447966,0.558011362030518,9.215298712833867,0.9915828821440201,0.0,0.23505,0.581808921864797,0.9999,0.714,0.1024,
month-end mean - 1 SE,"joint, f_long 0.033",21,0.15,0.033,,0.6719658533203452,0.5164375331745302,0.6760461427833131,13.065830438062376,0.8191435512661754,0.0,0.25155,0.48923444869663174,1.0,0.90475,0.2741,
month-end mean - 1 SE,"joint, f_long 0.033",21,0.22,0.033,,0.7384542978458415,0.5552198364585762,0.7423239690066232,15.878752888423598,0.42321738241500145,0.0,0.288,0.3466085178253128,1.0,0.9881,0.6023,
month-end mean - 1 SE,"joint, f_long 0.033",21,0.3,0.033,,0.6458614483833218,0.503840484277287,0.6550653331563909,12.077202926499485,0.11469905766351751,0.0,0.34585,0.21229208833755914,1.0,0.9992,0.87755,
two largest month-ends removed,month-end alone,3,0.1,,0.35899242546545246,0.3029782782965067,0.2680311295792496,0.3073878378147874,3.755656627196097,1.2015371013015723,0.0,0.20445,0.7836687220344905,0.7289,0.0529,0.00045,0.1331
two largest month-ends removed,month-end alone,3,0.15,,0.35899242546545246,0.4297818300595402,0.3622155401643165,0.43650853387984134,5.975150771375667,1.1070837694028075,0.0,0.23205,0.674040684639741,0.97385,0.3104,0.01475,0.60125
two largest month-ends removed,month-end alone,3,0.22,,0.35899242546545246,0.5852675264347937,0.4640657998450115,0.5905276234680357,10.011815018330344,0.8563517982272132,0.0,0.2499,0.532712600506444,0.9988,0.72125,0.1355,0.94525
two largest month-ends removed,month-end alone,3,0.3,,0.35899242546545246,0.6739654968792728,0.5194295156382184,0.6810683528865809,13.14415013981727,0.4894229849171561,0.0,0.2878,0.3823800065302248,0.9998,0.9571,0.44005,0.9941
two largest month-ends removed,"joint, f_long 0.033",21,0.1,0.033,,0.6279247059992139,0.48828718233245877,0.629522752927608,11.433299263412675,1.7122307235658276,0.0,0.16835,0.6978567134488488,0.9991,0.48485,0.0287,
two largest month-ends removed,"joint, f_long 0.033",21,0.15,0.033,,0.8311304128170567,0.6046281965026994,0.83057146946856,20.587157114850562,1.9206085497622647,0.0,0.1731,0.6377726069089369,0.9999,0.70585,0.0903,
two largest month-ends removed,"joint, f_long 0.033",21,0.22,0.033,,1.0731793084865906,0.7261953210903849,1.067200592220304,38.29872608176847,1.7563482456697668,0.0,0.19425,0.5132747123951508,1.0,0.9203,0.27875,
two largest month-ends removed,"joint, f_long 0.033",21,0.3,0.033,,1.224332924313149,0.8035623839596971,1.2334832982837138,54.450133809176194,1.1104629318761674,0.0,0.2254,0.39104613492658186,1.0,0.9879,0.58685,
