deck,series,variable,lag,autocorr,ci_lo,ci_hi
sub_live_ridge,month-end long,R,1,-0.10183443375498613,-0.32918157702272494,0.1708182905260796
sub_live_ridge,month-end long,loss,1,-0.06410256410256406,-0.3122228292540791,0.18820158336287363
sub_live_ridge,month-end long,R,2,-0.09122882860104647,-0.26327194108160484,0.23872468365365204
sub_live_ridge,month-end long,loss,2,-0.12225274725274722,-0.30820512820512824,0.222985347985348
sub_live_ridge,month-end long,R,3,-0.06256560389399339,-0.2509253156174759,0.2592352772039117
sub_live_ridge,month-end long,loss,3,-0.025641025641025595,-0.28846153846153844,0.24221611721611722
sub_live_ridge,general long leg (s > 0),R,1,-0.040761624915224455,-0.1281604640843409,0.04880971977653024
sub_live_ridge,general long leg (s > 0),loss,1,-0.029838652102520142,-0.12473630200659176,0.06305610512694708
sub_live_ridge,general long leg (s > 0),R,2,0.005815794701423356,-0.11977831831861808,0.10914969970732673
sub_live_ridge,general long leg (s > 0),loss,2,0.03307631898336548,-0.09263345911237185,0.13916005497166134
sub_live_ridge,general long leg (s > 0),R,3,0.020567029632537464,-0.08376599373855151,0.14819577125486663
sub_live_ridge,general long leg (s > 0),loss,3,-0.03133790247733274,-0.11938699381114637,0.0597219461955244
blk2,month-end long,R,1,-0.10183443375498613,-0.31191553411329465,0.18419098439490483
blk2,month-end long,loss,1,-0.06410256410256406,-0.3275099715099716,0.18595503958407153
blk2,month-end long,R,2,-0.09122882860104647,-0.26122386628370975,0.2402345385608551
blk2,month-end long,loss,2,-0.12225274725274722,-0.3082051282051282,0.23076923076923078
blk2,month-end long,R,3,-0.06256560389399339,-0.2499284874827002,0.2582516819888545
blk2,month-end long,loss,3,-0.025641025641025595,-0.2587766899517274,0.25
blk2,general long leg (s > 0),R,1,-0.07385267106435554,-0.14241430040725755,0.006777137852872959
blk2,general long leg (s > 0),loss,1,-0.0578679090868083,-0.17958704282820348,0.052398250690753136
blk2,general long leg (s > 0),R,2,-0.007815298262929884,-0.10227390502326987,0.07030381094014558
blk2,general long leg (s > 0),loss,2,-0.018815528318544127,-0.11506154909660556,0.06340666627060745
blk2,general long leg (s > 0),R,3,-0.05324144169093099,-0.12330970495191783,0.041720139281941515
blk2,general long leg (s > 0),loss,3,-0.07138800819687974,-0.16398888391973154,0.031686845167361796
