deck,series,n,p_loss,longest_loser_run,longest_winner_run,p_iid_longest_ge_observed,iid_longest_median,iid_longest_p95,loser_runs_len_1,loser_runs_len_2,loser_runs_len_3,loser_runs_len_4,loser_runs_len_5,loser_runs_len_6plus,winner_runs_len_1,winner_runs_len_2,winner_runs_len_3,winner_runs_len_4plus,ww_runs,ww_expected_runs,ww_z,ww_p_two_sided,ww_p_clustering_one_sided,iid_expected_loser_runs_ge_2,obs_loser_runs_ge_2,iid_expected_loser_runs_ge_3,obs_loser_runs_ge_3,iid_expected_loser_runs_ge_4,obs_loser_runs_ge_4
sub_live_ridge,month-end long,52,0.46153846153846156,3,5,0.96365,4.0,7.0,8,2,4,0,0,0,6,5,1,2,28.0,26.846153846153847,0.3251662385715448,0.7450552591481031,0.6274723704259484,6.0628129267182524,6,2.745282027940198,4,1.242619710040319,0
sub_live_ridge,general long leg (s > 0),348,0.603448275862069,9,6,0.76855,10.0,15.0,40,17,9,10,3,7,51,23,9,3,172.0,167.55172413793105,0.49901664191599426,0.6177676601609595,0.6911161699195203,50.472420968469386,46,30.370354922583807,29,18.274353537251862,20
blk2,month-end long,52,0.46153846153846156,3,5,0.9671,4.0,8.0,8,2,4,0,0,0,6,5,1,2,28.0,26.846153846153847,0.3251662385715448,0.7450552591481031,0.6274723704259484,6.0628129267182524,6,2.745282027940198,4,1.242619710040319,0
blk2,general long leg (s > 0),346,0.6011560693641619,7,5,0.98425,10.0,15.0,35,25,12,4,5,7,56,19,9,4,176.0,166.91907514450867,1.0196615078117268,0.3078890230855458,0.8460554884572271,50.08888048535677,53,30.02458528374929,28,17.997371964342793,16
