deck,f_me,f_long,growth_median_per_yr,loggrowth_per_yr,growth_meanlog_per_yr,terminal_median,terminal_p05,prob_ruin,p_loss_1y,p05_1y,p_dd_gt_25,p_dd_gt_50,p_dd_gt_75
sub_live_ridge,0.05,0.0,0.33924974231297234,0.2937478694693624,0.34144564162422486,4.30831905171007,2.000501431612418,0.0,0.083,0.9496607832195906,0.0776,0.0,0.0
sub_live_ridge,0.05,0.01,0.4345090825349287,0.36255295250551833,0.4369933113677684,6.074583575229683,2.2983123981991556,0.0,0.085,0.9367514194980925,0.2934,0.0014,0.0
sub_live_ridge,0.05,0.02,0.5032350416926858,0.4117474209788822,0.5094531319815334,7.675990965882858,2.308446722468044,0.0,0.1142,0.8733580405215605,0.7834,0.0372,0.0
sub_live_ridge,0.05,0.033,0.5862737471860151,0.46158896487787604,0.58659302372262,10.04362949977293,1.9179884575061146,0.0,0.1614,0.7628079032151621,0.9928,0.271,0.007
sub_live_ridge,0.05,0.05,0.6251017575910967,0.4888766259239744,0.6304835478109247,11.3345113068448,1.2419938688394796,0.0,0.2168,0.600189294706271,1.0,0.764,0.1016
sub_live_ridge,0.05,0.066,0.5959614653529388,0.4720738549718812,0.6033157921967425,10.354091660458517,0.6034391236341564,0.0,0.2826,0.4507680449920153,1.0,0.9654,0.3624
sub_live_ridge,0.1,0.0,0.6997444241802082,0.5348521669935938,0.7071958437041541,14.18790023461762,3.1653684930084722,0.0,0.0948,0.880830220231824,0.7122,0.0364,0.0002
sub_live_ridge,0.1,0.01,0.8339990942597586,0.6079222391300142,0.8366113923415839,20.748924206608315,3.854608898479775,0.0,0.0836,0.8875637645330409,0.8354,0.0648,0.0
sub_live_ridge,0.1,0.02,0.9105560231793224,0.6509003663315657,0.9172662941418697,25.4565112872271,4.151682538050819,0.0,0.1002,0.8442689007329998,0.9622,0.164,0.0028
sub_live_ridge,0.1,0.033,1.010997306941141,0.6979768426097546,1.0096826873321638,32.88951316342177,3.7342162209980225,0.0,0.126,0.7644331238973578,0.9988,0.4358,0.0202
sub_live_ridge,0.1,0.05,1.0560825397096285,0.7228835749401129,1.0603658722926235,36.745378505598254,2.4507259447389735,0.0,0.1602,0.6438557731167733,1.0,0.8144,0.1328
sub_live_ridge,0.1,0.066,1.0392239288822975,0.7105613263363146,1.035133312010391,35.26343326814177,1.3120885745630293,0.0,0.218,0.47423117880849425,1.0,0.9732,0.3642
sub_live_ridge,0.15,0.0,1.1112661387537224,0.7498228742952201,1.1166250746996185,41.948352802229444,4.553037034096527,0.0,0.1052,0.8295952498245235,0.9668,0.2408,0.0062
sub_live_ridge,0.15,0.01,1.2158438834178003,0.8005365704966472,1.2267354085264914,53.41900510069904,5.588493782228151,0.0,0.1006,0.8185540215771024,0.9842,0.311,0.0098
sub_live_ridge,0.15,0.02,1.352655934790827,0.8614650236886554,1.366625317360361,72.0762347599273,5.9146735211838175,0.0,0.0986,0.8076413889314542,0.9968,0.4282,0.0216
sub_live_ridge,0.15,0.033,1.4717114263918059,0.905508002218776,1.4731879889741721,92.25476912563575,5.539970029713858,0.0,0.1094,0.7507457749897185,1.0,0.6668,0.0628
sub_live_ridge,0.15,0.05,1.5420188354813322,0.9370859217071384,1.5525322909895367,106.14360190570916,4.325343509527723,0.0,0.1424,0.6347678358826534,1.0,0.897,0.199
sub_live_ridge,0.15,0.066,1.4996307252022003,0.9211274825350017,1.512121166551918,97.58414731976336,2.705601872801034,0.0,0.18,0.52772902538016,1.0,0.9872,0.4202
sub_live_ridge,0.2,0.0,1.4594137735528228,0.9030471901596849,1.4671094203214725,89.98248952418157,5.183527822119691,0.0,0.1244,0.6928794226607231,0.9964,0.554,0.0508
sub_live_ridge,0.2,0.01,1.607777733406841,0.9668696065274833,1.629699566849458,120.6015428777788,6.78812296724339,0.0,0.109,0.723645771614149,0.9992,0.6366,0.0596
sub_live_ridge,0.2,0.02,1.7485347453375146,1.012808148643207,1.7533219064136563,156.85781357927033,7.573265730780673,0.0,0.114,0.6800148314396626,1.0,0.7228,0.0914
sub_live_ridge,0.2,0.033,1.8689764893090706,1.060643501176513,1.8882289701377282,194.3725563768575,7.4216515758544785,0.0,0.1228,0.6577058829166914,1.0,0.8564,0.1664
sub_live_ridge,0.2,0.05,1.9753237858072827,1.0956001182666235,1.9909770848966493,233.1691936863897,5.986371760352186,0.0,0.1336,0.5893450136837352,1.0,0.9596,0.3252
sub_live_ridge,0.2,0.066,1.9740723213347025,1.0887081402373586,1.9704342083826973,232.67923425159682,3.713324259359028,0.0,0.164,0.46454901054555836,1.0,0.993,0.5392
sub_live_ridge,0.25,0.0,1.8047086163612178,1.0327484187140614,1.8087749255104644,173.55564483337218,5.479071202141947,0.0,0.1308,0.6249469191853543,0.9998,0.8242,0.1782
sub_live_ridge,0.25,0.01,1.9726240800113155,1.0915956684292702,1.9790238163009164,232.11326338554005,6.112858647677139,0.0,0.1218,0.6319747814142175,1.0,0.853,0.194
sub_live_ridge,0.25,0.02,2.107994634976175,1.1413120823566103,2.1308736354286952,290.00220648740867,7.158784744677208,0.0,0.1278,0.5991433463145164,1.0,0.8992,0.2406
