deck,year,n,hit,mean_R,sum_R
sub_live_ridge,2020,12,0.4166666666666667,0.04037161381334345,0.4844593657601214
sub_live_ridge,2021,12,0.5833333333333334,0.2381867265223884,2.858240718268661
sub_live_ridge,2022,12,0.6666666666666666,0.46063449086593194,5.527613890391184
sub_live_ridge,2023,12,0.4166666666666667,0.7304004846343158,8.76480581561179
sub_live_ridge,2024,4,0.75,1.1760183305060987,4.704073322024395
blk2,2020,12,0.4166666666666667,0.04037161381334345,0.4844593657601214
blk2,2021,12,0.5833333333333334,0.2381867265223884,2.858240718268661
blk2,2022,12,0.6666666666666666,0.46063449086593194,5.527613890391184
blk2,2023,12,0.4166666666666667,0.7304004846343158,8.76480581561179
blk2,2024,4,0.75,1.1760183305060987,4.704073322024395
