deck,book,f_me,f_long,growth_median_per_yr,loggrowth_per_yr,growth_meanlog_per_yr,terminal_median,terminal_p05,prob_ruin,p_loss_1y,p05_1y,p_dd_gt_25,p_dd_gt_50,p_dd_gt_75,share_growth_month_ends,corr_legs_by_month,p_gen_month_loss,p_gen_month_loss_given_me_loser
sub_live_ridge,long-only,0.1,0.016,0.8831837389018233,0.6370769808344983,0.8909455232648238,23.684459442077284,4.218772284832117,0.0,0.08845,0.8823461881424531,0.9288,0.1159,0.00095,0.8449458247241225,0.18109156210645294,0.4807692307692308,0.5
sub_live_ridge,long-only,0.1,0.033,1.0139271615405665,0.7025673616129289,1.0189293812228684,33.12979862202001,3.857997691120421,0.0,0.1177,0.7698097657733625,0.9986,0.43545,0.02,0.7658309163102457,0.18908184871698927,0.4807692307692308,0.5
sub_live_ridge,long-only,0.15,0.016,1.3007487570484089,0.8378835817259964,1.3114697594901954,64.46826469552002,6.072714091691205,0.0,0.1008,0.8144354234583812,0.9939,0.3813,0.0158,0.8824075373186192,0.17869732388058437,0.4807692307692308,0.5
sub_live_ridge,long-only,0.15,0.033,1.444530159912064,0.8971415985411745,1.452582616512009,87.29251358510143,5.759364951088381,0.0,0.11195,0.7312935471250311,0.99985,0.67505,0.0646,0.8190473327819435,0.1868847390120638,0.4807692307692308,0.5
sub_live_ridge,long-only,0.22,0.016,1.8715015147489198,1.060322345801782,1.8873015488116578,195.2294130365284,7.681856167579707,0.0,0.1144,0.6845459427008871,0.99995,0.7793,0.1277,0.9071370167300327,0.17544401516224675,0.4807692307692308,0.5
sub_live_ridge,long-only,0.22,0.033,2.057466126965859,1.1198282122420642,2.0643277440819365,267.18266130678376,7.368911359108875,0.0,0.127,0.630675949735416,1.0,0.9002,0.22445,0.8549070660483427,0.18386259584235293,0.4807692307692308,0.5
sub_live_ridge,long-only,0.3,0.016,2.39711676767886,1.229016144745302,2.417865196915735,452.43102100964484,7.193812486408679,0.0,0.1446,0.5290701734684237,1.0,0.9669,0.40925,0.919559526001232,0.17189933744637523,0.4807692307692308,0.5
sub_live_ridge,long-only,0.3,0.033,2.6437590243341944,1.292974479853893,2.643608292716878,642.3152577673343,7.159895870376355,0.0,0.14795,0.5011518573782715,1.0,0.983,0.51445,0.8738940811427122,0.18053569277004583,0.4807692307692308,0.5
sub_live_ridge,sign(s) both legs (reference),,0.016,0.3542351623169113,0.30434757835081494,0.35574020014809205,4.554811722269889,1.5549104201488364,0.0,0.1528,0.8313239848207135,0.84595,0.0546,0.0002,,,,
sub_live_ridge,sign(s) both legs (reference),,0.033,0.7180706005639892,0.5422742383965446,0.71991391197691,14.969421993663456,1.5991102253835767,0.0,0.18505,0.6218926040774387,1.0,0.7554,0.09855,,,,
blk2,long-only,0.1,0.016,0.8288865309667921,0.6035356146207188,0.8285725124583063,20.461327543350393,3.627872997736461,0.0,0.09865,0.8584676363156275,0.9401,0.1385,0.0014,0.8939882268164663,0.1318263375425731,0.4807692307692308,0.5416666666666666
blk2,long-only,0.1,0.033,0.8762829696046666,0.6327275558030265,0.8827388575488926,23.253679543055092,2.923088804384874,0.0,0.1362,0.7344721136282764,0.9983,0.48435,0.0249,0.852758741205522,0.14041279339010568,0.4807692307692308,0.5416666666666666
blk2,long-only,0.15,0.016,1.2286459360281339,0.8029957136065274,1.2322180080493674,54.98008272490291,5.2973753617842805,0.0,0.1082,0.7831529851458572,0.9934,0.41265,0.01965,0.9199887522637425,0.13214746731921762,0.4807692307692308,0.5416666666666666
blk2,long-only,0.15,0.033,1.2868273359131583,0.8303549162231036,1.2941328207464897,62.54129575287014,4.414397674775073,0.0,0.1295,0.7071836378834435,0.9999,0.71485,0.084,0.8933660515217252,0.1410094350404431,0.4807692307692308,0.5416666666666666
blk2,long-only,0.22,0.016,1.7704046473168997,1.022035727750313,1.778845983723123,163.19845212728129,6.410889002536813,0.0,0.1209,0.6700196010191534,0.9999,0.7902,0.1404,0.9385566531667611,0.1324434901894952,0.4807692307692308,0.5416666666666666
blk2,long-only,0.22,0.033,1.8499788421964487,1.0498368743358177,1.857184999845484,188.02178848501924,5.70379828361081,0.0,0.13435,0.6091910599883819,1.0,0.91585,0.2601,0.9139012891280448,0.14163562969359492,0.4807692307692308,0.5416666666666666
blk2,long-only,0.3,0.016,2.3002045606556116,1.199803828959476,2.3194656758251333,391.47524142742384,6.00718976356223,0.0,0.14745,0.5200179903175336,1.0,0.967,0.4229,0.9474328407769105,0.13278554097183445,0.4807692307692308,0.5416666666666666
blk2,long-only,0.3,0.033,2.4193649760672953,1.2319898558853832,2.4280440677369333,467.441530102407,5.623478337405146,0.0,0.15595,0.46399249792591485,1.0,0.98415,0.53575,0.9263004888453028,0.14229822124822358,0.4807692307692308,0.5416666666666666
blk2,sign(s) both legs (reference),,0.016,0.2271612079390377,0.20664820236497003,0.22954994292423847,2.7829672220652677,0.9621393324346533,0.0,0.2449,0.767360737390419,0.9113,0.11655,0.00125,,,,
blk2,sign(s) both legs (reference),,0.033,0.39953592655712256,0.33728594777923004,0.4011396592350587,5.369331984943178,0.5848498237659978,0.0,0.2933,0.5274591898769644,1.0,0.85305,0.19445,,,,
