k,days left,worst removed,its sign(s) R',gain mid,gain crossed
0,866,,,0.44505044348473444,0.4792376504818584
1,865,2023-11-30,-5.422480279928936,0.33647189632741514,0.37310736454542814
2,864,2024-04-30,-3.813873034315516,0.2624602878976734,0.3013744609538249
3,863,2023-03-22,-3.5509046737099705,0.19311930783054687,0.23319229304579592
4,862,2023-01-31,-3.2222377551717436,0.13012936295631827,0.1704827948795673
5,861,2022-11-30,-2.2967389731600867,0.08652093980635911,0.12589930952771722
6,860,2023-09-20,-2.166639623817858,0.04532760412754255,0.08494052964240817
7,859,2022-03-31,-1.7492947776925507,0.012508122591489146,0.052115670602408626
8,858,2021-09-30,-1.507759033407952,-0.015585919417506089,0.02298986637132372
9,857,2022-12-30,-1.3926380088123018,-0.04149320763056319,-0.003289273904477641
10,856,2021-10-29,-1.372544642857143,-0.06709671985925714,-0.02976032752652169
