forecast,median rv_hat/iv_var non-event,median rv_hat/iv_var month-end,median rv_hat/iv_var FOMC,median rv_hat month-end / non-event
baseline (HAR + calendar OLS),0.8758041388052957,0.6689974775904896,0.8178754059044604,1.1769135127458001
block-diagonal ridge,0.9379774583765683,0.6775351211018785,0.8115460648994586,1.098708728473343
LightGBM,0.8768073164805348,0.671033429690101,0.956259087267016,1.1415104434306689
XGBoost,0.8617241537401191,0.6616123333522063,0.9930410106718514,1.100251630398423
lasso (causally tuned),0.9193831539940952,0.6648284619517166,0.8248482738579763,1.1568937342935905
lasso (fixed 1e-4),0.9446479864894679,0.6719510516857822,0.7604420008626795,1.0831624006371332
elastic net (causally tuned),0.9188955741451694,0.6724960064874184,0.8279516330491768,1.1729985525968754
