days,n,mean R,t of mean R,share R>0 (a long wins),q05,q10,q25,q50,q75,q90,q95,"mean R', sign(s)",t of R',sign(s) short share
all 866,866,-0.014475039184953114,-0.3777620924688714,0.3810623556581986,-1.0,-1.0,-0.9281034342060902,-0.3273560071867437,0.44860321730068753,1.4103078298614515,2.09997569714446,0.0947363520468904,2.480956577175688,0.6004618937644342
non-event,782,-0.05250554475135637,-1.316868587303527,0.36445012787723785,-1.0,-1.0,-0.9574105215573409,-0.3537610251991688,0.3920293206859031,1.3975352474244378,1.9970095960955665,0.13112680717477218,3.3080234877322137,0.5818414322250639
event,84,0.33957085787370556,2.618182729523414,0.5357142857142857,-1.0,-0.9839579265385341,-0.4456345284045602,0.06941795534635486,0.7492736229754196,1.6768340544071718,2.3196860787172513,-0.2440414564055327,-1.845145640624828,0.7738095238095238
month-end,52,0.4712437492733399,2.625628625937774,0.5384615384615384,-1.0,-0.9190663158786628,-0.33004440160665793,0.11209754059844523,0.9239856213253201,2.0797866984248943,2.7280615521905527,-0.2950481880849742,-1.5802646374771183,0.8269230769230769
FOMC,33,0.15025695333835976,0.8895996081141985,0.5454545454545454,-1.0,-0.9893052843590228,-0.6742334925199696,0.028109163851351315,0.5714518496783321,0.954136030851387,1.5023241456165568,-0.1278113392926609,-0.7541363058091721,0.6666666666666666
