days,n,buy share,E[R|buy],contrib buy,E[-R|sell],contrib sell,mean R',t,mean R (package)
all 866 days,866,0.3995381062355658,0.10044262563358049,0.04013065643096864,0.09093948539113125,0.05460569561592177,0.0947363520468904,2.480956577175688,-0.014475039184953114
non-event days,782,0.41815856777493604,0.0940089101148489,0.039310631211707914,0.15780274638047526,0.09181617596306424,0.13112680717477218,3.3080234877322137,-0.05250554475135637
event days,84,0.2261904761904762,0.21117025587701374,0.047764700734086445,-0.3771033415342771,-0.2918061571396192,-0.2440414564055327,-1.845145640624828,0.33957085787370556
month-end days,52,0.17307692307692307,0.5090093989886119,0.08809778059418281,-0.46333931096084113,-0.38314596867915707,-0.2950481880849742,-1.5802646374771183,0.4712437492733399
FOMC days,33,0.3333333333333333,0.03366842106854828,0.011222807022849427,-0.20855121947326552,-0.13903414631551034,-0.1278113392926609,-0.7541363058091721,0.15025695333835976
