rule,n,n_flat,n_buy,mean mid,std mid,t mid,Sharpe mid,mean crossed,std crossed,t crossed,Sharpe crossed,worst,hit rate
sign(s),866,0,346,0.0947363520468904,1.1237156788965348,2.480956577175688,1.3383216004229939,0.061366566958345296,1.1202596918360592,1.6120260821252166,0.8695877009703311,-5.422480279928936,0.5438799076212472
flat on 84 event days,866,84,327,0.1184078097120922,1.053995274366643,3.305983106366749,1.7833720439077283,0.08905155020306144,1.0480597304095172,2.50042824242615,1.3488253514521895,-4.626674107142857,0.4930715935334873
flat on month-end only,866,52,337,0.11245287142381727,1.0709583954746373,3.0899887317261396,1.6668565273482001,0.08170841473596051,1.0657093867793586,2.256248547003757,1.21710560924674,-4.626674107142857,0.5150115473441108
flat on FOMC only,866,33,335,0.09960676104995947,1.1072940152663726,2.6471881593115913,1.4279931888303288,0.06768410107678938,1.103268623238495,1.8053621964344952,0.9738804968629993,-5.422480279928936,0.5207852193995381
always short,866,0,0,0.014475039184953114,1.1276136351186241,0.3777620924688714,0.203779128108568,-0.020279858014825125,1.1708958166048,-0.5096894000471736,-0.27494569629521737,-10.31604850795286,0.6177829099307159
"always short, flat on events",866,84,0,0.04741262817039337,1.059571658855223,1.3168085640181009,0.7103362312183715,0.016777649840593253,1.1018025782464584,0.44811170473037865,0.24172836371273887,-10.31604850795286,0.5727482678983834
heaviside long only,866,520,346,0.04013065643096866,0.8329922719891163,1.4177323113063771,0.7647783090177713,0.025238354369128097,0.8018006569297093,0.9263040698957388,0.4996833708038774,-1.0,0.1628175519630485
"heaviside long only, flat on events",866,539,327,0.035497590770849415,0.818957036056006,1.2755477056138318,0.6880785671534524,0.02166207834462724,0.7884650291581853,0.808493685654062,0.43613200378871686,-1.0,0.1489607390300231
heaviside short only,866,346,0,0.054605695615921754,0.757131820331228,2.122390978975532,1.1448977857320692,0.036128212589217196,0.7835325297716469,1.3569017109526658,0.7319639876511523,-5.422480279928936,0.3810623556581986
"heaviside short only, flat on events",866,411,0,0.08291021894124277,0.6679134991992405,3.6529757308904833,1.9705529598737126,0.0673894718584342,0.6925857806723754,2.863369719064685,1.5446096801032476,-4.626674107142857,0.3441108545034642
