forecast,tag,sign(s) mid,flat mid,dSharpe mid,pct mid,basic mid,pct reading mid,basic reading mid,t of daily diff mid,boot share > 0 mid,sign(s) crossed,flat crossed,dSharpe crossed,pct crossed,basic crossed,pct reading crossed,basic reading crossed,t of daily diff crossed,boot share > 0 crossed
baseline (HAR + calendar OLS),a0,0.9673095454705917,1.4369691025113889,0.4696595570407972,"[+0.117, +0.861]","[+0.078, +0.823]",excludes zero,excludes zero,2.0812914607504225,0.9965,0.49093226316152744,0.9895066251173765,0.4985743619558491,"[+0.155, +0.884]","[+0.113, +0.842]",excludes zero,excludes zero,2.341364750902825,0.997
block-diagonal ridge,blk2,1.3383216004229939,1.7833720439077283,0.44505044348473444,"[+0.080, +0.889]","[+0.001, +0.810]",excludes zero,excludes zero,1.821724010916632,0.9915,0.8695877009703311,1.3488253514521895,0.4792376504818584,"[+0.117, +0.914]","[+0.045, +0.842]",excludes zero,excludes zero,2.092331795735497,0.994
LightGBM,lgbm,1.4593971219265764,1.6175060994959052,0.15810897756932873,"[-0.228, +0.561]","[-0.244, +0.545]",includes zero,includes zero,0.32847189836642177,0.7805,0.9818045863151208,1.1715797311622382,0.18977514484711744,"[-0.202, +0.590]","[-0.211, +0.582]",includes zero,includes zero,0.6276555106633609,0.8275
XGBoost,xgb,1.4980323951467007,1.8239050333815379,0.32587263823483714,"[-0.047, +0.703]","[-0.051, +0.699]",includes zero,includes zero,1.16206869022571,0.953,1.0215326073475821,1.3788107711852127,0.35727816383763056,"[-0.018, +0.727]","[-0.013, +0.733]",includes zero,includes zero,1.4469810711851585,0.9675
lasso (causally tuned),lasso_t,1.4131037944414562,1.7784733802986918,0.36536958585723567,"[-0.025, +0.792]","[-0.061, +0.756]",includes zero,includes zero,1.3916263061083565,0.9655,0.9346206653459997,1.3308268971968753,0.39620623185087556,"[+0.011, +0.828]","[-0.035, +0.781]",excludes zero,includes zero,1.6699761882194921,0.977
lasso (fixed 1e-4),lasso_f,1.509829846463058,1.8326570333932801,0.32282718693022217,"[-0.079, +0.781]","[-0.135, +0.724]",includes zero,includes zero,1.14254354695384,0.9435,1.0444324874859765,1.4028976601808494,0.3584651726948729,"[-0.044, +0.813]","[-0.096, +0.761]",includes zero,includes zero,1.4285987083918759,0.959
elastic net (causally tuned),enet,1.0224751588133707,1.3195814928266352,0.2971063340132645,"[-0.106, +0.745]","[-0.150, +0.700]",includes zero,includes zero,1.182124829813119,0.9275,0.5449047373133905,0.8708691096731437,0.3259643723597532,"[-0.077, +0.768]","[-0.116, +0.729]",includes zero,includes zero,1.4673588347416033,0.946
