rule,positions changed,Sharpe mid,vs sign(s) dmid,vs sign(s) pct mid,vs sign(s) reading mid,vs flat dmid,vs flat pct mid,vs flat reading mid,Sharpe crossed,vs sign(s) dcrossed,vs sign(s) pct crossed,vs sign(s) reading crossed,vs flat dcrossed,vs flat pct crossed,vs flat reading crossed
C1 long on month-ends,43,1.9969329535870863,0.6586113531640925,"[+0.163, +1.244]",excludes zero,0.21356090967935804,"[-0.144, +0.541]",includes zero,1.5352446879988975,0.6656569870285663,"[+0.167, +1.256]",excludes zero,0.18641933654670795,"[-0.167, +0.517]",includes zero
C2 long on FOMC days,22,1.48926320665057,0.15094160622757613,"[-0.151, +0.525]",includes zero,-0.2941088372571583,"[-0.700, +0.082]",includes zero,1.0225680241218384,0.15298032315150734,"[-0.149, +0.522]",includes zero,-0.32625732733035107,"[-0.727, +0.039]",includes zero
