forecast,seeds whose percentile interval excludes zero,min lower bound,max lower bound
baseline (HAR + calendar OLS),10,0.15114165445196773,0.1752426223574031
block-diagonal ridge,10,0.09330576418807422,0.11680257229422909
LightGBM,0,-0.20196135049635539,-0.1678112218346916
XGBoost,4,-0.02790314072024933,0.006273154218058081
lasso (causally tuned),10,0.011273177101686542,0.032767856342438055
lasso (fixed 1e-4),0,-0.04955824194841914,-0.02210521252925966
elastic net (causally tuned),0,-0.07887424063477337,-0.04557719592265131
