days,n,median rv last bar (1e-6),median iv_var close bar (1e-6),median rv close bar (1e-6),median rv_hat (1e-6),median close/last,median close/implied,median rv_hat/implied,share close bar > last bar,share close bar > implied
non-event,782,2.827321652826727,5.256471985141476,4.023028353539962,4.5869331942859395,1.46589867772359,0.7549677522444592,0.9379774583765683,0.7966751918158568,0.26982097186700765
event,84,6.531007089901655,9.498743160095795,8.887360649424929,7.509390842213606,1.6223190405218921,0.7894335270540052,0.7145933417204797,0.6428571428571429,0.2857142857142857
month-end,52,3.8486906530710896,8.647952681087121,7.9321670046082,5.039703537486074,2.0615485318276034,0.8868158987146337,0.6775351211018785,0.8653846153846154,0.38461538461538464
FOMC,33,12.727385138215396,11.122923049463624,8.858009794027794,10.136487456671627,0.6427820421218929,0.6758764731147603,0.8115460648994586,0.2727272727272727,0.15151515151515152
