rule,n flat,overlap with the real flags,Sharpe mid,gain mid,pct mid,reading mid,placebo pct mid,Sharpe crossed,gain crossed,pct crossed,reading crossed,placebo pct crossed
flat on 84 event days (the rule),84,84,1.7833720439077283,0.44505044348473444,"[+0.080, +0.889]",excludes zero,99.9,1.3488253514521895,0.4792376504818584,"[+0.117, +0.914]",excludes zero,99.9
flat on month-end only,52,52,1.6668565273482001,0.32853492692520625,"[-0.009, +0.698]",includes zero,99.2,1.21710560924674,0.34751790827640894,"[+0.015, +0.714]",excludes zero,99.15
flat on FOMC only,33,33,1.4279931888303288,0.08967158840733491,"[-0.088, +0.310]",includes zero,82.5,0.9738804968629993,0.10429279589266816,"[-0.073, +0.321]",includes zero,80.9
placebo: flat the session BEFORE each event day,84,8,1.5125554164111708,0.1742338159881769,"[-0.157, +0.530]",includes zero,93.10000000000001,1.0798308270139554,0.21024312604362427,"[-0.129, +0.568]",includes zero,93.8
placebo: flat the session AFTER each event day,83,8,1.2076013658592077,-0.13072023456378612,"[-0.405, +0.144]",includes zero,35.449999999999996,0.7642769259936942,-0.10531077497663688,"[-0.379, +0.169]",includes zero,35.65
"placebo: BEFORE, real event days excluded",76,0,1.4540215476314347,0.11569994720844079,"[-0.201, +0.449]",includes zero,86.05000000000001,1.0174100429446016,0.14782234197427047,"[-0.178, +0.494]",includes zero,87.05000000000001
"placebo: AFTER, real event days excluded",75,0,1.2529968064166346,-0.08532479400635928,"[-0.336, +0.175]",includes zero,44.95,0.808273038445163,-0.06131466252516815,"[-0.313, +0.197]",includes zero,45.300000000000004
