forecast,"short share, all","short share, non-event","short share, month-end","short share, FOMC",mean R' event,mean R' non-event
baseline (HAR + calendar OLS),0.6697459584295612,0.6572890025575447,0.8461538461538461,0.6666666666666666,-0.27865107504051884,0.10588864801972526
block-diagonal ridge,0.6004618937644342,0.5818414322250639,0.8269230769230769,0.6666666666666666,-0.2440414564055327,0.13112680717477218
LightGBM,0.6651270207852193,0.6560102301790282,0.8461538461538461,0.5757575757575758,-0.04408427270641564,0.11906292713336761
XGBoost,0.6778290993071594,0.670076726342711,0.8846153846153846,0.5151515151515151,-0.1558495692551253,0.1340686469406285
lasso (causally tuned),0.6293302540415704,0.6150895140664961,0.8461538461538461,0.6060606060606061,-0.18657332522047088,0.13077109690813385
lasso (fixed 1e-4),0.5866050808314087,0.5677749360613811,0.8076923076923077,0.6666666666666666,-0.1532349555884966,0.1347035236046103
elastic net (causally tuned),0.6454965357967667,0.6329923273657289,0.8269230769230769,0.6363636363636364,-0.15853507477676865,0.09730053951288366
