,n,mean_active,te_daily,te_ann,IR_ann,t_active,t_lag,corr_to_bench
"flat on events (both legs), mid",866.0,0.07099518154169883,1.637914072112012,26.00107982220899,0.6880785671534524,1.385587896386205,14.0,-0.20109733015616765
"unfiltered, mid",866.0,0.08026131286193731,1.6659845439782326,26.44668474866252,0.7647783090177713,1.5655519595098029,14.0,-0.09519840730332774
"flat on events (both legs), crossed",866.0,0.0722739003624682,1.6406977801991192,26.0452698181355,0.6992833254758657,1.4085596426642446,14.0,-0.16431672283942791
"unfiltered, crossed",866.0,0.08164642497317044,1.668847085485293,26.49212618633421,0.7766420463395037,1.590680520095364,14.0,-0.06063540003381071
