days,n,median r^2 (1e-6),mean r^2 / mean close-bar RV,median r^2 / iv_var,share r^2 > iv_var,share close-bar RV > iv_var
non-event,782,1.9736205006071663,1.4056712534613283,0.3642146978083542,0.2710997442455243,0.26982097186700765
event,84,5.739534323864192,1.720622633608,0.7152508359731788,0.39285714285714285,0.2857142857142857
month-end,52,5.990728727385439,1.5753835898804922,0.7437515304365441,0.4423076923076923,0.38461538461538464
FOMC,33,5.580703147144273,1.861865858070445,0.7203517532215064,0.3333333333333333,0.15151515151515152
