bucket,estimator,arm,qlike_pct_vs_incumbent_16,d_ci,qlike_pct_mean_13_bars,bars_better,trade_deck_days,trade_pct_buy,trade_Sharpe_mid,trade_Sharpe_crossed,trade_ridge_Sharpe_mid_same_days,qlike_pct_vs_incumbent_16_deck,d_ci_deck,qlike_pct_mean_13_bars_deck
"live_feasible (incumbent, tw 2000)",ridge,bar1600,0.0,,0.0,,866,40.184757505773675,1.9024666283565088,1.439631199377035,1.3383216004229939,,,
ivrep_target_scale,ridge,bar1600,-1.8482712270333934,"[-0.0061, +0.0006]",-0.7839426394398779,9/13,866,38.33718244803695,1.6406735613200751,1.1695354216932796,1.3383216004229939,-1.3183089150685445,"[-0.0061, +0.0020]",-0.6054689581403597
ivrep_term,ridge,bar1600,-0.8062751332970408,"[-0.0030, +0.0009]",-0.7667056206364619,8/13,866,39.95381062355658,1.7473562951561377,1.2814570464151398,1.3383216004229939,-0.7799139254191956,"[-0.0030, +0.0011]",-1.1432929623354242
ivrep_innovations,ridge,bar1600,-1.5926169921848254,"[-0.0077, +0.0027]",-2.067455714629172,11/13,866,39.37644341801386,0.9709549379259609,0.4988268871153481,1.3383216004229939,-1.663524855694154,"[-0.0088, +0.0034]",-2.5378670672419625
ivrep_vrp,ridge,bar1600,-0.8875204962247696,"[-0.0054, +0.0020]",0.1485222743613384,4/13,866,39.722863741339495,1.649501573856574,1.1856076687306567,1.3383216004229939,-0.9346184058375839,"[-0.0062, +0.0027]",0.2840894678839522
ivrep_all,ridge,bar1600,-1.1030452038855887,"[-0.0082, +0.0036]",-0.7322418847140475,5/13,866,40.993071593533486,1.153802038894636,0.6865335843660377,1.3383216004229939,-0.3369344229643412,"[-0.0086, +0.0058]",-1.0590022101604204
"live_feasible (incumbent, tw 500)",ridge,bar1600,0.0,,0.0,,550,37.45454545454546,1.9207304855667742,1.5560718263527464,1.4775743986894427,,,
ivrep_slice_slope,ridge,bar1600,1.3435891825188007,"[-0.0037, +0.0068]",-0.6294956686718559,6/13,550,37.09090909090909,1.7952529987975647,1.4289820858901259,1.4775743986894427,,,
"live_feasible (incumbent, tw 2000)",enet,bar1600,0.0,,0.0,,866,37.75981524249423,1.4107677128902967,0.9427859527964674,1.3383216004229939,,,
ivrep_target_scale,enet,bar1600,-0.549324079475666,"[-0.0041, +0.0030]",-0.18364169150881196,7/13,866,37.06697459584296,1.5452232158970767,1.0755329276249883,1.3383216004229939,1.3544061285069908,"[-0.0025, +0.0059]",0.6110590842924586
