book,Sharpe,mean,sd,p01,min,n
IS 10:00 flatten,3.6401236547548566,0.08258335007036016,0.3601443699892266,-1.1235475763501328,-2.9498430461571283,864
IS 10:00 flatten + 15:30 sign(s),2.3573008031528873,0.18210110105257513,1.226303133342398,-3.1593760831743505,-6.773320341078258,859
"causal clock, hold through",3.759760754719187,0.09514007466975478,0.4017015874901124,-1.3273254270083419,-2.461861149872944,802
"causal clock, flatten if s>0",4.0615714757736425,0.09719295918891391,0.37987522918281524,-1.1977856821610298,-2.375149204853284,802
causal flatten + 15:30 sign(s),2.7182601453620725,0.212135416744486,1.238860580579636,-2.8627549279049127,-7.720463956586675,802
15:30 sign(s) alone,1.3744051566942508,0.09736393110743635,1.1245624936281053,-2.82208308009251,-5.42248033384579,861
