clock,n,Sharpe hold,Sharpe flatten,Sharpe flatten+15:30,mean flatten
10:00,864,3.293666627121027,3.6401236547548566,2.3573008031528873,0.08258335007036018
10:30,865,4.181141322605327,4.331435049302361,2.522654765840129,0.097091742087998
11:00,865,4.070708515099391,4.375641672884891,2.5838172568332514,0.10271313902396843
11:30,865,3.8290553772308287,4.209604719699319,2.551902871628939,0.09952897999495738
12:00,866,3.0604036120661307,3.7503819174567044,2.405612198374167,0.09312016091327871
12:30,866,3.232842568417617,4.115302348312985,2.527144579432058,0.10512596626087453
13:00,866,2.618170633496507,3.6659459978326128,2.4041006524222133,0.09632505002152378
13:30,866,2.496391725733699,3.754244165121865,2.4715411345526355,0.10623175720787421
14:00,866,2.0352389622558578,3.3496633270020966,2.4008639384330235,0.10502023434827562
14:30,866,1.966034898448401,2.986891616692213,2.333976103184686,0.10564434297407216
15:00,866,1.9229592356068046,2.902536438565925,2.238079127119997,0.11171120286578767
