,r_causal_hold,r_causal_exit,r_causal_mark,r_15_sign,r_causal_exit_plus_15,pick
2020-01-03,,,,-0.9412147674316763,,
2020-01-06,,,,-0.22422466435698662,,
2020-01-08,,,,6.83603367783646,,
2020-01-10,,,,-1.0,,
2020-01-13,,,,-1.5550063278235937,,
2020-01-15,,,,0.6343005952380953,,
2020-01-17,,,,-0.9871471366647055,,
2020-01-21,,,,-1.0,,
2020-01-22,,,,-1.0,,
2020-01-24,,,,1.0,,
2020-01-27,,,,-0.35534408588445965,,
2020-01-29,,,,0.5714518050755568,,
2020-01-31,,,,0.9337554739273112,,
2020-02-03,,,,1.191019162968637,,
2020-02-05,,,,-1.0,,
2020-02-07,,,,1.0,,
2020-02-10,,,,0.1297772054156907,,
2020-02-12,,,,-1.0,,
2020-02-14,,,,-1.2193170476693855,,
2020-02-18,,,,-1.0,,
2020-02-19,,,,-1.0,,
2020-02-21,,,,0.44444444979615216,,
2020-02-24,,,,-0.763763427734375,,
2020-02-26,,,,0.6874365855602438,,
2020-02-28,,,,-1.3480793348228088,,
2020-03-02,,,,2.7699645739281746,,
2020-03-04,,,,-0.2096093750000001,,
2020-03-06,,,,-1.2611034148254476,,
2020-03-09,,,,0.0176185978022666,,
2020-03-11,,,,0.621301733083313,,
2020-03-13,,,,,,
2020-03-16,,,,,,
2020-03-18,,,,,,
2020-03-20,,,,,,
2020-03-23,,,,,,
2020-03-25,,,,-1.382252942248356,,
2020-03-27,,,,-1.3529640480324074,,
2020-03-30,,,,-0.18780962287646086,,
2020-03-31,,,,-0.7727679240610852,,
2020-04-01,,,,-0.33544303596907943,,
2020-04-03,,,,-0.7814429709319494,,
2020-04-06,,,,1.0326121829521462,,
2020-04-08,,,,-1.0,,
2020-04-09,,,,-1.0,,
2020-04-13,,,,-0.8570278216708479,,
2020-04-15,,,,-0.8535810173167675,,
2020-04-17,,,,0.8717759334446669,,
2020-04-20,,,,-0.43470348679680293,,
2020-04-22,,,,-0.36425235176288095,,
2020-04-24,,,,-1.0,,
2020-04-27,,,,-0.721097336155801,,
2020-04-29,,,,0.5148000181989978,,
2020-04-30,,,,-1.0,,
2020-05-01,,,,-1.0,,
2020-05-04,,,,-0.5910462365858858,,
2020-05-06,,,,1.5216848676436037,,
2020-05-08,,,,0.2808915561925449,,
2020-05-11,,,,0.09944194930700645,,
2020-05-13,,,,0.6393442238508078,,
2020-05-15,,,,0.543215899328725,,
2020-05-18,,,,0.1383341800906539,,
2020-05-20,,,,-1.0,,
2020-05-22,,,,-0.023465022550032577,,
2020-05-26,-0.14115002392874218,0.3725418552710755,0.3725418552710755,2.041374845406446,2.4139167006775213,10:30
2020-05-27,0.015510811255313688,0.015510811255313688,0.02033354142345418,-1.3555307420824914,-1.3400199308271776,10:00
2020-05-29,0.2270663858825895,0.23833819682186375,0.23833819682186375,-0.45094794317048603,-0.21260974634862229,10:00
2020-06-01,0.4424871706945124,0.4424871706945124,0.4173332804676576,1.0,1.4424871706945124,10:00
2020-06-03,0.2533388692665909,0.2533388692665909,0.24182291005518786,0.5017818093599506,0.7551206786265415,10:00
2020-06-05,-0.038497438515507826,-0.038497438515507826,-0.06584963260077968,0.09062647275932034,0.052129034243812516,10:00
2020-06-08,0.09651372171865076,0.09651372171865076,0.2495069682310626,-1.8647150548612865,-1.7682013331426358,10:00
2020-06-10,-0.39369089202168017,-0.39369089202168017,-0.12432407230735293,-0.8914388020833333,-1.2851296941050134,10:00
2020-06-12,-0.5595264902356688,-0.5595264902356688,-0.5752156411382167,-0.634165115526758,-1.1936916057624267,10:00
2020-06-15,0.26599883350582826,0.26601584878326534,0.26601584878326534,-0.33095552142713835,-0.06493967264387301,10:00
2020-06-17,0.488851762900149,0.488851762900149,0.3431921264411844,0.8293774303709327,1.3182291932710817,10:00
2020-06-19,-0.30940639189752134,-0.30940639189752134,-0.2989742405014479,0.2437489846255656,-0.06565740727195574,10:00
2020-06-22,0.07026685461110746,0.07026685461110746,0.1218643580919404,0.04145030604441258,0.11171716065552004,10:00
2020-06-24,-0.16372251467847518,-0.16372251467847518,-0.16168926149829105,0.5353311545117276,0.37160863983325243,10:00
2020-06-26,-0.1917503868673957,-0.1917503868673957,-0.1918474047517912,0.9163038625636853,0.7245534756962897,10:00
2020-06-29,0.2301025389422523,0.2301025389422523,0.2557682857654992,-1.1099586111044357,-0.8798560721621834,10:00
2020-06-30,0.09962571854781015,0.09962571854781015,0.11165468997873602,-0.2782657296214235,-0.17864001107361333,10:00
2020-07-01,0.24686771392596668,0.24686771392596668,0.19275149002884454,0.2923260506951466,0.5391937646211133,10:00
2020-07-02,0.18424639726342437,0.18424639726342437,0.3907059035251277,-0.7603507538617142,-0.5761043565982898,10:30
2020-07-06,0.22081902891461727,0.22081902891461727,0.3054732222940858,0.10095796130952384,0.3217769902241411,10:30
2020-07-08,-0.12449483494573274,-0.12449483494573274,-0.22222230495354114,1.0,0.8755051650542672,10:30
2020-07-10,0.2972133739692601,0.2972133739692601,0.29722553388185363,0.9921874998182785,1.2894008737875386,10:00
2020-07-13,-2.461861149872944,-2.375149204853284,-2.375149204853284,1.619871405230092,-0.7552777996231921,10:00
2020-07-15,0.2687387677936949,-0.005802808759395002,-0.005802808759395002,-0.7919921841938048,-0.7977949929531998,10:30
2020-07-17,0.3806519725071406,0.3806519725071406,0.3766703818106057,-0.1036690035140777,0.2769829689930629,10:30
2020-07-20,0.39476778472082685,0.39476778472082685,0.3912297131127022,1.0,1.3947677847208269,10:30
2020-07-22,0.16953789068465666,0.28534508836287986,0.28534508836287986,0.46829748079945355,0.7536425691623334,10:30
2020-07-24,0.4597204586106085,0.4597204586106085,0.2567236160076553,0.268846381195301,0.7285668398059095,10:30
