sample,clock,h_rem,n_cells_with_r,n_cells_without_r,r_p10,r_median,r_p90,r_mean,share_r_above_1,share_r_below_clip_lo,share_r_above_clip_hi,rbar_median
whole,11:00,5.0,802,63,0.715324662767937,0.9661664900450917,1.2792011630443714,0.9869342038835324,0.4239401496259352,0.007481296758104738,0.0,0.9880127493247014
whole,11:30,4.5,801,64,0.6877980038832888,0.9376653467358977,1.2839072325585486,0.9580712156080438,0.3782771535580524,0.0149812734082397,0.0,0.9534451186044356
whole,12:00,4.0,802,63,0.641229437431297,0.9556331777238475,1.433701104075373,0.9974621882740536,0.43640897755610975,0.02369077306733167,0.0,0.960291597300311
whole,12:30,3.5,802,63,0.6656564906514291,0.9500563871906608,1.3219210943486668,0.9748650785454303,0.42019950124688277,0.0199501246882793,0.0,0.9217655576692249
whole,13:00,3.0,802,63,0.6831853279784936,0.9991888509710289,1.5452987537844076,1.0701032676544497,0.5,0.0199501246882793,0.003740648379052369,0.9360449867743386
whole,13:30,2.5,802,63,0.617416893281534,0.8777817715948423,1.2819067300840272,0.9130814367836877,0.3054862842892768,0.022443890274314215,0.0,0.8224011624009183
whole,14:00,2.0,800,65,0.905826674611013,1.0006738428183866,1.041440008616425,0.9920711692533297,0.52125,0.0,0.0,0.975500368185332
whole,14:30,1.5,801,64,0.7625659572762917,0.9533757438584639,1.2069907092665295,0.9782733123778821,0.4019975031210986,0.0,0.0,0.9326840602242424
whole,15:00,1.0,798,67,0.6691297133356697,0.8654539602957647,1.0842541835829056,0.8727521364290761,0.22431077694235588,0.0,0.0,0.8184483965609499
whole,15:30,0.5,797,68,0.8993944658548493,0.979566578976433,1.0873186837490276,0.9891733994419978,0.38143036386449186,0.0,0.0,0.9771567266335619
daily_era,11:00,5.0,489,0,0.6830588368989988,0.9537739363378469,1.3536655787006229,0.9893564794006855,0.4130879345603272,0.012269938650306749,0.0,0.9861533564812348
daily_era,11:30,4.5,489,0,0.6728137190942145,0.9418193834098083,1.3166719717507946,0.9600504208175289,0.4069529652351738,0.024539877300613498,0.0,0.9559047797076048
daily_era,12:00,4.0,489,0,0.6495672074649665,0.989928551303264,1.4748199718585402,1.0312558264461087,0.48466257668711654,0.032719836400818,0.0,0.9750153671623335
daily_era,12:30,3.5,489,0,0.6877995733813107,0.9765572291876096,1.381521162945742,1.0069098986072085,0.4703476482617587,0.03067484662576687,0.0,0.9323138574555196
daily_era,13:00,3.0,489,0,0.7032300447358227,1.1033381219260066,1.6741423760182446,1.1672807951084534,0.6298568507157464,0.03067484662576687,0.006134969325153374,0.9657690308796482
daily_era,13:30,2.5,489,0,0.6455317891076483,0.9372377916025785,1.3871315483482414,0.9751292861755236,0.3967280163599182,0.026584867075664622,0.0,0.8569309360362262
daily_era,14:00,2.0,489,0,0.9826027515957384,1.0049770820575308,1.0381464864816115,1.007877061213129,0.6359918200408998,0.0,0.0,0.9822878138430174
daily_era,14:30,1.5,489,0,0.8399156790912685,1.0134432187580942,1.273003559867903,1.040325781521943,0.5439672801635992,0.0,0.0,0.9539358531904517
daily_era,15:00,1.0,489,0,0.717287523231345,0.9084524872738223,1.1303851076442166,0.9192691902280034,0.3047034764826176,0.0,0.0,0.8304193635399135
daily_era,15:30,0.5,489,0,0.8904068055291366,0.9885531839548366,1.1204332526622751,0.9995876062605059,0.44785276073619634,0.0,0.0,0.973082290250273
