variant,family,lam,reference,book,sample,B,block,seed,ci_pct_lo,ci_pct_hi,n,dSharpe,boot_lo,boot_hi,pct_draws_positive,ci_excludes_zero,verdict
V11_shrunk_0.50,V11 shrunk richness,0.5,V9_implied_bc,hold,whole,2000,21,0,2.5,97.5,865,0.015755481663070628,-0.039584692910479155,0.072415630490693,69.65,False,
V11_shrunk_0.50,V11 shrunk richness,0.5,V9_implied_bc,hold,daily_era,2000,21,0,2.5,97.5,489,0.028930772852857018,-0.047102172739377564,0.10374161530546552,77.14999999999999,False,
V11_shrunk_0.75,V11 shrunk richness,0.75,V0_implied,exit_crossed,whole,2000,21,0,2.5,97.5,865,0.17731489445233034,0.046183726443438225,0.32277054091114704,99.75,True,
V11_shrunk_0.75,V11 shrunk richness,0.75,V0_implied,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,0.24418893654578702,0.052345464733233565,0.45892169296774993,99.45,True,
V11_shrunk_0.75,V11 shrunk richness,0.75,V0_implied,exit_mid,whole,2000,21,0,2.5,97.5,865,0.19868139418313013,0.050131707248254,0.3697651068386521,99.65,True,
V11_shrunk_0.75,V11 shrunk richness,0.75,V0_implied,exit_mid,daily_era,2000,21,0,2.5,97.5,489,0.2566393920228186,0.03815104903912903,0.48620880882696393,99.15,True,
V11_shrunk_0.75,V11 shrunk richness,0.75,V0_implied,hold,whole,2000,21,0,2.5,97.5,865,0.15441046203681696,0.02961310000424394,0.30143056463844403,99.15,True,
V11_shrunk_0.75,V11 shrunk richness,0.75,V0_implied,hold,daily_era,2000,21,0,2.5,97.5,489,0.1460112841892379,-0.0222355709755709,0.3468889102125851,95.6,False,
V11_shrunk_0.75,V11 shrunk richness,0.75,V9_implied_bc,exit_crossed,whole,2000,21,0,2.5,97.5,865,0.04635796997818094,-0.04724114424605305,0.14519032046075847,82.25,False,
V11_shrunk_0.75,V11 shrunk richness,0.75,V9_implied_bc,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,0.0686369902676183,-0.0693518731661132,0.21135787186255278,82.95,False,no evidence
V11_shrunk_0.75,V11 shrunk richness,0.75,V9_implied_bc,exit_mid,whole,2000,21,0,2.5,97.5,865,0.03671353356386257,-0.07481334007590046,0.14956450191794782,73.8,False,
V11_shrunk_0.75,V11 shrunk richness,0.75,V9_implied_bc,exit_mid,daily_era,2000,21,0,2.5,97.5,489,0.05925241556912815,-0.09475526290090154,0.21002396096362627,77.75,False,
V11_shrunk_0.75,V11 shrunk richness,0.75,V9_implied_bc,hold,whole,2000,21,0,2.5,97.5,865,0.02403537550296893,-0.0605550455303363,0.10943154708023937,70.19999999999999,False,
V11_shrunk_0.75,V11 shrunk richness,0.75,V9_implied_bc,hold,daily_era,2000,21,0,2.5,97.5,489,0.04599404600073549,-0.06782301363795194,0.16208427670100758,78.2,False,
V11_shrunk_1.00,V11 shrunk richness,1.0,V0_implied,exit_crossed,whole,2000,21,0,2.5,97.5,865,0.19509088767136185,0.03244476257694727,0.37448119332699176,99.1,True,
