variant,family,lam,reference,book,sample,n,mean_diff,sd_diff,t_diff,hac_t_diff,hac_lag,frac_days_improved,frac_days_unchanged
V9_implied_bc,V9 bias-corrected implied,,V0_implied,exit_crossed,whole,865,0.0018886202927472482,0.02371722414947445,2.3420105516690617,2.7390318414673698,14,0.4485549132947977,0.07283236994219654
V9_implied_bc,V9 bias-corrected implied,,V0_implied,exit_crossed,daily_era,489,0.0027396452173292793,0.02612845886238031,2.318648738888518,2.540921506042825,11,0.5071574642126789,0.0
V9_implied_bc,V9 bias-corrected implied,,V0_implied,exit_mid,whole,865,0.0018886202927472467,0.023717224149474445,2.3420105516690604,2.739031841467368,14,0.4485549132947977,0.07283236994219654
V9_implied_bc,V9 bias-corrected implied,,V0_implied,exit_mid,daily_era,489,0.002739645217329279,0.02612845886238031,2.3186487388885175,2.5409215060428245,11,0.5071574642126789,0.0
V9_implied_bc,V9 bias-corrected implied,,V0_implied,hold,whole,865,0.0020708044087299126,0.02905826854075968,2.0959330294669583,2.5832296316410712,14,0.4936416184971098,0.07283236994219654
V9_implied_bc,V9 bias-corrected implied,,V0_implied,hold,daily_era,489,0.001975406997180285,0.03085840139510538,1.415590350090064,1.6657472354680756,11,0.5337423312883436,0.0
V11_shrunk_0.25,V11 shrunk richness,0.25,V0_implied,exit_crossed,whole,865,0.00224781149270126,0.02649153693575093,2.495518455347051,2.8150714883051577,14,0.46705202312138727,0.07283236994219654
V11_shrunk_0.25,V11 shrunk richness,0.25,V0_implied,exit_crossed,daily_era,489,0.0033083863678042775,0.02835680949151553,2.5799618655985452,2.7307672422476847,11,0.5378323108384458,0.0
V11_shrunk_0.25,V11 shrunk richness,0.25,V0_implied,exit_mid,whole,865,0.00224781149270126,0.02649153693575093,2.495518455347051,2.8150714883051577,14,0.46705202312138727,0.07283236994219654
V11_shrunk_0.25,V11 shrunk richness,0.25,V0_implied,exit_mid,daily_era,489,0.003308386367804279,0.02835680949151553,2.579961865598546,2.7307672422476865,11,0.5378323108384458,0.0
V11_shrunk_0.25,V11 shrunk richness,0.25,V0_implied,hold,whole,865,0.0024110100231018953,0.03172096192859201,2.2354281773966336,2.7832102524022964,14,0.5052023121387283,0.07283236994219654
V11_shrunk_0.25,V11 shrunk richness,0.25,V0_implied,hold,daily_era,489,0.002545241335117796,0.032986438856290774,1.7062708235331723,1.9601749928664198,11,0.5501022494887525,0.0
V11_shrunk_0.25,V11 shrunk richness,0.25,V9_implied_bc,exit_crossed,whole,865,0.0003591911999540116,0.010123296131090729,1.0435464874785634,1.169295437083042,14,0.46705202312138727,0.07283236994219654
V11_shrunk_0.25,V11 shrunk richness,0.25,V9_implied_bc,exit_crossed,daily_era,489,0.0005687411504749986,0.011263181797137301,1.1166266472757176,1.2916119453279282,11,0.50920245398773,0.0
V11_shrunk_0.25,V11 shrunk richness,0.25,V9_implied_bc,exit_mid,whole,865,0.0003591911999540127,0.01012329613109073,1.0435464874785665,1.1692954370830455,14,0.46705202312138727,0.07283236994219654
V11_shrunk_0.25,V11 shrunk richness,0.25,V9_implied_bc,exit_mid,daily_era,489,0.0005687411504750003,0.011263181797137305,1.1166266472757207,1.2916119453279322,11,0.50920245398773,0.0
V11_shrunk_0.25,V11 shrunk richness,0.25,V9_implied_bc,hold,whole,865,0.0003402056143719828,0.010282233372258039,0.9731103091471928,1.1149115014167261,14,0.4658959537572254,0.07283236994219654
