variant,family,lam,reference,book,sample,n,mean_diff,sd_diff,t_diff,hac_t_diff,hac_lag,frac_days_improved,frac_days_unchanged
V11_shrunk_0.25,V11 shrunk richness,0.25,V9_implied_bc,hold,daily_era,489,0.0005698343379375116,0.011392153226048184,1.106107222102743,1.3045117133885302,11,0.5132924335378323,0.0
V11_shrunk_0.50,V11 shrunk richness,0.5,V0_implied,exit_crossed,whole,865,0.0026244119392923133,0.03245589168270098,2.3781898064006937,2.621597775119622,14,0.461271676300578,0.07283236994219654
V11_shrunk_0.50,V11 shrunk richness,0.5,V0_implied,exit_crossed,daily_era,489,0.00390790095903278,0.03425396287028756,2.522825171106756,2.6452959615349445,11,0.5255623721881391,0.0
V11_shrunk_0.50,V11 shrunk richness,0.5,V0_implied,exit_mid,whole,865,0.0026244119392923133,0.03245589168270099,2.378189806400693,2.6215977751196218,14,0.461271676300578,0.07283236994219654
V11_shrunk_0.50,V11 shrunk richness,0.5,V0_implied,exit_mid,daily_era,489,0.003907900959032781,0.03425396287028756,2.522825171106757,2.6452959615349454,11,0.5255623721881391,0.0
V11_shrunk_0.50,V11 shrunk richness,0.5,V0_implied,hold,whole,865,0.0027684126456503566,0.03723440673903385,2.1867263566098143,2.692497236430144,14,0.4890173410404624,0.07283236994219654
V11_shrunk_0.50,V11 shrunk richness,0.5,V0_implied,hold,daily_era,489,0.0031455807616023934,0.038391982286764076,1.8118186802762906,2.041560575467261,11,0.5276073619631901,0.0
V11_shrunk_0.50,V11 shrunk richness,0.5,V9_implied_bc,exit_crossed,whole,865,0.0007357916465450647,0.019876661527733087,1.0887281806797018,1.2070046968364816,14,0.46705202312138727,0.07283236994219654
V11_shrunk_0.50,V11 shrunk richness,0.5,V9_implied_bc,exit_crossed,daily_era,489,0.0011682557417035005,0.021874751861042183,1.1809981531707414,1.34581483255163,11,0.5112474437627812,0.0
V11_shrunk_0.50,V11 shrunk richness,0.5,V9_implied_bc,exit_mid,whole,865,0.0007357916465450666,0.019876661527733087,1.0887281806797044,1.207004696836484,14,0.46705202312138727,0.07283236994219654
V11_shrunk_0.50,V11 shrunk richness,0.5,V9_implied_bc,exit_mid,daily_era,489,0.0011682557417035022,0.021874751861042183,1.1809981531707432,1.345814832551632,11,0.5112474437627812,0.0
V11_shrunk_0.50,V11 shrunk richness,0.5,V9_implied_bc,hold,whole,865,0.000697608236920444,0.020197281260911585,1.015843345954897,1.151573525442203,14,0.4601156069364162,0.07283236994219654
V11_shrunk_0.50,V11 shrunk richness,0.5,V9_implied_bc,hold,daily_era,489,0.0011701737644221083,0.022129556563197133,1.1693164918140688,1.3559761650881703,11,0.5071574642126789,0.0
V11_shrunk_0.75,V11 shrunk richness,0.75,V0_implied,exit_crossed,whole,865,0.003025772166772066,0.04036981585431309,2.204385313642228,2.4004780365938467,14,0.46936416184971097,0.07283236994219654
V11_shrunk_0.75,V11 shrunk richness,0.75,V0_implied,exit_crossed,daily_era,489,0.004569970983487848,0.04237852007411596,2.3846359434447195,2.5011402239639944,11,0.5357873210633947,0.0
V11_shrunk_0.75,V11 shrunk richness,0.75,V0_implied,exit_mid,whole,865,0.003025772166772065,0.04036981585431309,2.204385313642227,2.400478036593845,14,0.46936416184971097,0.07283236994219654
V11_shrunk_0.75,V11 shrunk richness,0.75,V0_implied,exit_mid,daily_era,489,0.004569970983487847,0.04237852007411596,2.384635943444719,2.5011402239639935,11,0.5357873210633947,0.0
V11_shrunk_0.75,V11 shrunk richness,0.75,V0_implied,hold,whole,865,0.00315008772617381,0.04470352850036188,2.0724730817053585,2.5032361501640077,14,0.4867052023121387,0.07283236994219654
V11_shrunk_0.75,V11 shrunk richness,0.75,V0_implied,hold,daily_era,489,0.003807995489051077,0.04601297670145654,1.8300818967174548,2.0312399412087907,11,0.5398773006134969,0.0
V11_shrunk_0.75,V11 shrunk richness,0.75,V9_implied_bc,exit_crossed,whole,865,0.0011371518740248175,0.02983457318594999,1.121002796348687,1.2337833298814513,14,0.4705202312138728,0.07283236994219654
V11_shrunk_0.75,V11 shrunk richness,0.75,V9_implied_bc,exit_crossed,daily_era,489,0.0018303257661585691,0.03256809151817647,1.2427692910953263,1.4010760688627828,11,0.5173824130879345,0.0
V11_shrunk_0.75,V11 shrunk richness,0.75,V9_implied_bc,exit_mid,whole,865,0.0011371518740248179,0.02983457318594999,1.1210027963486875,1.2337833298814513,14,0.4705202312138728,0.07283236994219654
V11_shrunk_0.75,V11 shrunk richness,0.75,V9_implied_bc,exit_mid,daily_era,489,0.001830325766158569,0.032568091518176474,1.2427692910953259,1.4010760688627826,11,0.5173824130879345,0.0
V11_shrunk_0.75,V11 shrunk richness,0.75,V9_implied_bc,hold,whole,865,0.0010792833174438977,0.03031453897591476,1.0471105856424003,1.177380192224331,14,0.4647398843930636,0.07283236994219654
V11_shrunk_0.75,V11 shrunk richness,0.75,V9_implied_bc,hold,daily_era,489,0.0018325884918707922,0.03294008925775947,1.2302535103712444,1.4072916332031324,11,0.5132924335378323,0.0
V11_shrunk_1.00,V11 shrunk richness,1.0,V0_implied,exit_crossed,whole,865,0.0034664707419366503,0.05019104447830311,2.0312779736871747,2.202187374595074,14,0.4682080924855491,0.07283236994219654
V11_shrunk_1.00,V11 shrunk richness,1.0,V0_implied,exit_crossed,daily_era,489,0.005348496381385227,0.05283366027256809,2.238594521497813,2.364205770479841,11,0.5276073619631901,0.0
V11_shrunk_1.00,V11 shrunk richness,1.0,V0_implied,exit_mid,whole,865,0.0034664707419366503,0.05019104447830311,2.0312779736871747,2.202187374595074,14,0.4682080924855491,0.07283236994219654
V11_shrunk_1.00,V11 shrunk richness,1.0,V0_implied,exit_mid,daily_era,489,0.005348496381385227,0.05283366027256809,2.238594521497813,2.364205770479841,11,0.5276073619631901,0.0
V11_shrunk_1.00,V11 shrunk richness,1.0,V0_implied,hold,whole,865,0.0035703404551497425,0.054152350358566706,1.939100747129213,2.2981211956804044,14,0.4797687861271676,0.07283236994219654
V11_shrunk_1.00,V11 shrunk richness,1.0,V0_implied,hold,daily_era,489,0.004586184221642055,0.05603100568762118,1.8099955528743361,1.9903956509145428,11,0.5296523517382413,0.0
V11_shrunk_1.00,V11 shrunk richness,1.0,V9_implied_bc,exit_crossed,whole,865,0.0015778504491894016,0.040919757577373206,1.134072552189834,1.2446343383278826,14,0.4658959537572254,0.07283236994219654
V11_shrunk_1.00,V11 shrunk richness,1.0,V9_implied_bc,exit_crossed,daily_era,489,0.002608851164055948,0.044636652232525595,1.292445140060289,1.4506748837938788,11,0.50920245398773,0.0
V11_shrunk_1.00,V11 shrunk richness,1.0,V9_implied_bc,exit_mid,whole,865,0.001577850449189403,0.040919757577373206,1.1340725521898352,1.2446343383278835,14,0.4658959537572254,0.07283236994219654
V11_shrunk_1.00,V11 shrunk richness,1.0,V9_implied_bc,exit_mid,daily_era,489,0.0026088511640559474,0.044636652232525595,1.2924451400602888,1.4506748837938788,11,0.50920245398773,0.0
V11_shrunk_1.00,V11 shrunk richness,1.0,V9_implied_bc,hold,whole,865,0.0014995360464198294,0.041551427159608474,1.061399842079848,1.187206770256087,14,0.4624277456647399,0.07283236994219654
V11_shrunk_1.00,V11 shrunk richness,1.0,V9_implied_bc,hold,daily_era,489,0.0026107772244617694,0.04511132357564759,1.2797898910401284,1.4510668857525721,11,0.50920245398773,0.0
V12_power_0.50,V12 bounded power,0.5,V0_implied,exit_crossed,whole,865,0.002632865234728124,0.03321291165167995,2.331469473287602,2.543142397314226,14,0.461271676300578,0.07283236994219654
V12_power_0.50,V12 bounded power,0.5,V0_implied,exit_crossed,daily_era,489,0.003949331363585318,0.03468805358755564,2.5176657526449384,2.594778705972271,11,0.5255623721881391,0.0
V12_power_0.50,V12 bounded power,0.5,V0_implied,exit_mid,whole,865,0.0026328652347281226,0.03321291165167995,2.3314694732876005,2.5431423973142246,14,0.461271676300578,0.07283236994219654
V12_power_0.50,V12 bounded power,0.5,V0_implied,exit_mid,daily_era,489,0.003949331363585316,0.03468805358755564,2.5176657526449375,2.5947787059722702,11,0.5255623721881391,0.0
V12_power_0.50,V12 bounded power,0.5,V0_implied,hold,whole,865,0.0027770610662559846,0.0379092666803865,2.1545079454699465,2.625060369671548,14,0.4820809248554913,0.07283236994219654
V12_power_0.50,V12 bounded power,0.5,V0_implied,hold,daily_era,489,0.003184197483543924,0.03876563341309794,1.8163834652477,2.005335656550826,11,0.5173824130879345,0.0
V12_power_0.50,V12 bounded power,0.5,V9_implied_bc,exit_crossed,whole,865,0.0007442449419808755,0.019999060121808163,1.0944964556935106,1.193107293267351,14,0.46705202312138727,0.07283236994219654
V12_power_0.50,V12 bounded power,0.5,V9_implied_bc,exit_crossed,daily_era,489,0.001209686146256038,0.021444213976228865,1.247432355534014,1.3844813306725685,11,0.5132924335378323,0.0
V12_power_0.50,V12 bounded power,0.5,V9_implied_bc,exit_mid,whole,865,0.0007442449419808758,0.019999060121808167,1.0944964556935108,1.1931072932673514,14,0.46705202312138727,0.07283236994219654
V12_power_0.50,V12 bounded power,0.5,V9_implied_bc,exit_mid,daily_era,489,0.0012096861462560368,0.02144421397622887,1.2474323555340125,1.3844813306725672,11,0.5132924335378323,0.0
V12_power_0.50,V12 bounded power,0.5,V9_implied_bc,hold,whole,865,0.0007062566575260716,0.020320532676559165,1.022199161151625,1.1389392711240123,14,0.4635838150289017,0.07283236994219654
V12_power_0.50,V12 bounded power,0.5,V9_implied_bc,hold,daily_era,489,0.0012087904863636392,0.02168205451735596,1.232835213835058,1.3866261872589556,11,0.50920245398773,0.0
V12_power_1.00,V12 bounded power,1.0,V0_implied,exit_crossed,whole,865,0.0034101289480513207,0.04943985065657646,2.0286246807466815,2.1858184620198036,14,0.46705202312138727,0.07283236994219654
V12_power_1.00,V12 bounded power,1.0,V0_implied,exit_crossed,daily_era,489,0.005215552672867126,0.051600949865959846,2.235100569385431,2.331672951299632,11,0.5255623721881391,0.0
V12_power_1.00,V12 bounded power,1.0,V0_implied,exit_mid,whole,865,0.0034101289480513203,0.04943985065657646,2.028624680746681,2.1858184620198027,14,0.46705202312138727,0.07283236994219654
V12_power_1.00,V12 bounded power,1.0,V0_implied,exit_mid,daily_era,489,0.005215552672867126,0.051600949865959846,2.235100569385431,2.3316729512996317,11,0.5255623721881391,0.0
V12_power_1.00,V12 bounded power,1.0,V0_implied,hold,whole,865,0.0035139986612644125,0.05343089943642679,1.9342702866399994,2.2869212451223215,14,0.4797687861271676,0.07283236994219654
V12_power_1.00,V12 bounded power,1.0,V0_implied,hold,daily_era,489,0.004453240513123953,0.0548482311575762,1.7954278383954188,1.957850510338408,11,0.5296523517382413,0.0
V12_power_1.00,V12 bounded power,1.0,V9_implied_bc,exit_crossed,whole,865,0.0015215086553040718,0.0399976581424957,1.1187883020693123,1.2200320359923496,14,0.4682080924855491,0.07283236994219654
V12_power_1.00,V12 bounded power,1.0,V9_implied_bc,exit_crossed,daily_era,489,0.0024759074555378473,0.04316244649847441,1.268477546512858,1.407872101210833,11,0.5132924335378323,0.0
V12_power_1.00,V12 bounded power,1.0,V9_implied_bc,exit_mid,whole,865,0.0015215086553040733,0.03999765814249571,1.118788302069313,1.2200320359923504,14,0.4682080924855491,0.07283236994219654
V12_power_1.00,V12 bounded power,1.0,V9_implied_bc,exit_mid,daily_era,489,0.0024759074555378473,0.04316244649847441,1.268477546512858,1.407872101210833,11,0.5132924335378323,0.0
V12_power_1.00,V12 bounded power,1.0,V9_implied_bc,hold,whole,865,0.0014431942525344992,0.040622860829767744,1.0448701910114595,1.1635219953675822,14,0.4658959537572254,0.07283236994219654
V12_power_1.00,V12 bounded power,1.0,V9_implied_bc,hold,daily_era,489,0.002477833515943668,0.04363442244217594,1.255733038418325,1.4108428492871907,11,0.5132924335378323,0.0
V13_raw_implied_x_r,V13 raw implied x richness,1.0,V0_implied,exit_crossed,whole,865,0.0017889944415704023,0.04062265705318901,1.2952354386499616,1.4170784277776827,14,0.4647398843930636,0.07283236994219654
V13_raw_implied_x_r,V13 raw implied x richness,1.0,V0_implied,exit_crossed,daily_era,489,0.0029489886095704436,0.044207320028823924,1.4751403314137752,1.6425727897166174,11,0.5071574642126789,0.0
V13_raw_implied_x_r,V13 raw implied x richness,1.0,V0_implied,exit_mid,whole,865,0.0017889944415703997,0.04062265705318901,1.2952354386499596,1.4170784277776802,14,0.4647398843930636,0.07283236994219654
V13_raw_implied_x_r,V13 raw implied x richness,1.0,V0_implied,exit_mid,daily_era,489,0.0029489886095704423,0.044207320028823924,1.4751403314137745,1.6425727897166165,11,0.5071574642126789,0.0
V13_raw_implied_x_r,V13 raw implied x richness,1.0,V0_implied,hold,whole,865,0.0017356768508236618,0.04135837670401064,1.234279285298328,1.379821075810328,14,0.4635838150289017,0.07283236994219654
V13_raw_implied_x_r,V13 raw implied x richness,1.0,V0_implied,hold,daily_era,489,0.002951473517775473,0.044749604811429394,1.458492217398836,1.6452294301259642,11,0.50920245398773,0.0
V13_raw_implied_x_r,V13 raw implied x richness,1.0,V9_implied_bc,exit_crossed,whole,865,-9.962585117684652e-05,0.04379357871921517,-0.0669067080756663,-0.0770336359094153,14,0.48786127167630056,0.07283236994219654
V13_raw_implied_x_r,V13 raw implied x richness,1.0,V9_implied_bc,exit_crossed,daily_era,489,0.00020934339224116443,0.0500842411824935,0.09242992243823088,0.10877817418942494,11,0.5316973415132924,0.0
V13_raw_implied_x_r,V13 raw implied x richness,1.0,V9_implied_bc,exit_mid,whole,865,-9.962585117684732e-05,0.04379357871921518,-0.06690670807566683,-0.07703363590941589,14,0.48786127167630056,0.07283236994219654
V13_raw_implied_x_r,V13 raw implied x richness,1.0,V9_implied_bc,exit_mid,daily_era,489,0.00020934339224116342,0.0500842411824935,0.09242992243823045,0.10877817418942441,11,0.5316973415132924,0.0
V13_raw_implied_x_r,V13 raw implied x richness,1.0,V9_implied_bc,hold,whole,865,-0.0003351275579062507,0.04666470034507401,-0.21121741062276062,-0.23436517504156085,14,0.4728323699421965,0.07283236994219654
V13_raw_implied_x_r,V13 raw implied x richness,1.0,V9_implied_bc,hold,daily_era,489,0.0009760665205951883,0.05285642011792826,0.40835332901603894,0.488587778610644,11,0.5194274028629857,0.0
V14_smoothed_r,V14 smoothed richness,1.0,V0_implied,exit_crossed,whole,865,0.0030588430698738605,0.039304506109731796,2.2888793812221118,2.594701813652561,14,0.4624277456647399,0.07283236994219654
V14_smoothed_r,V14 smoothed richness,1.0,V0_implied,exit_crossed,daily_era,489,0.004520741964401854,0.04053115713064104,2.4664660725969805,2.558299023852568,11,0.5296523517382413,0.0
V14_smoothed_r,V14 smoothed richness,1.0,V0_implied,exit_mid,whole,865,0.0030588430698738605,0.039304506109731796,2.2888793812221118,2.594701813652561,14,0.4624277456647399,0.07283236994219654
V14_smoothed_r,V14 smoothed richness,1.0,V0_implied,exit_mid,daily_era,489,0.004520741964401856,0.040531157130641045,2.4664660725969814,2.5582990238525682,11,0.5296523517382413,0.0
V14_smoothed_r,V14 smoothed richness,1.0,V0_implied,hold,whole,865,0.003252219098303475,0.04366914023614403,2.190348441162543,2.6853217735655046,14,0.4936416184971098,0.07283236994219654
V14_smoothed_r,V14 smoothed richness,1.0,V0_implied,hold,daily_era,489,0.0036747623577462916,0.044729866527569655,1.816712006260165,2.010578551138783,11,0.5521472392638037,0.0
V14_smoothed_r,V14 smoothed richness,1.0,V9_implied_bc,exit_crossed,whole,865,0.0011702227771266118,0.017949266633340347,1.9174758006761603,2.0812947947726923,14,0.4369942196531792,0.14566473988439307
V14_smoothed_r,V14 smoothed richness,1.0,V9_implied_bc,exit_crossed,daily_era,489,0.0017810967470725753,0.01651251368411797,2.3852216875585,2.2651612754558466,11,0.5480572597137015,0.0
V14_smoothed_r,V14 smoothed richness,1.0,V9_implied_bc,exit_mid,whole,865,0.0011702227771266131,0.017949266633340347,1.9174758006761627,2.081294794772695,14,0.4369942196531792,0.14566473988439307
V14_smoothed_r,V14 smoothed richness,1.0,V9_implied_bc,exit_mid,daily_era,489,0.0017810967470725772,0.01651251368411797,2.385221687558502,2.2651612754558488,11,0.5480572597137015,0.0
V14_smoothed_r,V14 smoothed richness,1.0,V9_implied_bc,hold,whole,865,0.0011814146895735619,0.018079192272452676,1.9219026992921018,2.1415383321493913,14,0.43815028901734104,0.14566473988439307
V14_smoothed_r,V14 smoothed richness,1.0,V9_implied_bc,hold,daily_era,489,0.0016993553605660068,0.01668700034227774,2.251958384019793,2.1751588437767886,11,0.5501022494887525,0.0
