sizing_convention,loss_source,loss_pts,loss_dollars,budget_frac_of_capital,capital_pts,capital_dollars,mean_pts,sd_pts,ann_mean_pts,ann_mean_dollars,ann_return_on_capital,worst20_pts,worst20_dollars,worst20_frac_capital,worst60_pts,worst60_dollars,worst60_frac_capital
per contract (one straddle a day),"replay repriced premium + repriced implied, 0.5th percentile (1-in-200)",-61.74996662031435,-6174.996662031435,0.05,1234.999332406287,123499.93324062871,-0.5417503367634019,12.951786339406455,-136.5210848643773,-13652.108486437728,-0.11054344830970719,-1220.131124919898,-122013.1124919898,-0.987960959090221,-2061.808570628903,-206180.8570628903,-1.6694815264488048
per contract (one straddle a day),"replay repriced premium + repriced implied, 0.5th percentile (1-in-200)",-61.74996662031435,-6174.996662031435,0.1,617.4996662031435,61749.96662031436,-0.5417503367634019,12.951786339406455,-136.5210848643773,-13652.108486437728,-0.22108689661941439,-1220.131124919898,-122013.1124919898,-1.975921918180442,-2061.808570628903,-206180.8570628903,-3.3389630528976095
per contract (one straddle a day),"proposal 45 stress, last bar -5% (its $30.6k cell)",-305.731206,-30573.1206,0.05,6114.6241199999995,611462.4119999999,-0.5417503367634019,12.951786339406455,-136.5210848643773,-13652.108486437728,-0.022326979089006913,-1220.131124919898,-122013.1124919898,-0.19954311188631135,-2061.808570628903,-206180.8570628903,-0.33719301958153775
per contract (one straddle a day),"proposal 45 stress, last bar -5% (its $30.6k cell)",-305.731206,-30573.1206,0.1,3057.3120599999997,305731.20599999995,-0.5417503367634019,12.951786339406455,-136.5210848643773,-13652.108486437728,-0.044653958178013826,-1220.131124919898,-122013.1124919898,-0.3990862237726227,-2061.808570628903,-206180.8570628903,-0.6743860391630755
"inverse premium (1/premium_d, deployed at the mean premium 12.99 pts a day)","replay repriced premium + repriced implied, 0.5th percentile (1-in-200)",-44.05049838395615,-4405.049838395616,0.05,881.0099676791231,88100.99676791231,0.1544320131185445,9.958810694431579,38.91686730587321,3891.686730587321,0.0441730158949204,-537.8319150608125,-53783.19150608125,-0.6104719978113788,-715.4322358728314,-71543.22358728314,-0.8120591844806487
"inverse premium (1/premium_d, deployed at the mean premium 12.99 pts a day)","replay repriced premium + repriced implied, 0.5th percentile (1-in-200)",-44.05049838395615,-4405.049838395616,0.1,440.50498383956153,44050.498383956154,0.1544320131185445,9.958810694431579,38.91686730587321,3891.686730587321,0.0883460317898408,-537.8319150608125,-53783.19150608125,-1.2209439956227577,-715.4322358728314,-71543.22358728314,-1.6241183689612975
"inverse premium (1/premium_d, deployed at the mean premium 12.99 pts a day)","proposal 45 stress, last bar -5% (its $30.6k cell)",-305.731206,-30573.1206,0.05,6114.6241199999995,611462.4119999999,0.1544320131185445,9.958810694431579,38.91686730587321,3891.686730587321,0.006364555946878582,-537.8319150608125,-53783.19150608125,-0.08795829547422984,-715.4322358728314,-71543.22358728314,-0.11700346936008087
"inverse premium (1/premium_d, deployed at the mean premium 12.99 pts a day)","proposal 45 stress, last bar -5% (its $30.6k cell)",-305.731206,-30573.1206,0.1,3057.3120599999997,305731.20599999995,0.1544320131185445,9.958810694431579,38.91686730587321,3891.686730587321,0.012729111893757163,-537.8319150608125,-53783.19150608125,-0.17591659094845968,-715.4322358728314,-71543.22358728314,-0.23400693872016173
