series,convention,n_sessions,mean_pts,median_pts,sd_pts,p1_pts,min_pts,mean_units,mean_premium_pts,mean_gap_pts,sd_ratio,p1_gap_pts
"realised 13:30 hold book (proposal 43, quoted bid fill)",actual market,866,0.7983451428262665,1.5557007374909642,7.5481790630095436,-25.5789426814204,-75.84721307472019,0.06916039415148115,13.984209001133127,0.0,1.0,0.0
"replay, median premium book, same sessions",repriced premium + repriced implied,866,-0.5895951681243015,1.5866306453452896,16.166730890884065,-50.971931101237494,-241.811193365863,-0.030206752563219107,13.289993662949872,-1.387940310950568,2.1418054282933516,-25.392988419817094
"replay, median premium book, same sessions","repriced premium, frozen implied",866,-0.6245701436159221,2.056245270419441,18.633292629413784,-54.76736745495513,-357.43006402381167,-0.030312315068835555,13.289993662949872,-1.4229152864421886,2.468581160286423,-29.188424773534727
"replay, median premium book, same sessions",49 frozen (reproduced),866,-2.414563806565796,1.300575731692165,20.50221922047661,-64.96560225103495,-394.6826002094197,-0.20725869838750136,11.5,-3.2129089493920624,2.7161808231271802,-39.38665956961455
