series,n_sessions,n_full_size,n_half_size,n_zero_size,mean_pts,median_pts,sd_pts,p1_pts,p0.5_pts,min_pts,ann_mean_dollars,worst20_pts,worst20_dollars,worst20_frac_of_no_rule_capital,worst60_pts,worst60_dollars,worst60_frac_of_no_rule_capital
no rule (full size),6593,6593,0,0,-0.5417503367634019,1.4245635507663739,12.951786339406455,-44.57138200650524,-61.74996662031435,-359.791818334588,-13652.108486437728,-1220.131124919898,-122013.1124919898,-0.987960959090221,-2061.808570628903,-206180.8570628903,-1.6694815264488048
deleveraging rule,6593,6134,318,141,-0.1884264666696576,1.2407198661219336,9.451720810654363,-34.59038812204104,-47.00281544004149,-140.0058596067945,-4748.3469600753715,-396.47884035885056,-39647.88403588506,-0.3210356718058678,-786.1902030600075,-78619.02030600075,-0.636591601655513
