day_role,rep_date,entry_clock,terminal,convention,session,era,pnl_pts,pnl_units,pnl_dollars,option_pts,hedge_pts,premium_pts,premium_over_spot,implied_rem_var,rv21_trail,path_net_logpct,path_sum_abs_bar_logpct,path_trend_ratio,path_max_abs_bar_logpct,path_max_abs_bar_stamp,path_last_bar_logpct,S_settle_replayed,rank
p25 premium,2021-05-26,13:30,hold to cash settlement,repriced premium + repriced implied,2008-10-10,2008-2009,-397.31390897829425,-8.546975894340482,-39731.39089782943,-137.6726963321051,-259.64121264618916,46.48590494345281,0.011069891076111641,0.00020586058539770293,0.0008190038743663609,4.307748625774271,8.85090355848355,0.4867015663779676,6.347396750495,15:30,-0.27003132216423004,4384.158601275558,1
p25 premium,2021-05-26,13:30,hold to cash settlement,repriced premium + repriced implied,2020-03-18,2020-2024,-266.87786801370765,-5.255744364944625,-26687.786801370767,-93.05877933048617,-173.81908868322148,50.77831977402872,0.012092062521106905,0.0002404864476276902,0.0009733108502638893,3.3837841690495205,9.203297781479042,0.3676708338025459,3.93584509405551,16:00,3.93584509405551,4343.837099104515,2
p25 premium,2021-05-26,13:30,hold to cash settlement,repriced premium + repriced implied,2008-10-29,2008-2009,-212.09410442320558,-3.0723815947629354,-21209.410442320557,-33.83007260000166,-178.26403182320394,69.03247460690856,0.016439003942001346,0.00041291643948279324,0.0017738710049213463,-2.58528018924707,7.702510680299748,0.3356412339497674,4.26447024936091,16:00,-4.26447024936091,4092.13745279309,3
p25 premium,2021-05-26,13:30,hold to cash settlement,repriced premium + repriced implied,2020-03-13,2020-2024,-166.02525751732585,-4.320997767219324,-16602.525751732584,-161.54114265075714,-4.484114866568717,38.42289824282124,0.009149812161212065,0.00014721324687364833,0.0005644101681239578,4.66761283347877,7.533601990658189,0.6195725284222207,4.5524542919014,16:00,4.5524542919014,4399.964040893578,4
p25 premium,2021-05-26,13:30,hold to cash settlement,repriced premium + repriced implied,2022-09-21,2020-2024,-154.42438892791816,-9.343728525222467,-15442.438892791815,-73.47141693444847,-80.95297199346969,16.527062886198465,0.003935661490957633,3.334314165339393e-05,0.00010851946482845361,-2.27141268036853,5.77092166940313,0.3935961724123446,1.55021453182495,15:30,-1.10105552151726,4105.001520179353,5
p25 premium,2021-05-26,13:30,hold to cash settlement,repriced premium + repriced implied,2020-02-28,2020-2024,-141.63319577066312,-9.966625054923997,-14163.319577066311,-36.82608291629496,-104.80711285436817,14.210747870031435,0.0033840673043300544,2.5560685962734852e-05,8.078662944413385e-05,1.2242673336050578,4.952896905656862,0.24718207483922847,2.5822733565465,16:00,2.5822733565465,4251.036830786326,6
p25 premium,2021-05-26,13:30,hold to cash settlement,repriced premium + repriced implied,2008-09-16,2008-2009,-138.94432721056614,-7.370608348670634,-13894.432721056615,-68.94049531674544,-70.00383189382069,18.851134212771758,0.004489102721575306,4.2032917235558137e-05,0.00014034162707999518,2.0851588696214405,5.046023307773799,0.41322814867087265,2.69953326306882,15:00,0.8660578256288,4287.791629529517,7
p25 premium,2021-05-26,13:30,hold to cash settlement,repriced premium + repriced implied,2008-11-21,2008-2009,-138.8873478676346,-2.3263659598023523,-13888.734786763458,-189.21697660231501,50.329628734680426,59.70141855043067,0.014216958909298368,0.0003197762978963859,0.0013355476118952444,5.7740769334052,9.31850316331772,0.619635668111897,3.51604138869885,15:30,3.09789431741278,4448.918395152746,8
p25 premium,2021-05-26,13:30,hold to cash settlement,repriced premium + repriced implied,2011-08-09,2010-2019,-130.7430027662283,-6.370868742765158,-13074.300276622831,-85.50672196434516,-45.236280801883154,20.52200540384728,0.004886994558034521,4.881025482379205e-05,0.00016567992572057275,2.5095830362337903,7.276779381385371,0.3448755149363907,2.59055168116266,16:00,2.59055168116266,4306.028727368192,9
p25 premium,2021-05-26,13:30,hold to cash settlement,repriced premium + repriced implied,2002-07-22,1998-2007,-129.63164505630098,-4.810662320784039,-12963.164505630099,4.491587003073764,-134.12323205937474,26.946735483020493,0.006416943523347337,7.883569242649609e-05,0.0002821309023498641,-0.6394114219995402,6.69218797254494,0.09554594470788325,2.23282888867699,14:00,-1.70543339505928,4172.544851520053,10
