frame,construction,fill,n,mean_prem,t_prem,Sharpe_prem,mean_pts,t_pts,Sharpe_pts,n_buy,pct_buy,maxDD_pts,worst_pts
common,A 15:30 sign(s),mid,803.0,0.11441320474599431,2.9198950908060812,1.6357229446623538,0.5366251701361513,2.2433137430490797,1.2567026031639936,306.0,38.10709838107098,-140.8948724269867,-49.18002915382385
common,A 15:30 sign(s),crossed,803.0,0.08402366173194706,2.1496368111391533,1.2042248592227418,0.35237859195077403,1.4713662613327203,0.8242582280583158,306.0,38.10709838107098,-162.31987285614014,-49.43002939224243
common,B 15:00 sign(s_rem),mid,803.0,0.07484612369289993,1.9472524250098047,1.0908492845058466,0.6390373924675201,1.8461724253193157,1.034224347787811,414.0,51.55666251556662,-158.5014135837555,-67.27006816864014
common,B 15:00 sign(s_rem),crossed,803.0,0.05134900024758102,1.3452465779942124,0.7536060801575514,0.4334334037075304,1.2527936073196777,0.7018139983424531,414.0,51.55666251556662,-195.651411652565,-67.77006816864014
common,always short 15:00 to settlement,mid,803.0,0.05136056264142286,1.3345663787384237,0.7476230408931382,0.3849303511946762,1.1105572273237998,0.6221332895876938,0.0,0.0,-338.645120203495,-67.27006816864014
common,always short 15:00 to settlement,crossed,803.0,0.02708351087877689,0.6843528875277647,0.38337395199567575,0.1793263624346865,0.517258673054796,0.2897679038214199,0.0,0.0,-401.7899481654167,-67.77006816864014
common,always short 15:30 (deck),mid,803.0,0.02165492888112768,0.5498363714588739,0.30801790497099185,0.24786888536153961,1.033645851574037,0.5790475970860826,0.0,0.0,-153.3188475817442,-49.18002915382385
common,always short 15:30 (deck),crossed,803.0,-0.009772845139437743,-0.23970599953791513,-0.13428311333923587,0.06362230717616242,0.26523699491524766,0.1485855569682097,0.0,0.0,-197.21909499168396,-49.43002939224243
deck,A 15:30 sign(s),mid,866.0,0.09473635268767665,2.4809565970336562,1.3383216111351313,0.22714782064010586,0.8455553822455277,0.4561244815100105,346.0,39.953810623556585,-273.10981257259846,-78.37001895904541
deck,A 15:30 sign(s),crossed,866.0,0.06136656537073233,1.6120260449056047,0.8695876808926679,-0.004896060079680304,-0.01795071856513384,-0.009683294991878219,346.0,39.953810623556585,-326.66972303390503,-85.22001838684082
deck,always short 15:30 (deck),mid,866.0,0.014475039378387317,0.37776209796508636,0.2037791310734338,0.020286612814898856,0.0754857625120379,0.04071986886979949,0.0,0.0,-329.21909488737583,-78.37001895904541
deck,always short 15:30 (deck),crossed,866.0,-0.020279857116367164,-0.5096893780366656,-0.2749456844219188,-0.2117572679048873,-0.7758468986666884,-0.41852109491124306,0.0,0.0,-439.1690952181816,-85.22001838684082
