sample,forecast,s_class,n,mean_pay_pts,mean_pay_units,mean_ask_pts,mean_ask_units,frac_worthless,n_pay_gt_ask,n_pay_le_ask,rate_pay_gt_ask
whole,a0,s < 0 (ride),579,0.6012260160297928,0.031259262061014065,0.9288428343047543,0.04593608935794091,0.9015544041450777,40,539,0.0690846286701209
whole,a0,s > 0 (buy back),286,0.40804520186844406,0.025465425686644408,0.6122377637539294,0.03415377462926342,0.9230769230769231,19,267,0.06643356643356643
whole,a0,no signal,0,,,,,,0,0,
whole,blk2,s < 0 (ride),519,0.6609832234465318,0.030832233426189137,0.9794797708777448,0.04719075571517211,0.8978805394990366,38,481,0.07321772639691715
whole,blk2,s > 0 (buy back),346,0.3519089538927023,0.027110680148888098,0.5911849722847601,0.03431495105792718,0.9248554913294798,21,325,0.06069364161849711
whole,blk2,no signal,0,,,,,,0,0,
whole,blk2_inc,s < 0 (ride),510,0.6499617034313725,0.027714394047025043,0.99754902173345,0.0478914074219412,0.8980392156862745,37,473,0.07254901960784314
whole,blk2_inc,s > 0 (buy back),355,0.37557837257922533,0.03168417891753428,0.5750704236958228,0.033634809850780614,0.923943661971831,22,333,0.061971830985915494
whole,blk2_inc,no signal,0,,,,,,0,0,
whole,lgbm,s < 0 (ride),576,0.584305657280816,0.02899422585200526,0.91293402964301,0.047017625177842665,0.9010416666666666,40,536,0.06944444444444445
whole,lgbm,s > 0 (buy back),289,0.4437741606293253,0.03003996674377997,0.647231835369214,0.032120495431763846,0.9238754325259516,19,270,0.0657439446366782
whole,lgbm,no signal,0,,,,,,0,0,
whole,xgb,s < 0 (ride),587,0.5863371918920358,0.030213735101847033,0.9051107344879202,0.04707333860010718,0.9028960817717206,40,547,0.06814310051107325
whole,xgb,s > 0 (buy back),278,0.43392395458633093,0.027506338039292203,0.6532374113369331,0.03141340116530292,0.920863309352518,19,259,0.0683453237410072
whole,xgb,no signal,0,,,,,,0,0,
whole,lasso_t,s < 0 (ride),544,0.6031067792107078,0.029033935315007902,0.971139708218877,0.047780646869370245,0.9025735294117647,37,507,0.06801470588235294
whole,lasso_t,s > 0 (buy back),321,0.4259211935358255,0.02986842264281353,0.5750778823208957,0.032312471605232755,0.9190031152647975,22,299,0.06853582554517133
whole,lasso_t,no signal,0,,,,,,0,0,
whole,lasso_f,s < 0 (ride),507,0.6775552422337278,0.03171592328745947,0.9869822508910822,0.047571514388700165,0.893491124260355,39,468,0.07692307692307693
whole,lasso_f,s > 0 (buy back),358,0.3387996737517458,0.025983942382585168,0.5935754198164747,0.03420731141660934,0.9301675977653632,20,338,0.055865921787709494
whole,lasso_f,no signal,0,,,,,,0,0,
whole,enet,s < 0 (ride),558,0.6289425648241488,0.03000451342558172,0.9486559170521929,0.046816328688090325,0.9014336917562724,38,520,0.06810035842293907
whole,enet,s > 0 (buy back),307,0.3708822144747557,0.028142364782517408,0.5978827354428434,0.033359817180008855,0.9218241042345277,21,286,0.06840390879478828
whole,enet,no signal,0,,,,,,0,0,
era,a0,s < 0 (ride),312,0.33794853014823717,0.01971808930208199,0.7235576925823131,0.03465494813584391,0.9230769230769231,13,299,0.041666666666666664
era,a0,s > 0 (buy back),177,0.3757103526659605,0.025353944937175642,0.5081920923275799,0.02887199163816967,0.9209039548022598,12,165,0.06779661016949153
era,a0,no signal,0,,,,,,0,0,
era,blk2,s < 0 (ride),270,0.2788149233217593,0.012926299274237761,0.7631481478197707,0.035127619480894934,0.9296296296296296,10,260,0.037037037037037035
era,blk2,s > 0 (buy back),219,0.4413728060787671,0.032646535671623164,0.5006849338644987,0.029398306294510047,0.91324200913242,15,204,0.0684931506849315
era,blk2,no signal,0,,,,,,0,0,
era,blk2_inc,s < 0 (ride),261,0.28842923102250956,0.013372033731970098,0.7810344821791311,0.03555247198442175,0.9272030651340997,10,251,0.038314176245210725
era,blk2_inc,s > 0 (buy back),228,0.4239501953125,0.031357856631953826,0.49057017797767594,0.029138119080724806,0.9166666666666666,15,213,0.06578947368421052
era,blk2_inc,no signal,0,,,,,,0,0,
era,lgbm,s < 0 (ride),297,0.30976430976430974,0.01544475787636433,0.7341750844786263,0.03508357301715551,0.9225589225589226,12,285,0.04040404040404041
era,lgbm,s > 0 (buy back),192,0.41635767618815106,0.031523953264840955,0.5085937517578714,0.028660756001271586,0.921875,13,179,0.06770833333333333
era,lgbm,no signal,0,,,,,,0,0,
era,xgb,s < 0 (ride),305,0.3016393442622951,0.015039649473049855,0.7265573773594176,0.03487927815321296,0.9245901639344263,12,293,0.03934426229508197
era,xgb,s > 0 (buy back),184,0.43446018384850543,0.032894559928529694,0.511413045288266,0.028720144030485752,0.9184782608695652,13,171,0.07065217391304347
era,xgb,no signal,0,,,,,,0,0,
