sample,family,forecast,variant,ridden_n,ridden_frac_worthless,ridden_mean_ask_units,ridden_mean_pay_units,ridden_mean_saved_units,ridden_mean_saved_pts,ridden_mean_ride_minus_book,skipped_n,skipped_frac_worthless,skipped_mean_ask_units,skipped_mean_pay_units,skipped_mean_saved_units,skipped_mean_saved_pts,skipped_mean_ride_minus_book
whole,rule,a0,flat,579,0.9015544041450777,0.04593608935794091,0.031259262061014065,0.014676827296926851,0.32761681827496164,0.014676827296926851,286,0.9230769230769231,0.03415377462926342,0.025465425686644408,0.008688348942619014,0.2041925618854853,0.008688348942619014
whole,rule,a0,hedged,579,0.9015544041450777,0.04593608935794091,0.031259262061014065,0.014676827296926851,0.32761681827496164,0.012869045411591229,286,0.9230769230769231,0.03415377462926342,0.025465425686644408,0.008688348942619014,0.2041925618854853,0.008863984227089599
whole,rule,blk2,flat,519,0.8978805394990366,0.04719075571517211,0.030832233426189137,0.01635852228898298,0.3184965474312131,0.01635852228898298,346,0.9248554913294798,0.03431495105792718,0.027110680148888098,0.007204270909039073,0.23927601839205778,0.00720427090903908
whole,rule,blk2,hedged,519,0.8978805394990366,0.04719075571517211,0.030832233426189137,0.01635852228898298,0.3184965474312131,0.01473961643662805,346,0.9248554913294798,0.03431495105792718,0.027110680148888098,0.007204270909039073,0.23927601839205778,0.006752646970083777
whole,rule,blk2_inc,flat,510,0.8980392156862745,0.0478914074219412,0.027714394047025043,0.020177013374916154,0.3475873183020774,0.020177013374916154,355,0.923943661971831,0.033634809850780614,0.03168417891753428,0.0019506309332463264,0.19949205111659749,0.0019506309332463277
whole,rule,blk2_inc,hedged,510,0.8980392156862745,0.0478914074219412,0.027714394047025043,0.020177013374916154,0.3475873183020774,0.017736433797201606,355,0.923943661971831,0.033634809850780614,0.03168417891753428,0.0019506309332463264,0.19949205111659749,0.002649846607566556
whole,rule,lgbm,flat,576,0.9010416666666666,0.047017625177842665,0.02899422585200526,0.0180233993258374,0.32862837236219394,0.018023399325837405,289,0.9238754325259516,0.032120495431763846,0.03003996674377997,0.002080528687983875,0.2034576747398888,0.002080528687983875
whole,rule,lgbm,hedged,576,0.9010416666666666,0.047017625177842665,0.02899422585200526,0.0180233993258374,0.32862837236219394,0.017636224052381893,289,0.9238754325259516,0.032120495431763846,0.03003996674377997,0.002080528687983875,0.2034576747398888,-0.0005958071692492183
whole,rule,xgb,flat,587,0.9028960817717206,0.04707333860010718,0.030213735101847033,0.01685960349826015,0.3187735425958845,0.01685960349826015,278,0.920863309352518,0.03141340116530292,0.027506338039292203,0.003907063126010715,0.21931345675060218,0.003907063126010717
whole,rule,xgb,hedged,587,0.9028960817717206,0.04707333860010718,0.030213735101847033,0.01685960349826015,0.3187735425958845,0.016695298643628124,278,0.920863309352518,0.03141340116530292,0.027506338039292203,0.003907063126010715,0.21931345675060218,0.0006695556778749563
whole,rule,lasso_t,flat,544,0.9025735294117647,0.047780646869370245,0.029033935315007902,0.01874671155436234,0.3680329290081692,0.018746711554362343,321,0.9190031152647975,0.032312471605232755,0.02986842264281353,0.002444048962419223,0.1491566887850702,0.002444048962419226
whole,rule,lasso_t,hedged,544,0.9025735294117647,0.047780646869370245,0.029033935315007902,0.01874671155436234,0.3680329290081692,0.01739315278937813,321,0.9190031152647975,0.032312471605232755,0.02986842264281353,0.002444048962419223,0.1491566887850702,0.0016336500462219414
whole,rule,lasso_f,flat,507,0.893491124260355,0.047571514388700165,0.03171592328745947,0.01585559110124069,0.30942700865735434,0.01585559110124069,358,0.9301675977653632,0.03420731141660934,0.025983942382585168,0.00822336903402417,0.25477574606472886,0.008223369034024174
whole,rule,lasso_f,hedged,507,0.893491124260355,0.047571514388700165,0.03171592328745947,0.01585559110124069,0.30942700865735434,0.015114116608621114,358,0.9301675977653632,0.03420731141660934,0.025983942382585168,0.00822336903402417,0.25477574606472886,0.006489999054994527
whole,rule,enet,flat,558,0.9014336917562724,0.046816328688090325,0.03000451342558172,0.016811815262508623,0.3197133522280442,0.016811815262508623,307,0.9218241042345277,0.033359817180008855,0.028142364782517408,0.005217452397491445,0.22700052096808773,0.005217452397491445
