sample,family,forecast,variant,n_days,n_ridden,n_placebo,sharpe_rule,placebo_mean,placebo_sd,placebo_q05,placebo_q50,placebo_q95,pct_rank,p_value
whole,rule,a0,flat,865,579,2000,2.5502023805480873,2.5223636418432216,0.11253907353004171,2.3438108635131027,2.5224880827403284,2.7097459527284182,0.603,0.39730134932533734
whole,rule,a0,hedged,865,579,2000,2.5465014989838117,2.5295773157090418,0.0860312375639309,2.389318408010475,2.526742265347558,2.6759743548023467,0.587,0.41329335332333833
whole,rule,blk2,flat,865,519,2000,2.583125167587513,2.4828606538532765,0.11735856848981982,2.2967076366346215,2.478611110885116,2.6812451275235327,0.803,0.19740129935032483
whole,rule,blk2,hedged,865,519,2000,2.587148531713997,2.505804920531113,0.09438578297494014,2.3521401116422953,2.5054233291587997,2.665883258309942,0.8105,0.18990504747626186
whole,rule,blk2_inc,flat,865,510,2000,2.707518046972364,2.4880523632810307,0.11925091681706049,2.293165537654263,2.4876270539112153,2.6881296386085505,0.9635,0.03698150924537731
whole,rule,blk2_inc,hedged,865,510,2000,2.680729570821814,2.50002055347249,0.09286928435063464,2.3515536476918406,2.4971433322709746,2.6576736423673917,0.969,0.031484257871064465
whole,rule,lgbm,flat,865,576,2000,2.676480503721663,2.5112089668271156,0.11554314882325667,2.335140881881034,2.5050246817657342,2.705906471654718,0.9165,0.08395802098950525
whole,rule,lgbm,hedged,865,576,2000,2.7026623873402746,2.5304424730627,0.08836784339287823,2.3890588524633762,2.5270831468467057,2.6774966653780514,0.9685,0.031984007996002
whole,rule,xgb,flat,865,587,2000,2.6467999404563853,2.5170983282034487,0.11382842068580679,2.3380891602188343,2.513408557691039,2.706411805024905,0.8695,0.13093453273363317
whole,rule,xgb,hedged,865,587,2000,2.6852620224251624,2.5387409072475275,0.08928885516175258,2.3954696636792985,2.5346766597013093,2.693237784179863,0.941,0.059470264867566215
whole,rule,lasso_t,flat,865,544,2000,2.6715846267594276,2.497011713100319,0.11861319829176438,2.31300314024262,2.4915264988006394,2.7001615676162887,0.9205,0.079960019990005
whole,rule,lasso_t,hedged,865,544,2000,2.6799598132403677,2.5201020706273383,0.09111123426060977,2.3755576407066705,2.5159367304242006,2.673842130881259,0.957,0.043478260869565216
whole,rule,lasso_f,flat,865,507,2000,2.558906681358831,2.4831469780505904,0.11897891036591697,2.294374251721758,2.481145754273428,2.6794259503233624,0.7395,0.2608695652173913
whole,rule,lasso_f,hedged,865,507,2000,2.586815100689187,2.4976070032583246,0.09308776057146087,2.350847399416663,2.4936053729726644,2.6521709853668356,0.8255,0.17491254372813594
