block,sample,family,variant,forecast,n_active,frac_active,n_days,mean,sd,Sharpe_ann,t,t_hac,t_lag,MaxDD,worst_day,worst_date,Sharpe_uncond_ride,Sharpe_book,Sharpe_hold,beats_ride,beats_book,beats_both,modal_pick,modal_pick_share,null_share,n_candidates,d_ride_mean,d_ride_t_hac,d_ride_t_lag,d_ride_ci_lo,d_ride_ci_hi,d_ride_positive,d_ride_Sharpe,d_book_mean,d_book_t_hac,d_book_t_lag,d_book_ci_lo,d_book_ci_hi,d_book_positive,d_book_Sharpe
walk_forward_selected,whole,rule,flat,chosen on an expanding window,648,0.8130489335006273,797,0.05623593679534315,0.35181448072322796,2.5374675288981288,4.512626440997431,4.8685326002237925,13,-5.431155489843464,-2.197917091607323,2024-04-04,2.561002201690752,2.2508623989667926,3.409981689327548,False,True,False,unconditional ride (null),0.6486825595984943,0.6486825595984943,9,-0.0012550870970287377,-0.7201929301356225,13,-0.004303416481599347,0.0019880946392190407,False,-0.023534672792623113,0.009833520025237134,2.0759556354233553,13,0.00019660159613366446,0.018642251112583403,True,0.28660512993133613
walk_forward_selected,era,rule,flat,chosen on an expanding window,368,0.7525562372188139,489,0.06307080719184101,0.35666420899555495,2.8071726841500104,3.91041894603986,4.709960930595516,11,-2.8388279281888806,-2.197917091607323,2024-04-04,2.792487039007039,2.5131321677178398,3.3233348969887193,True,True,True,unconditional ride (null),0.6196319018404908,0.6196319018404908,9,-0.0010261856650313514,-0.3703351366447641,11,-0.005635645126500103,0.004061304069311559,False,0.014685645142971548,0.00977748350104158,2.049676293732816,11,-0.0005780417892771803,0.019193641090645138,False,0.29404051643217066
walk_forward_selected,whole,rule,hedged,chosen on an expanding window,704,0.8833124215809285,797,0.05653901046453087,0.34505272023445227,2.6011357504068386,4.625853860288289,4.941324416816417,13,-5.191030892165546,-2.1979172269074536,2024-04-04,2.633999281222972,2.2508623989667926,3.409981689327548,False,True,False,unconditional ride (null),0.8005018820577164,0.8005018820577164,9,-0.000868599901671586,-0.7243570811510058,13,-0.0029055676959092174,0.0013411278321629808,False,-0.03286353081613358,0.010136593694424859,2.879992488193533,13,0.0032065285867034768,0.016529109151123798,True,0.350273351440046
walk_forward_selected,era,rule,hedged,chosen on an expanding window,408,0.8343558282208589,489,0.06202675905907075,0.3548103706591294,2.7751282263271357,3.86578070354995,4.664365775287334,11,-2.7956008607972542,-2.1979172269074536,2024-04-04,2.779081452779688,2.5131321677178398,3.3233348969887193,False,True,False,unconditional ride (null),0.7464212678936605,0.7464212678936605,9,-0.0003060115100683747,-0.16620140108995912,11,-0.003188918085864484,0.003163060963943476,False,-0.003953226452552361,0.008733435368271328,2.2924092875429873,11,0.0012904914658424208,0.016092142138338865,True,0.261996058609296
walk_forward_selected,whole,reverse,flat,chosen on an expanding window,739,0.9272271016311167,797,0.05406649188316488,0.3548342517476515,2.4188165220241027,4.3016177621580205,4.608742135720466,13,-5.810921642492806,-2.197917091607323,2024-04-04,2.561002201690752,2.2508623989667926,3.409981689327548,False,True,False,unconditional ride (null),0.9021329987452948,0.9021329987452948,9,-0.0034245320092070055,-2.6540446338734287,13,-0.006456568319611201,-0.0009045598914613699,False,-0.1421856796666492,0.007664075113058867,1.5893718024150905,13,-0.0018134642564066824,0.016369859660060566,False,0.16795412305731006
walk_forward_selected,era,reverse,flat,chosen on an expanding window,489,1.0,489,0.06409699285687236,0.3643734789472882,2.792487039007039,3.889961699028966,4.752523743924132,11,-2.948152312245746,-2.197917091607323,2024-04-04,2.792487039007039,2.5131321677178398,3.3233348969887193,False,True,False,unconditional ride (null),1.0,1.0,9,0.0,,11,0.0,0.0,False,0.0,0.010803669166072932,2.147826823745288,11,0.0007843947687369063,0.020346788798181442,True,0.2793548712891991
walk_forward_selected,whole,reverse,hedged,chosen on an expanding window,792,0.9937264742785445,797,0.05718666703418283,0.3460738131611762,2.623169281126244,4.665038240849049,4.983742585434748,13,-5.191030892165546,-2.1979172269074536,2024-04-04,2.633999281222972,2.2508623989667926,3.409981689327548,False,True,False,unconditional ride (null),0.9912170639899623,0.9912170639899623,9,-0.00022094333201963545,-1.0149702141589443,13,-0.0006717545197187837,8.924523659877438e-06,False,-0.010830000096728298,0.01078425026407681,2.895454843064198,13,0.0034037650224091848,0.0176433061170154,True,0.3723068821594513
walk_forward_selected,era,reverse,hedged,chosen on an expanding window,489,1.0,489,0.06233277056913913,0.35605363626309366,2.779081452779688,3.871287586580456,4.724408035261839,11,-2.7956008607972542,-2.1979172269074536,2024-04-04,2.779081452779688,2.5131321677178398,3.3233348969887193,False,True,False,unconditional ride (null),1.0,1.0,9,0.0,,11,0.0,0.0,False,0.0,0.009039446878339701,2.1434568118054123,11,0.0010071048578587831,0.017307160488578582,True,0.26594928506184834
fixed_rule_oos,whole,rule,flat,a0,549,0.6888331242158093,797,0.056119935559177984,0.3506634665017771,2.5405451197489324,4.518099621516884,4.891477152151479,13,-5.243256152114132,-2.197917091607323,2024-04-04,2.561002201690752,2.2508623989667926,3.409981689327548,False,True,False,a0,1.0,,1,-0.001371088333193898,-0.5934051102827528,13,-0.005301181657448382,0.003474775202542838,False,-0.0204570819418195,0.009717518789071974,2.18939723991812,13,0.0010252026062556982,0.017538963063055628,True,0.28968272078213975
fixed_rule_oos,whole,rule,flat,blk2,493,0.6185696361355082,797,0.05651001146637934,0.3460425128159409,2.5923653549176415,4.610256609040017,4.895333368613522,13,-5.823439465650171,-2.197917091607323,2024-04-04,2.561002201690752,2.2508623989667926,3.409981689327548,True,True,True,blk2,1.0,,1,-0.0009810124259925458,-0.34189079527392896,13,-0.0061475106344586776,0.004403110872481388,False,0.03136315322688965,0.010107594696273325,2.399373930912958,13,0.0015470968005269984,0.01732741430352186,True,0.3415029559508489
fixed_rule_oos,whole,rule,flat,blk2_inc,486,0.6097867001254705,797,0.05885201798762276,0.34223996102899784,2.729800516831348,4.854670986174478,4.991569131068891,13,-5.841060612119653,-2.197917091607323,2024-04-04,2.561002201690752,2.2508623989667926,3.409981689327548,True,True,True,blk2_inc,1.0,,1,0.001360994095250867,0.39602054610673587,13,-0.004326699743307,0.008258585179571997,False,0.16879831514059607,0.012449601217516738,3.753448706902493,13,0.006051546332212511,0.018960296912011364,True,0.4789381178645553
fixed_rule_oos,whole,rule,flat,lgbm,544,0.6825595984943539,797,0.0580766303963372,0.3467309560694142,2.6589432236773476,4.728658538337126,5.118179132658553,13,-5.342590095427111,-2.197917091607323,2024-04-04,2.561002201690752,2.2508623989667926,3.409981689327548,True,True,True,lgbm,1.0,,1,0.0005856065039653146,0.22028047567888917,13,-0.003933140865386342,0.006034492128307036,False,0.09794102198659571,0.011674213626231186,2.8124757565870993,13,0.003362643385054002,0.01900784274198663,True,0.40808082471055496
fixed_rule_oos,whole,rule,flat,xgb,554,0.6951066499372648,797,0.05743317723371011,0.3472200524486233,2.6257798688716716,4.669680904115633,5.069983100336468,13,-5.320020585749697,-2.197917091607323,2024-04-04,2.561002201690752,2.2508623989667926,3.409981689327548,True,True,True,xgb,1.0,,1,-5.7846658661776353e-05,-0.023832702148935406,13,-0.004158548347788072,0.004826594420368549,False,0.0647776671809197,0.011030760463604097,2.5864241714306067,13,0.0022943862760578357,0.0184930934912229,True,0.37491746990487895
fixed_rule_oos,whole,rule,flat,lasso_t,510,0.6398996235884568,797,0.0581530489726993,0.34626113717939044,2.6660544145711347,4.741305063933542,5.077874530395006,13,-5.319143804873036,-2.197917091607323,2024-04-04,2.561002201690752,2.2508623989667926,3.409981689327548,True,True,True,lasso_t,1.0,,1,0.0006620250803274113,0.22959437713814387,13,-0.004395849978645243,0.006091392567381013,False,0.1050522128803828,0.011750632202593283,2.876676155200839,13,0.0035239677528163416,0.01870443573659467,True,0.41519201560434205
fixed_rule_oos,whole,rule,flat,lasso_f,482,0.6047678795483061,797,0.05600113556595922,0.3460404545511596,2.569036236591303,4.568768158446796,4.845205858604816,13,-5.836174618485689,-2.197917091607323,2024-04-04,2.561002201690752,2.2508623989667926,3.409981689327548,True,True,True,lasso_f,1.0,,1,-0.0014898883264126753,-0.5204682582028746,13,-0.0066178045812927844,0.003764439620932787,False,0.008034034900551212,0.009598718795853197,2.298306779295096,13,0.0010488058426482507,0.016715104694784436,True,0.31817383762451046
fixed_rule_oos,whole,rule,flat,enet,524,0.657465495608532,797,0.05693632230949065,0.3463290237760642,2.6097613377318467,4.641193585029069,4.919967804534151,13,-5.780361875900056,-2.197917091607323,2024-04-04,2.561002201690752,2.2508623989667926,3.409981689327548,True,True,True,enet,1.0,,1,-0.0005547015828812319,-0.20212592508049207,13,-0.005379670354445458,0.0049548613250947355,False,0.04875913604109483,0.01053390553938464,2.508316030104995,13,0.002176619692759803,0.01779042233398886,True,0.3588989387650541
fixed_rule_oos,era,rule,flat,a0,312,0.6380368098159509,489,0.0628235894497641,0.35705543453250876,2.793105687414432,3.890823482298256,4.65177358821867,11,-2.8337517859321117,-2.197917091607323,2024-04-04,2.792487039007039,2.5131321677178398,3.3233348969887193,True,True,True,a0,1.0,,1,-0.0012734034071082672,-0.4087571278939967,11,-0.0063722012662118434,0.004912616250779329,False,0.0006186484073933407,0.009530265758964663,2.0669717244612618,11,-0.0003965581119791116,0.01812911026145648,False,0.27997351969659245
fixed_rule_oos,era,rule,flat,blk2,270,0.5521472392638037,489,0.06555172135091689,0.34926762649492143,2.9793809597624,4.150306754660172,4.960732363021436,11,-2.8388279281888806,-2.197917091607323,2024-04-04,2.792487039007039,2.5131321677178398,3.3233348969887193,True,True,True,blk2,1.0,,1,0.001454728494044525,0.34123941245735273,11,-0.005641741430097751,0.009018571069143654,False,0.18689392075536126,0.012258397660117454,3.4701497332048126,11,0.004462219234157905,0.018773597723688383,True,0.4662487920445604
fixed_rule_oos,era,rule,flat,blk2_inc,261,0.5337423312883436,489,0.06513196251266012,0.3489519692526616,2.9629804166883793,4.127460638094525,4.908821030783086,11,-2.8388279281888806,-2.197917091607323,2024-04-04,2.792487039007039,2.5131321677178398,3.3233348969887193,True,True,True,blk2_inc,1.0,,1,0.0010349696557877689,0.24519934988575456,11,-0.005984240077262039,0.008404130514650627,False,0.17049337768134043,0.0118386388218607,3.3524983675399973,11,0.0041933100567281695,0.01836354412601333,True,0.44984824897053954
fixed_rule_oos,era,rule,flat,lgbm,297,0.6073619631901841,489,0.06522119300943949,0.34953094385489175,2.9621249840281845,4.126269012050151,4.987348382936343,11,-2.823113488009181,-2.197917091607323,2024-04-04,2.792487039007039,2.5131321677178398,3.3233348969887193,True,True,True,lgbm,1.0,,1,0.0011242001525671166,0.29386624598181904,11,-0.0052750219707654,0.00834957096536873,False,0.1696379450211456,0.011927869318640047,3.2319856437424526,11,0.004045881372536389,0.01882390746276345,True,0.4489928163103447
fixed_rule_oos,era,rule,flat,xgb,305,0.623721881390593,489,0.06566773421728153,0.34959128027440883,2.9818906312017424,4.153802751468687,4.989630679831264,11,-2.823113488009181,-2.197917091607323,2024-04-04,2.792487039007039,2.5131321677178398,3.3233348969887193,True,True,True,xgb,1.0,,1,0.001570741360409173,0.4115946649190835,11,-0.004922465606125599,0.008839641299526545,False,0.18940359219470349,0.012374410526482107,3.2720298761823012,11,0.004240974565019871,0.019473271864961395,True,0.4687584634839026
fixed_rule_oos,era,rule,flat,lasso_t,274,0.5603271983640081,489,0.06544873919025557,0.3494210640289214,2.973394085466078,4.1419669803356065,4.940358039544241,11,-2.823113488009181,-2.197917091607323,2024-04-04,2.792487039007039,2.5131321677178398,3.3233348969887193,True,True,True,lasso_t,1.0,,1,0.0013517463333832143,0.31530699881717056,11,-0.005890983915528584,0.009330713556002925,False,0.1809070464590392,0.012155415499456144,3.5173727976815354,11,0.004212378678471447,0.018579340375283616,True,0.4602619177482383
fixed_rule_oos,era,rule,flat,lasso_f,257,0.5255623721881391,489,0.06495755457444558,0.3492185362592867,2.952790599602408,4.113266123444732,4.911365155125702,11,-2.8388279281888806,-2.197917091607323,2024-04-04,2.792487039007039,2.5131321677178398,3.3233348969887193,True,True,True,lasso_f,1.0,,1,0.0008605617175732145,0.20307743696696523,11,-0.0062555103263320895,0.008295269277887053,False,0.1603035605953691,0.011664230883646145,3.3887482561428595,11,0.0039628822987132556,0.017943407520779393,True,0.4396584318845682
fixed_rule_oos,era,rule,flat,enet,287,0.5869120654396728,489,0.06502505771289095,0.3492816309745161,2.9553251549346573,4.116796783758924,4.8929556594249455,11,-2.8337517859321117,-2.197917091607323,2024-04-04,2.792487039007039,2.5131321677178398,3.3233348969887193,True,True,True,enet,1.0,,1,0.0009280648560185929,0.2324544794316555,11,-0.005859115014894409,0.0083194121512392,False,0.16283811592761843,0.011731734022091524,3.10529082695019,11,0.0036037802780463954,0.018883424562428985,True,0.44219298721681755
fixed_rule_oos,whole,rule,hedged,a0,549,0.6888331242158093,797,0.05530466405072336,0.34399089114762044,2.5522022446355166,4.538830625713044,4.870498100999651,13,-5.18219305134812,-2.1979172269074536,2024-04-04,2.633999281222972,2.2508623989667926,3.409981689327548,False,True,False,a0,1.0,,1,-0.002102946315479096,-1.2206945840473393,13,-0.005041298789401971,0.0013289947094860626,False,-0.08179703658745563,0.00890224728061735,2.6339114981314955,13,0.0021943296147173596,0.014887505262197221,True,0.30133984566872396
fixed_rule_oos,whole,rule,hedged,blk2,493,0.6185696361355082,797,0.05585423127131454,0.3399059930019475,2.6085401609333547,4.639021847007892,4.970089251560608,13,-5.419087513819443,-2.1979172269074536,2024-04-04,2.633999281222972,2.2508623989667926,3.409981689327548,False,True,False,blk2,1.0,,1,-0.0015533790948879243,-0.6747031464717845,13,-0.005667663973116186,0.002776928463617166,False,-0.0254591202896175,0.009451814501208522,3.0635572939356788,13,0.003175165916475158,0.014904102076874247,True,0.3576777619665621
fixed_rule_oos,whole,rule,hedged,blk2_inc,486,0.6097867001254705,797,0.05768764489339931,0.33756871390085674,2.7128194496205484,4.824471895144105,5.0376754256920675,13,-5.404083190741725,-2.1979172269074536,2024-04-04,2.633999281222972,2.2508623989667926,3.409981689327548,True,True,True,blk2_inc,1.0,,1,0.0002800345271968405,0.09716270276230492,13,-0.004461611960642018,0.006001445400713775,False,0.07882016839757622,0.011285228123293287,4.945519525208432,13,0.006845899122797667,0.015530201337755362,True,0.4619570506537558
fixed_rule_oos,whole,rule,hedged,lgbm,544,0.6825595984943539,797,0.05860024703389306,0.3424642087320228,2.716342493004011,4.8307372674272715,5.139852895237633,13,-5.03733275197912,-2.1979172269074536,2024-04-04,2.633999281222972,2.2508623989667926,3.409981689327548,True,True,True,lgbm,1.0,,1,0.0011926366676906052,0.5828958360798812,13,-0.002252673254391964,0.004887788347458516,False,0.08234321178103876,0.012197830263787051,3.774569318333374,13,0.005606006172063405,0.018023418939309695,True,0.46548009403721835
fixed_rule_oos,whole,rule,hedged,xgb,554,0.6951066499372648,797,0.05809667982526862,0.3421235065247159,2.695682066004427,4.793994811376572,5.103150087600322,13,-5.14940078767591,-2.1979172269074536,2024-04-04,2.633999281222972,2.2508623989667926,3.409981689327548,True,True,True,xgb,1.0,,1,0.0006890694590661734,0.3310774805988463,13,-0.003003255681908333,0.0045422228073232615,False,0.061682784781454725,0.01169426305516262,3.668118207175672,13,0.0051680859275945006,0.017324458435474553,True,0.4448196670376343
fixed_rule_oos,whole,rule,hedged,lasso_t,510,0.6398996235884568,797,0.05758295620818622,0.34037705791305434,2.6855543581618213,4.775983718948096,5.098202856438715,13,-5.188385697672636,-2.1979172269074536,2024-04-04,2.633999281222972,2.2508623989667926,3.409981689327548,True,True,True,lasso_t,1.0,,1,0.00017534584198376145,0.07650864260620102,13,-0.003924236436399849,0.004483699038300266,False,0.05155507693884909,0.011180539438080209,3.6253320757474565,13,0.004754642987795298,0.01666522665440436,True,0.4346919591950287
fixed_rule_oos,whole,rule,hedged,lasso_f,482,0.6047678795483061,797,0.05591986820726536,0.34004376483208665,2.6105474634476376,4.642591629201309,4.956464989255262,13,-5.399049767880676,-2.1979172269074536,2024-04-04,2.633999281222972,2.2508623989667926,3.409981689327548,False,True,False,lasso_f,1.0,,1,-0.0014877421589370925,-0.64967306289637,13,-0.005509487556603844,0.0025851117360341158,False,-0.02345181777533467,0.009517451437159355,3.087446127102729,13,0.003185629156939147,0.014973782569918886,True,0.3596850644808449
