sample,family,forecast,variant,n_active,frac_active,n_days,mean,sd,Sharpe_ann,t,t_hac,t_lag,MaxDD,worst_day,worst_date,d_ride_mean,d_ride_t_hac,d_ride_t_lag,d_ride_ci_lo,d_ride_ci_hi,d_ride_positive,d_ride_Sharpe,d_book_mean,d_book_t_hac,d_book_t_lag,d_book_ci_lo,d_book_ci_hi,d_book_positive,d_book_Sharpe,frac_ridden,p_value,sharpe_rule,n_placebo,adoptable,passes_three,adopted,pre_registered
whole,rule,a0,flat,579,0.669364161849711,865,0.05573198233695861,0.3469206204047533,2.5502023805480873,4.724789126568666,5.145846339560721,14,-5.243256152114132,-2.197917091607323,2024-04-04,-0.0028726795347850153,-1.2761911629862253,14.0,-0.006960549512688921,0.0016388801681683817,False,-0.08837942763731954,0.009824142202220401,2.3754279082325342,14.0,0.0014869373499839646,0.017357803899939718,True,0.2976556711316003,0.669364161849711,0.39730134932533734,2.5502023805480873,2000,True,False,False,False
whole,rule,a0,hedged,579,0.669364161849711,865,0.054521917930473854,0.33988144732026543,2.5465014989838117,4.7179324609538185,5.073819067153522,14,-5.182193051348122,-2.1979172269074536,2024-04-04,-0.0029307508542747106,-1.7605663770284294,14.0,-0.005960540551019713,0.0003628257282711693,False,-0.12324833975859395,0.008614077795735631,2.74354563158959,14.0,0.0019267148175065572,0.014301807310477798,True,0.2939547895673247,0.669364161849711,0.41329335332333833,2.5465014989838117,2000,True,False,False,False
whole,rule,blk2,flat,519,0.6,865,0.055722953508128004,0.34244351566953524,2.583125167587513,4.785785550776687,5.119186857246016,14,-5.82343946565017,-2.197917091607323,2024-04-04,-0.002881708363615631,-1.0393173428514346,14.0,-0.007914256352952363,0.0024760073320138905,False,-0.05545664059789379,0.009815113373389786,2.487743523452777,14.0,0.0015623474257076898,0.016873969189643654,True,0.33057845817102605,0.6,0.19740129935032483,2.583125167587513,2000,True,False,False,False
whole,rule,blk2,hedged,519,0.6,865,0.05475160999671505,0.3359508945605134,2.587148531713997,4.793239683523967,5.135212017706174,14,-5.419087513819445,-2.1979172269074536,2024-04-04,-0.0027010587880335114,-1.2245871343213728,14.0,-0.006836768748960651,0.0015976574028348975,False,-0.08260130702840884,0.008843769861976832,3.052716386312917,14.0,0.0027002473229183863,0.014213272533586974,True,0.3346018222975098,0.6,0.18990504747626186,2.587148531713997,2000,True,False,False,False
whole,rule,blk2_inc,flat,510,0.5895953757225434,865,0.057804113916480694,0.3389125557640653,2.707518046972364,5.016249661555925,5.197048788234577,14,-5.8410606121196516,-2.197917091607323,2024-04-04,-0.0008005479552629442,-0.24314827878443565,14.0,-0.006770468581151885,0.005547194756865365,False,0.0689362387869572,0.011896273781742473,3.7745968534100482,14.0,0.005600238022404936,0.01802089685612027,True,0.45497133755587704,0.5895953757225434,0.03698150924537731,2.707518046972364,2000,True,False,False,False
whole,rule,blk2_inc,hedged,510,0.5895953757225434,865,0.056365159483377315,0.3337782286389887,2.680729570821814,4.9666183453126,5.188039171932461,14,-5.404083190741723,-2.1979172269074536,2024-04-04,-0.0010875093013712454,-0.3974988585420264,14.0,-0.006070355001828629,0.004595555982789685,False,0.0109797320794085,0.010457319348639096,4.770305112628671,14.0,0.005967148715726453,0.014620294237196366,True,0.42818286140532713,0.5895953757225434,0.031484257871064465,2.680729570821814,2000,True,False,False,False
whole,rule,lgbm,flat,576,0.6658959537572254,865,0.05790954881876404,0.34346806822771586,2.676480503721663,4.9587460500838025,5.384048285965973,14,-5.342590095427109,-2.197917091607323,2024-04-04,-0.000695113052979584,-0.27614469732587266,14.0,-0.005388884142241169,0.003999458390019288,False,0.03789869553625591,0.01200170868402583,3.0851022037219953,14.0,0.004163975618431522,0.019075445255258883,True,0.42393379430517575,0.6658959537572254,0.08395802098950525,2.676480503721663,2000,True,False,False,False
whole,rule,lgbm,hedged,576,0.6658959537572254,865,0.057651730370775166,0.33862640467734384,2.7026623873402746,5.007253525403357,5.317715702147559,14,-5.037332751979115,-2.1979172269074536,2024-04-04,0.00019906158602661823,0.09952986285872904,14.0,-0.0034716073500393775,0.0038148002990358297,False,0.03291254859786896,0.01174389023603696,3.8718178042495373,14.0,0.005497535278802763,0.017271709580728253,True,0.4501156779237876,0.6658959537572254,0.031984007996002,2.7026623873402746,2000,True,False,False,False
whole,rule,xgb,flat,587,0.6786127167630058,865,0.057348981468239614,0.34395756306761366,2.6467999404563853,4.903756530955491,5.340424860976035,14,-5.320020585749695,-2.197917091607323,2024-04-04,-0.0012556804035040218,-0.5429331509275581,14.0,-0.005369415974453998,0.003183675426403553,False,0.008218132270978451,0.011441141333501395,2.8673767790915474,14.0,0.003323770728031596,0.018757098196442116,True,0.3942532310398983,0.6786127167630058,0.13093453273363317,2.6467999404563853,2000,True,False,False,False
whole,rule,xgb,hedged,587,0.6786127167630058,865,0.05723748210446042,0.33837176868828117,2.6852620224251624,4.97501567025259,5.285425516380976,14,-5.149400787675916,-2.1979172269074536,2024-04-04,-0.0002151866802881364,-0.10593546068096915,14.0,-0.003998033566442779,0.003542008116584815,False,0.015512183682756753,0.011329641969722205,3.7890018404632224,14.0,0.00515804993499985,0.01680488072359556,True,0.4327153130086754,0.6786127167630058,0.059470264867566215,2.6852620224251624,2000,True,False,False,False
